,Team,Orders Out,Cash
0,SalsaBaguette,1753,"$864,446.57"
1,Solar leaders,1744,"$457,559.88"
2,La Qualiteam,1696,"$449,837.00"
3,The_team,1832,"$412,675.47"
4,Missile Sol-Air,1861,"$373,498.63"
5,Photovoltamites,1593,"$347,000.13"
6,BRJEUX,1071,"$339,347.62"
7,Campagn'Arts Sibersssois,1512,"$308,213.28"
8,Le dernier rang,1242,"$304,203.77"
9,Equipe_42,1739,"$296,476.31"
10,CACIB LargeCap Industry,1648,"$284,068.28"
11,HomeIsNotAWorkPlace,1714,"$280,686.29"
12,groupe13,1941,"$231,912.81"
13,Lux,1976,"$216,117.40"
14,Solary,1916,"$194,687.43"
15,Serious team,1561,"$182,538.72"
16,Les campagnards,1539,"$149,960.76"
17,ElectroFusion innovation Inc.,1358,"$110,651.97"
18,GPTeam,1580,"$106,462.12"
19,Solairestp,1776,"$80,190.80"
20,Équipe__93183,1513,"$61,685.65"
21,Les coquelicots,2069,"$23,506.49"
22,LeCercle,1622,"($70,040.37)"
23,CookieClickerPGM,2030,"($119,248.64)"
24,L'OBRG,1962,"($183,596.24)"
25,Saison raclette ouverte,700,"($412,577.92)"
26,pacyma,1799,"($462,561.37)"
27,Col partners,1088,"($608,524.56)"
28,EHTP,1214,"($616,173.46)"
29,Harissa,1226,"($699,141.23)"
30,DinoCo,1529,"($707,556.08)"
31,Panelli 2000,1678,"($742,944.00)"
32,Emily Franquiel,1240,"($900,620.79)"
33,CapitaineAbandonné,1215,"($916,145.50)"
34,Les 4 fantastiques,1631,"($1,035,424.40)"
35,Max Verstappen,1228,"($1,090,975.18)"
36,Solar1200,1711,"($1,157,541.73)"
37,ça zinzinule,1758,"($1,294,995.85)"
38,Le Renard,1226,"($1,331,475.55)"
39,Châlon’s Limited,1165,"($1,350,975.48)"
40,Nuclear > Solar,1655,"($1,384,672.12)"
41,Les Backstreet Boyz,1688,"($1,417,389.50)"
42,team11,1222,"($1,424,686.22)"
43,Les Clunsois,1183,"($1,445,975.35)"
44,BR Électricité,1228,"($1,446,406.99)"
45,Les fifrelins,1672,"($1,505,012.85)"
46,Solar Cover,1240,"($1,612,052.71)"
47,ANTIBE,1670,"($1,630,220.11)"
48,Factorylearn,1233,"($1,639,230.10)"
49,Les foufous2,1627,"($1,729,815.62)"
50,151160,1570,"($1,783,536.49)"
51,Solar Team,1202,"($1,812,277.56)"
52,PoêleWater,1491,"($1,882,205.94)"
53,xX_K1ll3rC4rd1_Xx,1222,"($1,886,164.70)"
54,PPM CORP. AND ASSOCIATES,1326,"($1,928,447.15)"
55,Cocorico,1545,"($1,936,954.91)"
56,Vivrela,1240,"($1,977,912.38)"
57,Pucela,1240,"($1,977,912.38)"
58,Les foufous,1240,"($1,977,912.38)"
59,équipe sans action,1240,"($1,977,912.38)"
60,L'Horizon,1228,"($1,986,724.86)"
61,Chad Industries,1228,"($1,986,724.88)"
62,D’or et de platine,1228,"($1,986,724.88)"
63,AL-Suppliers,1533,"($2,133,092.81)"
64,TEAM257778126,1228,"($2,223,868.24)"
65,27kiπne,1520,"($2,249,813.96)"
66,solo factory,1228,"($2,418,592.06)"
67,Nom d’équipe,1228,"($2,477,725.18)"
68,HPC 220,1183,"($2,512,689.14)"
69,Erasmus,1389,"($2,644,019.45)"
70,J&TS,1240,"($2,739,912.82)"
71,Palanca,1240,"($2,815,412.46)"
72,Ninte,1551,"($2,875,638.12)"
73,Equipe 7,1620,"($2,904,235.71)"
74,A&C,1400,"($3,300,376.03)"
75,décUV,1575,"($3,659,911.55)"
76,GADZ CREDA,1197,"($3,679,678.82)"
