,Team,Orders Out,Cash
0,groupe13,5029,"$2,478,099.37"
1,Les coquelicots,5168,"$2,193,533.57"
2,Photovoltamites,3698,"$2,039,749.32"
3,SalsaBaguette,3932,"$1,740,980.06"
4,Lux,4906,"$1,599,966.14"
5,HomeIsNotAWorkPlace,4035,"$1,524,434.82"
6,GPTeam,3423,"$1,232,683.65"
7,Solar leaders,4622,"$904,958.73"
8,Équipe__93183,3726,"$819,934.69"
9,CookieClickerPGM,4257,"$805,812.62"
10,L'OBRG,5094,"$771,457.41"
11,La Qualiteam,4624,"$755,296.78"
12,Serious team,4124,"$713,349.56"
13,EHTP,2360,"$679,778.55"
14,LeCercle,4063,"$537,708.75"
15,CapitaineAbandonné,2397,"$507,915.18"
16,pacyma,4272,"$506,333.41"
17,Les 4 fantastiques,3331,"$490,111.11"
18,Les campagnards,3582,"$471,484.61"
19,Panelli 2000,3500,"$465,554.95"
20,Solary,4739,"$424,567.06"
21,BRJEUX,2667,"$418,534.16"
22,Harissa,2426,"$383,658.36"
23,Campagn'Arts Sibersssois,3578,"$360,811.93"
24,CACIB LargeCap Industry,4610,"$351,873.31"
25,Missile Sol-Air,3958,"$350,810.48"
26,Solar1200,3375,"$350,332.39"
27,ElectroFusion innovation Inc.,3526,"$316,262.72"
28,DinoCo,3055,"$306,067.70"
29,Equipe_42,4688,"$212,821.21"
30,Le Renard,2255,"$198,861.39"
31,Cocorico,3007,"$160,156.96"
32,Châlon’s Limited,2101,"$139,223.91"
33,Le dernier rang,3198,"$126,517.66"
34,Solairestp,4776,"$98,089.40"
35,PPM CORP. AND ASSOCIATES,2900,"$98,050.59"
36,Max Verstappen,2425,"$71,767.58"
37,ANTIBE,3470,"$67,007.73"
38,Col partners,1901,"$20,776.96"
39,Nuclear > Solar,3287,"$7,326.83"
40,Les Clunsois,2340,$50.48
41,Saison raclette ouverte,1654,"($48,578.80)"
42,ça zinzinule,3211,"($103,121.61)"
43,Les Backstreet Boyz,3440,"($130,390.88)"
44,Solar Cover,2420,"($138,546.20)"
45,Les fifrelins,3452,"($252,076.25)"
46,Les foufous2,3166,"($257,254.90)"
47,PoêleWater,2507,"($278,456.84)"
48,BR Électricité,2428,"($340,372.52)"
49,team11,2334,"($342,655.48)"
50,Emily Franquiel,2428,"($381,334.09)"
51,AL-Suppliers,3133,"($513,094.19)"
52,Solar Team,2079,"($555,078.72)"
53,xX_K1ll3rC4rd1_Xx,2263,"($589,617.70)"
54,151160,3132,"($779,537.40)"
55,HPC 220,2358,"($787,940.28)"
56,27kiπne,2911,"($902,291.05)"
57,The_team,4744,"($1,005,515.07)"
58,Ninte,3281,"($1,235,722.27)"
59,Factorylearn,2132,"($1,244,605.96)"
60,Equipe 7,3386,"($1,372,304.54)"
61,Erasmus,1523,"($1,408,864.11)"
62,Pucela,2261,"($1,512,850.84)"
63,Palanca,2298,"($1,630,326.57)"
64,A&C,2854,"($1,750,201.77)"
65,décUV,2969,"($1,986,537.64)"
66,Nom d’équipe,2428,"($2,408,601.92)"
67,GADZ CREDA,3560,"($2,813,203.88)"
68,Vivrela,1830,"($2,819,601.36)"
69,J&TS,2428,"($2,866,305.36)"
70,TEAM257778126,2428,"($4,087,025.65)"
71,L'Horizon,2428,"($4,683,300.51)"
72,D’or et de platine,2428,"($5,428,100.64)"
73,équipe sans action,2428,"($5,503,100.67)"
74,Les foufous,2428,"($5,503,100.67)"
75,Chad Industries,2428,"($5,503,100.67)"
76,solo factory,2440,"($5,946,592.86)"
