,Team,Orders Out,Cash
0,groupe13,5938,2874098.818376
1,Photovoltamites,4373,2426748.903484
2,HomeIsNotAWorkPlace,4786,2421871.617005
3,Les coquelicots,6087,2366532.61149
4,SalsaBaguette,4603,2285749.444562
5,Lux,5789,1974915.47725
6,GPTeam,3973,1720698.115763
7,La Qualiteam,5549,1347296.105823
8,pacyma,5144,1239082.771045
9,CookieClickerPGM,4991,1234124.522738
10,Équipe__93183,4611,906684.158882
11,CapitaineAbandonné,2959,901539.568961
12,Panelli 2000,4157,898054.457809
13,Solar leaders,5529,857295.585422
14,EHTP,2763,826028.214315
15,Les 4 fantastiques,3915,682798.094142
16,Solary,5640,625416.221579
17,Le Renard,2565,575636.278382
18,Harissa,2845,565908.129922
19,Serious team,4975,451848.439952
20,PPM CORP. AND ASSOCIATES,3428,349487.405528
21,Les Clunsois,2752,314550.267572
22,L'OBRG,5992,311081.765255
23,team11,2753,278594.266826
24,ElectroFusion innovation Inc.,4205,257324.573246
25,ça zinzinule,3663,240253.032881
26,Les Backstreet Boyz,4061,209295.918954
27,Saison raclette ouverte,1975,192920.797703
28,Max Verstappen,2838,158692.875747
29,Missile Sol-Air,4795,150872.453118
30,Col partners,2160,149256.016898
31,Campagn'Arts Sibersssois,4428,141373.59506
32,CACIB LargeCap Industry,5510,115096.011448
33,LeCercle,4910,111458.301272
34,BRJEUX,3303,104346.223239
35,Châlon’s Limited,2444,100588.659362
36,Les campagnards,4409,91658.714819
37,DinoCo,3588,63442.196089
38,Cocorico,3497,53494.260999
39,ANTIBE,4067,36613.874964
40,Le dernier rang,3962,-14985.527412
41,Solairestp,5684,-67911.412566
42,PoêleWater,2856,-85019.794181
43,151160,3656,-99537.802562
44,BR Électricité,2849,-99548.48165
45,Solar1200,3910,-142433.600557
46,Solar Cover,2846,-143451.568261
47,Nuclear > Solar,3835,-169173.619215
48,Les foufous2,3755,-251380.890697
49,AL-Suppliers,3663,-268219.863318
50,Les fifrelins,4041,-326826.894439
51,Emily Franquiel,2872,-377034.529423
52,Solar Team,2368,-414829.253066
53,27kiπne,3409,-600728.860384
54,xX_K1ll3rC4rd1_Xx,2670,-947368.141727
55,Equipe 7,3981,-956304.998005
56,Factorylearn,2417,-976106.574329
57,HPC 220,2770,-1000940.790578
58,The_team,5542,-1184454.059644
59,Equipe_42,5544,-1193915.194251
60,Ninte,3875,-1343118.672978
61,Pucela,2618,-1376101.17748
62,A&C,3375,-1402389.593182
63,Erasmus,1523,-1408864.791908
64,Palanca,2714,-1532327.015302
65,décUV,3423,-1799725.598076
66,GADZ CREDA,4325,-2061558.708849
67,Nom d’équipe,2864,-2311102.740481
68,J&TS,2890,-2313006.7616
69,Vivrela,1869,-2673352.243448
70,TEAM257778126,2886,-4054026.306074
71,L'Horizon,2947,-5421300.598475
72,D’or et de platine,2968,-6677600.869436
73,Chad Industries,2968,-6826101.054505
74,équipe sans action,2968,-6826101.054505
75,Les foufous,2980,-6826101.054505
76,solo factory,2980,-7269593.245531
