,Team,Orders Out,Cash
0,SalsaBaguette,1512,"$758,647.27"
1,CookieClickerPGM,1733,"$495,428.62"
2,Lux,1619,"$463,567.57"
3,L'OBRG,1641,"$445,247.63"
4,Équipe__93183,1287,"$423,185.82"
5,groupe13,1590,"$419,662.92"
6,ElectroFusion innovation Inc.,1161,"$376,777.09"
7,Photovoltamites,1376,"$370,828.35"
8,Solairestp,1498,"$298,995.65"
9,La Qualiteam,1379,"$277,790.31"
10,HomeIsNotAWorkPlace,1440,"$256,936.41"
11,Les campagnards,1370,"$250,123.38"
12,Campagn'Arts Sibersssois,1286,"$227,150.96"
13,Solary,1566,"$198,656.20"
14,Missile Sol-Air,1545,"$183,498.75"
15,The_team,1481,"$167,621.03"
16,Solar leaders,1412,"$124,552.24"
17,LeCercle,1378,"$118,803.52"
18,Les coquelicots,1684,"$103,907.73"
19,Equipe_42,1450,"$71,459.73"
20,BRJEUX,937,"$63,285.30"
21,Serious team,1317,"$54,163.96"
22,GPTeam,1349,"($11,025.18)"
23,Le dernier rang,1032,"($39,508.57)"
24,pacyma,1493,"($187,506.49)"
25,Col partners,1024,"($335,743.21)"
26,CapitaineAbandonné,1039,"($420,181.58)"
27,CACIB LargeCap Industry,1321,"($538,118.94)"
28,Saison raclette ouverte,560,"($649,265.29)"
29,Panelli 2000,1418,"($830,443.83)"
30,EHTP,1038,"($861,173.16)"
31,Les 4 fantastiques,1382,"($1,135,674.25)"
32,Harissa,1058,"($1,270,391.02)"
33,Emily Franquiel,1064,"($1,295,974.82)"
34,DinoCo,1325,"($1,329,555.92)"
35,Les fifrelins,1450,"($1,449,137.71)"
36,Solar1200,1466,"($1,454,874.88)"
37,Châlon’s Limited,1033,"($1,635,975.18)"
38,Les Clunsois,1064,"($1,688,975.02)"
39,Max Verstappen,1064,"($1,695,975.00)"
40,Le Renard,1064,"($1,695,975.22)"
41,team11,1064,"($1,754,685.98)"
42,ANTIBE,1426,"($1,764,014.19)"
43,BR Électricité,1064,"($1,782,135.93)"
44,Les Backstreet Boyz,1425,"($1,852,639.29)"
45,Solar Cover,1064,"($1,920,114.84)"
46,Nuclear > Solar,1436,"($1,968,234.40)"
47,AL-Suppliers,1315,"($2,028,092.63)"
48,Erasmus,1230,"($2,043,175.53)"
49,Les foufous2,1425,"($2,043,599.19)"
50,Cocorico,1350,"($2,061,642.01)"
51,Solar Team,1064,"($2,082,277.28)"
52,PPM CORP. AND ASSOCIATES,1154,"($2,088,946.67)"
53,ça zinzinule,1495,"($2,115,745.71)"
54,PoêleWater,1339,"($2,136,455.72)"
55,D’or et de platine,1064,"($2,177,974.76)"
56,Vivrela,1064,"($2,177,974.76)"
57,Factorylearn,1064,"($2,177,974.76)"
58,Chad Industries,1064,"($2,177,974.76)"
59,Pucela,1064,"($2,177,974.76)"
60,Les foufous,1064,"($2,177,974.76)"
61,L'Horizon,1064,"($2,177,974.76)"
62,équipe sans action,1064,"($2,177,974.76)"
63,Nom d’équipe,1064,"($2,222,474.92)"
64,151160,1336,"($2,305,286.32)"
65,Palanca,1064,"($2,363,974.68)"
66,xX_K1ll3rC4rd1_Xx,1064,"($2,382,164.38)"
67,solo factory,1064,"($2,451,685.70)"
68,TEAM257778126,1064,"($2,476,868.04)"
69,27kiπne,1308,"($2,781,813.71)"
70,HPC 220,1013,"($2,812,188.80)"
71,Equipe 7,1356,"($2,934,646.91)"
72,J&TS,1064,"($3,047,974.99)"
73,A&C,1166,"($3,054,375.82)"
74,Ninte,1357,"($3,579,200.34)"
75,décUV,1357,"($3,708,911.25)"
76,GADZ CREDA,918,"($4,099,303.48)"
