,Team,Orders Out,Cash
0,Les coquelicots,4150,"$1,603,034.10"
1,groupe13,4024,"$1,542,349.65"
2,Photovoltamites,3009,"$1,300,999.57"
3,Lux,3962,"$1,282,766.52"
4,HomeIsNotAWorkPlace,3252,"$1,153,185.30"
5,Campagn'Arts Sibersssois,2804,"$899,124.94"
6,GPTeam,2874,"$813,896.48"
7,SalsaBaguette,3245,"$674,045.48"
8,Solary,3708,"$664,355.09"
9,ElectroFusion innovation Inc.,2821,"$564,950.68"
10,Solar leaders,3588,"$484,559.19"
11,CookieClickerPGM,3481,"$478,250.50"
12,LeCercle,3153,"$402,209.00"
13,Equipe_42,3672,"$402,071.86"
14,Missile Sol-Air,3157,"$305,685.71"
15,Panelli 2000,2884,"$263,555.28"
16,Serious team,3137,"$210,100.05"
17,Le dernier rang,2475,"$204,593.05"
18,Solairestp,3722,"$180,089.89"
19,EHTP,1992,"$123,278.75"
20,CapitaineAbandonné,1960,"$97,978.14"
21,La Qualiteam,3618,"$89,567.97"
22,Équipe__93183,2890,"$82,434.99"
23,Harissa,2042,"$62,658.49"
24,Les campagnards,2791,"$43,460.06"
25,L'OBRG,4074,"$10,457.76"
26,BRJEUX,2082,"$3,909.44"
27,Les 4 fantastiques,2755,"($67,388.58)"
28,Le Renard,1983,"($150,838.53)"
29,Saison raclette ouverte,1366,"($174,578.51)"
30,Solar1200,2907,"($177,604.89)"
31,Cocorico,2531,"($180,642.94)"
32,Châlon’s Limited,1781,"($200,775.91)"
33,Max Verstappen,2044,"($269,703.11)"
34,Nuclear > Solar,2763,"($276,672.88)"
35,PPM CORP. AND ASSOCIATES,2388,"($368,448.87)"
36,pacyma,3477,"($396,791.23)"
37,Col partners,1652,"($437,657.76)"
38,team11,1952,"($475,155.33)"
39,Emily Franquiel,2044,"($595,133.84)"
40,Les Backstreet Boyz,2874,"($599,890.44)"
41,DinoCo,2559,"($623,494.46)"
42,Solar Cover,2036,"($650,722.94)"
43,Les fifrelins,2876,"($660,075.90)"
44,The_team,3899,"($677,263.51)"
45,AL-Suppliers,2621,"($681,093.72)"
46,BR Électricité,2044,"($691,355.54)"
47,ça zinzinule,2779,"($731,121.38)"
48,ANTIBE,2894,"($751,075.23)"
49,PoêleWater,2187,"($813,456.55)"
50,Les foufous2,2592,"($826,254.30)"
51,151160,2636,"($863,349.63)"
52,CACIB LargeCap Industry,3591,"($867,154.56)"
53,xX_K1ll3rC4rd1_Xx,1935,"($942,227.99)"
54,Solar Team,1823,"($1,019,078.36)"
55,27kiπne,2471,"($1,174,290.88)"
56,Erasmus,1523,"($1,408,863.62)"
57,Factorylearn,1855,"($1,418,980.66)"
58,Les Clunsois,1944,"($1,484,948.86)"
59,HPC 220,1974,"($1,498,939.97)"
60,Pucela,1938,"($1,681,100.66)"
61,Palanca,1914,"($1,684,726.35)"
62,Ninte,2687,"($1,704,388.64)"
63,A&C,2357,"($1,914,826.57)"
64,Equipe 7,2810,"($2,102,429.22)"
65,décUV,2502,"($2,235,974.83)"
66,Vivrela,1798,"($2,395,100.67)"
67,J&TS,2044,"($2,408,101.58)"
68,Nom d’équipe,2044,"($2,486,101.38)"
69,GADZ CREDA,2768,"($2,581,271.15)"
70,TEAM257778126,2044,"($3,868,025.26)"
71,L'Horizon,2044,"($4,467,100.39)"
72,D’or et de platine,2044,"($4,621,100.42)"
73,équipe sans action,2044,"($4,621,100.42)"
74,Les foufous,2044,"($4,621,100.42)"
75,Chad Industries,2044,"($4,621,100.42)"
76,solo factory,2032,"($4,956,592.60)"
