,Team,Orders Out,Cash
0,SalsaBaguette,1235,"$422,876.55"
1,Les campagnards,1170,"$410,685.96"
2,ElectroFusion innovation Inc.,977,"$391,792.89"
3,Photovoltamites,1137,"$356,578.45"
4,HomeIsNotAWorkPlace,1148,"$354,936.56"
5,LeCercle,1151,"$257,186.45"
6,Solar leaders,1136,"$255,320.61"
7,Missile Sol-Air,1268,"$205,498.88"
8,Serious team,1083,"$180,112.09"
9,Le dernier rang,875,"$159,709.06"
10,groupe13,1281,"$151,913.02"
11,La Qualiteam,1120,"$135,991.01"
12,The_team,1240,"$135,707.08"
13,Equipe_42,1138,"$134,669.89"
14,Équipe__93183,1077,"$111,685.97"
15,Lux,1307,"$85,967.70"
16,BRJEUX,937,"$63,285.45"
17,CookieClickerPGM,1421,"$56,428.77"
18,Les coquelicots,1372,"$48,907.86"
19,CACIB LargeCap Industry,1009,"$39,066.44"
20,Campagn'Arts Sibersssois,1100,"$32,676.21"
21,L'OBRG,1329,"($138,752.26)"
22,Solary,1278,"($190,133.55)"
23,Solairestp,1205,"($202,316.67)"
24,CapitaineAbandonné,883,"($277,712.55)"
25,GPTeam,1135,"($285,655.00)"
26,pacyma,1215,"($299,006.33)"
27,EHTP,898,"($618,172.98)"
28,Saison raclette ouverte,482,"($649,265.18)"
29,Col partners,869,"($878,243.13)"
30,Panelli 2000,1184,"($980,443.70)"
31,Les 4 fantastiques,1156,"($1,286,299.11)"
32,Emily Franquiel,908,"($1,295,974.69)"
33,Harissa,908,"($1,384,390.75)"
34,DinoCo,1135,"($1,440,868.27)"
35,Châlon’s Limited,894,"($1,635,974.92)"
36,Cocorico,1126,"($1,641,079.20)"
37,Les Clunsois,896,"($1,688,974.71)"
38,Max Verstappen,908,"($1,695,974.82)"
39,Le Renard,908,"($1,695,974.93)"
40,Palanca,908,"($1,736,974.63)"
41,Vivrela,908,"($1,736,974.66)"
42,Chad Industries,908,"($1,736,974.66)"
43,L'Horizon,908,"($1,736,974.66)"
44,Factorylearn,908,"($1,736,974.66)"
45,équipe sans action,908,"($1,736,974.66)"
46,Pucela,908,"($1,736,974.66)"
47,Les foufous,908,"($1,736,974.66)"
48,D’or et de platine,908,"($1,736,974.66)"
49,Nom d’équipe,908,"($1,739,474.69)"
50,A&C,958,"($1,742,375.70)"
51,Erasmus,1041,"($1,747,175.40)"
52,team11,908,"($1,754,685.78)"
53,BR Électricité,908,"($1,782,135.72)"
54,Les fifrelins,1226,"($1,803,637.58)"
55,Solar1200,1239,"($1,838,187.21)"
56,Les Backstreet Boyz,1191,"($1,846,139.11)"
57,ANTIBE,1192,"($1,869,513.99)"
58,Solar Cover,908,"($1,920,114.53)"
59,solo factory,908,"($2,010,685.60)"
60,Solar Team,908,"($2,082,277.04)"
61,J&TS,908,"($2,171,974.76)"
62,PPM CORP. AND ASSOCIATES,1011,"($2,319,196.20)"
63,PoêleWater,1149,"($2,339,705.49)"
64,xX_K1ll3rC4rd1_Xx,908,"($2,382,164.07)"
65,151160,1146,"($2,383,286.10)"
66,Les foufous2,1245,"($2,434,973.90)"
67,ça zinzinule,1261,"($2,442,745.56)"
68,TEAM257778126,908,"($2,445,867.87)"
69,AL-Suppliers,1149,"($2,471,342.41)"
70,Nuclear > Solar,1247,"($2,584,796.67)"
71,HPC 220,875,"($2,812,188.51)"
72,27kiπne,1100,"($2,852,813.51)"
73,Equipe 7,1175,"($3,120,146.66)"
74,décUV,1133,"($3,565,910.98)"
75,Ninte,1151,"($3,669,200.00)"
76,GADZ CREDA,750,"($4,099,303.11)"
