,Team,Orders Out,Cash
0,groupe13,5794,2956849.121321
1,Les coquelicots,5960,2770533.138159
2,Photovoltamites,4257,2461999.109914
3,SalsaBaguette,4468,2167649.734956
4,GPTeam,3846,2110113.393726
5,Lux,5647,2057615.817812
6,HomeIsNotAWorkPlace,4635,2053934.442018
7,LeCercle,4765,1485208.554188
8,La Qualiteam,5383,1403546.465649
9,CACIB LargeCap Industry,5362,1367846.757058
10,CookieClickerPGM,4856,1363937.323634
11,Équipe__93183,4463,1281184.484255
12,pacyma,5000,1043333.143099
13,Panelli 2000,4018,951554.710944
14,EHTP,2659,891028.388519
15,Equipe_42,5404,843447.909845
16,Les 4 fantastiques,3781,829110.861929
17,Serious team,4851,814911.481472
18,Les campagnards,4269,814446.683003
19,BRJEUX,3167,714596.443092
20,Solairestp,5534,658089.023385
21,Harissa,2726,648258.259999
22,Solary,5500,644116.63977
23,Solar leaders,5408,572945.880546
24,Le Renard,2476,498648.832277
25,Les Clunsois,2640,474350.375926
26,L'OBRG,5852,456644.620578
27,PPM CORP. AND ASSOCIATES,3300,426050.259108
28,CapitaineAbandonné,2839,413414.861519
29,Les Backstreet Boyz,3908,347108.772525
30,Les fifrelins,3902,346423.4567
31,Châlon’s Limited,2350,314723.762459
32,Saison raclette ouverte,1880,301420.998613
33,The_team,5404,293984.175787
34,Col partners,2057,277641.491709
35,ANTIBE,3920,251728.759266
36,Missile Sol-Air,4655,229935.26471
37,Solar1200,3770,222832.255591
38,Max Verstappen,2718,208705.502014
39,ça zinzinule,3546,150065.696834
40,Campagn'Arts Sibersssois,4288,133936.513438
41,Le dernier rang,3820,111897.333249
42,ElectroFusion innovation Inc.,4070,95512.396841
43,Cocorico,3368,-7493.126558
44,PoêleWater,2757,-37457.071626
45,Les foufous2,3616,-40255.408232
46,AL-Suppliers,3533,-102094.507939
47,BR Électricité,2728,-131101.404898
48,team11,2646,-147655.594328
49,Solar Cover,2732,-159616.462662
50,151160,3536,-216537.6223
51,Nuclear > Solar,3695,-226673.388729
52,xX_K1ll3rC4rd1_Xx,2564,-293867.820326
53,DinoCo,3449,-298432.587427
54,Solar Team,2279,-332141.506551
55,Emily Franquiel,2728,-461534.304395
56,27kiπne,3285,-608291.203965
57,HPC 220,2658,-834940.530904
58,Equipe 7,3836,-1108304.75592
59,Ninte,3731,-1169055.890744
60,Palanca,2598,-1236326.796634
61,Factorylearn,2331,-1333106.363335
62,Erasmus,1523,-1408864.486677
63,A&C,3270,-1477701.934491
64,Pucela,2509,-1754851.016751
65,décUV,3305,-1781037.873911
66,GADZ CREDA,4160,-2002389.098321
67,Nom d’équipe,2728,-2304102.346778
68,Vivrela,1855,-2725851.865283
69,J&TS,2740,-2795337.108679
70,TEAM257778126,2728,-3916025.987627
71,L'Horizon,2728,-5106300.568332
72,D’or et de platine,2728,-6311600.756676
73,équipe sans action,2728,-6385100.872924
74,Chad Industries,2728,-6385100.872924
75,Les foufous,2740,-6385100.877365
76,solo factory,2740,-6828593.060424
