,Team,Orders Out,Cash
0,SalsaBaguette,1945,"$1,005,007.43"
1,Missile Sol-Air,2023,"$631,998.54"
2,CookieClickerPGM,2246,"$512,751.25"
3,Lux,2236,"$467,917.28"
4,LeCercle,1800,"$419,459.55"
5,Les coquelicots,2300,"$371,756.36"
6,BRJEUX,1177,"$351,160.02"
7,pacyma,2015,"$347,438.51"
8,GPTeam,1744,"$314,279.52"
9,La Qualiteam,1912,"$273,836.90"
10,Les campagnards,1665,"$266,385.68"
11,Campagn'Arts Sibersssois,1652,"$240,400.69"
12,Solar leaders,1951,"$238,809.77"
13,Equipe_42,1955,"$237,126.11"
14,Photovoltamites,1781,"$215,000.04"
15,L'OBRG,2223,"$209,153.69"
16,Équipe__93183,1675,"$193,185.56"
17,Solary,2132,"$134,726.33"
18,Serious team,1707,"$124,163.57"
19,ElectroFusion innovation Inc.,1500,"$118,339.38"
20,groupe13,2225,"$78,912.73"
21,Le dernier rang,1388,"$32,236.18"
22,HomeIsNotAWorkPlace,1918,"$8,186.16"
23,Solairestp,1992,"($145,809.32)"
24,Saison raclette ouverte,808,"($412,577.99)"
25,Panelli 2000,1822,"($487,444.08)"
26,Harissa,1322,"($506,941.27)"
27,CapitaineAbandonné,1307,"($597,645.72)"
28,Col partners,1168,"($749,524.62)"
29,The_team,2100,"($754,574.79)"
30,EHTP,1322,"($845,173.58)"
31,CACIB LargeCap Industry,1899,"($870,955.40)"
32,Max Verstappen,1336,"($884,125.25)"
33,Les 4 fantastiques,1785,"($908,924.50)"
34,Emily Franquiel,1348,"($942,120.87)"
35,Châlon’s Limited,1247,"($1,036,163.12)"
36,DinoCo,1667,"($1,045,118.73)"
37,team11,1325,"($1,065,186.30)"
38,Les Clunsois,1277,"($1,096,225.49)"
39,Les fifrelins,1814,"($1,124,575.43)"
40,Le Renard,1333,"($1,143,225.70)"
41,Solar1200,1873,"($1,171,041.84)"
42,Nuclear > Solar,1797,"($1,229,172.24)"
43,ça zinzinule,1920,"($1,273,495.93)"
44,BR Électricité,1336,"($1,291,227.39)"
45,Solar Cover,1340,"($1,327,240.40)"
46,Les Backstreet Boyz,1850,"($1,360,889.62)"
47,Erasmus,1492,"($1,402,722.72)"
48,Cocorico,1678,"($1,438,205.09)"
49,PPM CORP. AND ASSOCIATES,1444,"($1,485,947.40)"
50,PoêleWater,1587,"($1,488,456.02)"
51,Solar Team,1300,"($1,494,777.68)"
52,xX_K1ll3rC4rd1_Xx,1318,"($1,524,539.80)"
53,AL-Suppliers,1677,"($1,593,092.91)"
54,Factorylearn,1329,"($1,636,480.18)"
55,ANTIBE,1832,"($1,653,665.57)"
56,Les foufous2,1751,"($1,684,940.79)"
57,27kiπne,1656,"($1,741,314.02)"
58,151160,1714,"($1,754,536.59)"
59,L'Horizon,1336,"($2,162,099.87)"
60,TEAM257778126,1336,"($2,167,118.35)"
61,Chad Industries,1336,"($2,416,099.95)"
62,D’or et de platine,1336,"($2,416,099.95)"
63,équipe sans action,1348,"($2,416,099.96)"
64,Les foufous,1348,"($2,416,099.96)"
65,Vivrela,1348,"($2,416,099.97)"
66,Pucela,1348,"($2,416,099.99)"
67,HPC 220,1275,"($2,469,439.34)"
68,Equipe 7,1782,"($2,476,595.21)"
69,Ninte,1698,"($2,547,388.20)"
70,Nom d’équipe,1336,"($2,572,600.33)"
71,J&TS,1348,"($2,737,100.49)"
72,Palanca,1348,"($2,812,600.18)"
73,solo factory,1336,"($2,859,592.14)"
74,A&C,1532,"($3,202,626.18)"
75,décUV,1677,"($3,419,474.25)"
76,GADZ CREDA,1413,"($3,655,366.54)"
