,Team,Orders Out,Cash
0,SalsaBaguette,2627,"$1,457,914.86"
1,The_team,3079,"$1,163,362.14"
2,groupe13,3231,"$990,412.43"
3,Photovoltamites,2426,"$959,749.79"
4,CACIB LargeCap Industry,2829,"$857,444.97"
5,Les coquelicots,3286,"$756,060.58"
6,HomeIsNotAWorkPlace,2686,"$701,685.72"
7,ElectroFusion innovation Inc.,2199,"$692,888.51"
8,Lux,3174,"$664,616.86"
9,BRJEUX,1650,"$664,159.73"
10,L'OBRG,3203,"$579,708.07"
11,Missile Sol-Air,2609,"$551,810.86"
12,Équipe__93183,2320,"$500,935.24"
13,Solar leaders,2761,"$491,309.45"
14,GPTeam,2375,"$444,419.23"
15,Les campagnards,2260,"$424,872.86"
16,CookieClickerPGM,2920,"$368,813.33"
17,Solary,2884,"$349,663.31"
18,Campagn'Arts Sibersssois,2238,"$305,937.80"
19,La Qualiteam,2780,"$248,224.53"
20,Solairestp,2898,"$178,990.23"
21,Le dernier rang,1937,"$178,513.34"
22,LeCercle,2499,"$162,709.24"
23,Serious team,2418,"$73,413.03"
24,Panelli 2000,2398,"($85,444.42)"
25,Harissa,1706,"($95,141.40)"
26,Saison raclette ouverte,1124,"($139,578.25)"
27,CapitaineAbandonné,1656,"($171,021.33)"
28,pacyma,2757,"($217,535.75)"
29,Le Renard,1705,"($279,038.44)"
30,Col partners,1430,"($280,657.63)"
31,EHTP,1682,"($283,220.89)"
32,Châlon’s Limited,1530,"($298,900.80)"
33,Les 4 fantastiques,2322,"($346,674.79)"
34,Les Clunsois,1632,"($357,148.55)"
35,DinoCo,2149,"($393,494.10)"
36,Cocorico,2146,"($460,805.34)"
37,Max Verstappen,1720,"($464,642.06)"
38,Equipe_42,2844,"($561,677.75)"
39,Solar1200,2421,"($697,604.67)"
40,Les fifrelins,2390,"($722,575.68)"
41,Nuclear > Solar,2316,"($769,922.68)"
42,Emily Franquiel,1720,"($770,321.12)"
43,team11,1668,"($805,009.38)"
44,ça zinzinule,2394,"($873,996.18)"
45,Solar Cover,1712,"($881,334.57)"
46,BR Électricité,1720,"($940,244.35)"
47,PoêleWater,1897,"($995,456.31)"
48,ANTIBE,2408,"($999,113.93)"
49,PPM CORP. AND ASSOCIATES,1956,"($1,019,448.28)"
50,Les Backstreet Boyz,2403,"($1,048,140.05)"
51,xX_K1ll3rC4rd1_Xx,1643,"($1,160,352.66)"
52,151160,2210,"($1,249,536.88)"
53,Les foufous2,2194,"($1,254,753.88)"
54,Solar Team,1607,"($1,281,890.55)"
55,Erasmus,1523,"($1,408,863.20)"
56,AL-Suppliers,2189,"($1,425,093.38)"
57,27kiπne,2105,"($1,491,790.74)"
58,Factorylearn,1660,"($1,636,480.43)"
59,HPC 220,1650,"($1,684,939.73)"
60,Equipe 7,2324,"($2,221,460.20)"
61,Ninte,2223,"($2,272,388.43)"
62,Pucela,1720,"($2,416,100.43)"
63,A&C,1962,"($2,464,626.44)"
64,Vivrela,1720,"($2,477,600.35)"
65,J&TS,1720,"($2,533,101.05)"
66,décUV,2122,"($2,582,412.11)"
67,Nom d’équipe,1720,"($2,690,600.92)"
68,Palanca,1626,"($2,755,413.46)"
69,GADZ CREDA,2144,"($2,854,929.63)"
70,TEAM257778126,1720,"($3,139,024.89)"
71,D’or et de platine,1720,"($3,631,100.20)"
72,Chad Industries,1720,"($3,631,100.20)"
73,équipe sans action,1720,"($3,631,100.20)"
74,Les foufous,1720,"($3,631,100.20)"
75,L'Horizon,1720,"($3,987,590.01)"
76,solo factory,1720,"($4,074,592.39)"
