,Team,Orders Out,Cash
0,SalsaBaguette,2221,"1 394 710,39 €"
1,GPTeam,2017,"733 484,40 €"
2,Solar leaders,2239,"700 809,64 €"
3,The_team,2477,"651 862,53 €"
4,Photovoltamites,2027,"633 499,95 €"
5,CACIB LargeCap Industry,2289,"591 544,38 €"
6,pacyma,2302,"525 625,85 €"
7,HomeIsNotAWorkPlace,2230,"492 186,00 €"
8,groupe13,2633,"488 912,60 €"
9,Lux,2614,"371 717,11 €"
10,BRJEUX,1338,"333 909,91 €"
11,ElectroFusion innovation Inc.,1783,"308 214,25 €"
12,La Qualiteam,2224,"271 836,73 €"
13,Équipe__93183,1914,"263 435,42 €"
14,Les campagnards,1891,"260 623,07 €"
15,CookieClickerPGM,2526,"207 063,59 €"
16,Serious team,1967,"187 475,85 €"
17,Solairestp,2316,"131 790,49 €"
18,Missile Sol-Air,2249,"91 123,48 €"
19,Solary,2392,"71 690,69 €"
20,L'OBRG,2609,"69 208,28 €"
21,LeCercle,2070,"17 959,41 €"
22,Les coquelicots,2678,"-49 243,81 €"
23,Campagn'Arts Sibersssois,1860,"-81 349,44 €"
24,CapitaineAbandonné,1437,"-110 145,93 €"
25,Le dernier rang,1595,"-243 253,95 €"
26,Saison raclette ouverte,952,"-300 578,09 €"
27,Col partners,1286,"-307 024,72 €"
28,EHTP,1463,"-348 470,63 €"
29,Harissa,1478,"-359 741,32 €"
30,Panelli 2000,2056,"-497 444,22 €"
31,Les Clunsois,1430,"-522 475,59 €"
32,Les 4 fantastiques,2001,"-565 424,62 €"
33,Châlon’s Limited,1360,"-579 163,24 €"
34,Max Verstappen,1492,"-623 110,21 €"
35,Emily Franquiel,1492,"-857 620,96 €"
36,Le Renard,1477,"-870 225,82 €"
37,Solar1200,2107,"-914 541,97 €"
38,Cocorico,1874,"-970 205,24 €"
39,Les fifrelins,2048,"-974 575,53 €"
40,Nuclear > Solar,2007,"-996 672,42 €"
41,BR Électricité,1492,"-1 026 562,40 €"
42,team11,1463,"-1 027 311,39 €"
43,ça zinzinule,2116,"-1 124 496,04 €"
44,DinoCo,1865,"-1 204 743,86 €"
45,Les Backstreet Boyz,2063,"-1 221 139,79 €"
46,Solar Cover,1484,"-1 247 084,32 €"
47,PoêleWater,1707,"-1 317 456,14 €"
48,151160,1906,"-1 367 536,71 €"
49,Solar Team,1455,"-1 384 327,83 €"
50,Erasmus,1523,"-1 408 862,91 €"
51,ANTIBE,2066,"-1 493 530,35 €"
52,xX_K1ll3rC4rd1_Xx,1444,"-1 557 164,94 €"
53,PPM CORP. AND ASSOCIATES,1652,"-1 633 447,78 €"
54,Factorylearn,1457,"-1 636 480,28 €"
55,Les foufous2,1919,"-1 661 753,56 €"
56,AL-Suppliers,1885,"-1 689 093,12 €"
57,27kiπne,1850,"-1 712 314,08 €"
58,HPC 220,1427,"-1 927 252,05 €"
59,TEAM257778126,1492,"-1 972 899,71 €"
60,Equipe_42,2249,"-2 101 226,78 €"
61,Ninte,1932,"-2 348 304,94 €"
62,Pucela,1492,"-2 416 100,16 €"
63,Equipe 7,1994,"-2 473 959,97 €"
64,Vivrela,1492,"-2 477 600,11 €"
65,L'Horizon,1492,"-2 566 099,90 €"
66,J&TS,1492,"-2 737 100,72 €"
67,Nom d’équipe,1492,"-2 750 600,57 €"
68,A&C,1673,"-2 771 376,31 €"
69,Palanca,1492,"-2 812 600,49 €"
70,décUV,1833,"-2 841 599,45 €"
71,D’or et de platine,1492,"-2 857 100,06 €"
72,Chad Industries,1492,"-2 857 100,06 €"
73,Les foufous,1492,"-2 857 100,06 €"
74,équipe sans action,1492,"-2 857 100,06 €"
75,GADZ CREDA,1676,"-3 224 116,84 €"
76,solo factory,1492,"-3 300 592,24 €"
