,Team,Orders Out,Cash
0,groupe13,7006,4145098.260787
1,Les coquelicots,7207,3352188.006466
2,HomeIsNotAWorkPlace,5657,3307394.256884
3,SalsaBaguette,5703,3183606.764408
4,Photovoltamites,5137,3146311.017358
5,CookieClickerPGM,5871,2833248.846212
6,Lux,6979,2488352.418656
7,pacyma,6251,2468582.181626
8,GPTeam,4554,2377250.136454
9,Serious team,6125,2210232.982936
10,Équipe__93183,5532,1951473.623994
11,Missile Sol-Air,5940,1831709.394529
12,Panelli 2000,4917,1688741.436848
13,Solar leaders,6661,1571302.971605
14,CapitaineAbandonné,3590,1515664.231254
15,Solairestp,7012,1414499.345292
16,EHTP,3209,1255527.94181
17,La Qualiteam,6660,1231795.369391
18,Les campagnards,5482,1222095.235563
19,ANTIBE,4736,1162037.814766
20,Solary,6927,1095827.85791
21,ElectroFusion innovation Inc.,5250,1076628.726794
22,Harissa,3313,1066816.732776
23,PPM CORP. AND ASSOCIATES,4176,993111.785583
24,Nuclear > Solar,4495,888263.411042
25,ça zinzinule,4186,863627.661372
26,team11,3169,863594.037432
27,Les fifrelins,4823,861734.946747
28,LeCercle,6010,859973.4484
29,Le Renard,2792,746010.678636
30,Le dernier rang,5001,732963.834163
31,PoêleWater,3260,674104.777566
32,Châlon’s Limited,2779,597965.993399
33,DinoCo,4178,596111.071544
34,Solar1200,4705,585274.335209
35,Les Backstreet Boyz,4816,574545.281709
36,Les Clunsois,3220,534649.955473
37,Les 4 fantastiques,4632,495297.539714
38,L'OBRG,7097,481456.157442
39,BRJEUX,4302,467908.196389
40,Campagn'Arts Sibersssois,5601,462060.208297
41,Solar Cover,3286,442928.503687
42,Les foufous2,4357,424930.620272
43,The_team,6535,385294.978259
44,151160,4252,374461.775835
45,Cocorico,4071,372794.047857
46,Col partners,2486,353432.780458
47,BR Électricité,3317,343089.585365
48,Saison raclette ouverte,2343,265920.390946
49,xX_K1ll3rC4rd1_Xx,3132,193131.401782
50,AL-Suppliers,4238,192654.491487
51,Max Verstappen,3364,182256.746547
52,Emily Franquiel,3340,130765.074109
53,Solar Team,2702,118607.726271
54,27kiπne,3979,47395.825139
55,Ninte,4531,-387522.827017
56,Equipe 7,4645,-457930.417428
57,HPC 220,3238,-529941.276361
58,CACIB LargeCap Industry,6840,-877530.146855
59,Factorylearn,2738,-992419.60702
60,Pucela,2986,-1105726.54024
61,GADZ CREDA,5175,-1141879.606663
62,A&C,3871,-1295202.496707
63,Palanca,3182,-1389639.986398
64,décUV,3825,-1397350.887094
65,Erasmus,1523,-1408865.493939
66,Nom d’équipe,3332,-2101603.542173
67,Vivrela,1915,-2500853.025664
68,J&TS,3352,-3459148.19194
69,TEAM257778126,3354,-4629258.659077
70,Equipe_42,6731,-4783293.90588
71,L'Horizon,3071,-5854100.732859
72,solo factory,3334,-7215593.660924
73,D’or et de platine,3520,-8444601.07449
74,Chad Industries,3520,-8923101.376442
75,Les foufous,3532,-8923101.376442
76,équipe sans action,3520,-8923101.376442
