,Team,Orders Out,Cash
0,groupe13,5923,2806598.881269
1,Photovoltamites,4358,2359248.946336
2,HomeIsNotAWorkPlace,4771,2354371.679187
3,Les coquelicots,6066,2272032.730038
4,SalsaBaguette,4588,2218249.49848
5,Lux,5774,1907415.544359
6,GPTeam,3958,1653198.165823
7,La Qualiteam,5534,1279796.17857
8,pacyma,5129,1171582.863645
9,CookieClickerPGM,4976,1166624.590613
10,Équipe__93183,4596,850434.214266
11,Panelli 2000,4142,830554.512101
12,CapitaineAbandonné,2938,807102.120485
13,Solar leaders,5508,762795.638432
14,EHTP,2742,747278.251734
15,Les 4 fantastiques,3900,615360.639311
16,Solary,5625,557916.299558
17,Harissa,2830,509658.152427
18,Le Renard,2544,485761.287103
19,BRJEUX,3288,386846.267271
20,Serious team,4954,357348.558833
21,Les Clunsois,2737,329200.29282
22,PPM CORP. AND ASSOCIATES,3413,282924.969525
23,Les campagnards,4394,275158.829234
24,L'OBRG,5977,243581.84003
25,Col partners,2145,236006.025732
26,team11,2732,199844.297039
27,ElectroFusion innovation Inc.,4190,189824.638103
28,Châlon’s Limited,2429,180911.183147
29,ça zinzinule,3648,172815.55544
30,Les Backstreet Boyz,4046,141858.493224
31,Saison raclette ouverte,1960,140420.823302
32,ANTIBE,4052,131863.94628
33,Solar1200,3895,123066.445801
34,Max Verstappen,2823,102442.897921
35,Missile Sol-Air,4780,83372.519542
36,Campagn'Arts Sibersssois,4413,73873.672312
37,CACIB LargeCap Industry,5495,47596.120504
38,LeCercle,4895,43958.354519
39,BR Électricité,2834,16851.57012
40,DinoCo,3573,-3995.262977
41,Cocorico,3482,-13943.212109
42,Le dernier rang,3941,-109485.459886
43,PoêleWater,2841,-151582.24886
44,Solairestp,5663,-162411.314091
45,151160,3635,-178287.773484
46,Solar Cover,2831,-206764.029453
47,Nuclear > Solar,3814,-263673.554207
48,Les foufous2,3740,-318818.280335
49,AL-Suppliers,3648,-334782.299191
50,Les fifrelins,4026,-394326.828922
51,Emily Franquiel,2857,-429534.475221
52,Solar Team,2353,-478516.710497
53,27kiπne,3394,-590791.333657
54,xX_K1ll3rC4rd1_Xx,2649,-964618.057228
55,Factorylearn,2403,-1034606.538413
56,Equipe 7,3960,-1050804.952173
57,HPC 220,2755,-1057190.725928
58,The_team,5527,-1251953.938834
59,Equipe_42,5529,-1261415.089063
60,Ninte,3860,-1267556.109994
61,Erasmus,1523,-1408864.746123
62,A&C,3369,-1429389.557758
63,Pucela,2603,-1432351.151903
64,Palanca,2699,-1588576.963918
65,décUV,3408,-1718288.047063
66,GADZ CREDA,4310,-2129058.641722
67,Nom d’équipe,2849,-2363602.660194
68,J&TS,2869,-2388006.692053
69,Vivrela,1867,-2680852.168965
70,TEAM257778126,2871,-4106526.251089
71,L'Horizon,2929,-5421300.594009
72,D’or et de platine,2932,-6677600.854166
73,équipe sans action,2920,-6826101.020155
74,Chad Industries,2932,-6826101.029102
75,Les foufous,2944,-6826101.029102
76,solo factory,2932,-7269593.208439
