,Team,Orders Out,Cash
0,groupe13,7454,4733098.147448
1,Les coquelicots,7687,3984765.888392
2,HomeIsNotAWorkPlace,6017,3509894.049126
3,Photovoltamites,5438,3438060.891109
4,CookieClickerPGM,6225,3422061.174451
5,pacyma,6699,3417582.051934
6,SalsaBaguette,6151,3337769.674846
7,Lux,7502,2774702.238983
8,GPTeam,4792,2710417.485671
9,Solairestp,7620,2434798.637093
10,Équipe__93183,5952,2291473.504027
11,Solar leaders,7185,2191802.781817
12,Panelli 2000,5207,2047241.300207
13,Serious team,6617,2027198.861459
14,CapitaineAbandonné,3844,2027164.131289
15,La Qualiteam,7098,1730420.141551
16,Les campagnards,5902,1428344.942958
17,EHTP,3370,1404277.859247
18,Campagn'Arts Sibersssois,6105,1358309.999464
19,ANTIBE,4988,1339761.605689
20,LeCercle,6439,1201502.001784
21,Harissa,3481,1168216.662924
22,Nuclear > Solar,4747,1126263.293569
23,Les fifrelins,5121,1103234.772802
24,PPM CORP. AND ASSOCIATES,4474,1081611.62723
25,The_team,6903,977919.806496
26,L'OBRG,7635,966956.015394
27,ça zinzinule,4375,938690.046968
28,Le Renard,2876,888685.651776
29,ElectroFusion innovation Inc.,5657,821227.512802
30,team11,3329,813593.956806
31,PoêleWater,3400,786104.649415
32,Solary,7431,763127.638041
33,Les Clunsois,3388,721649.861383
34,Saison raclette ouverte,2469,598920.266609
35,Solar Cover,3454,569422.345548
36,BR Électricité,3485,550163.417645
37,151160,4492,465461.663142
38,Châlon’s Limited,2898,446675.942669
39,Solar1200,5005,422922.685719
40,Missile Sol-Air,6447,403221.750689
41,Max Verstappen,3556,392728.577109
42,Les Backstreet Boyz,5147,363795.109754
43,Les foufous2,4636,355180.353074
44,BRJEUX,4745,352658.025
45,xX_K1ll3rC4rd1_Xx,3312,297631.321414
46,Solar Team,2814,276732.569629
47,Ninte,4781,169977.084693
48,Cocorico,4286,157142.439388
49,27kiπne,4189,121395.739561
50,Col partners,2578,101120.23276
51,DinoCo,4388,73915.692613
52,Les 4 fantastiques,4963,64047.335255
53,Le dernier rang,5424,31396.144639
54,Emily Franquiel,3508,8064.956192
55,Equipe 7,4897,-164930.530376
56,AL-Suppliers,4533,-327095.669485
57,CACIB LargeCap Industry,7378,-518842.961415
58,HPC 220,3406,-542816.404841
59,Factorylearn,2843,-564544.795354
60,A&C,4095,-1147616.704666
61,Pucela,3120,-1181914.123162
62,GADZ CREDA,5511,-1339254.795663
63,Erasmus,1523,-1408865.707601
64,décUV,3945,-1470100.963904
65,Palanca,3350,-1619765.134073
66,Nom d’équipe,3500,-1798103.767392
67,Vivrela,1929,-2448353.236303
68,Equipe_42,7235,-2662295.526151
69,J&TS,3532,-3353679.686827
70,TEAM257778126,3522,-5185654.680578
71,L'Horizon,3158,-6082600.754362
72,solo factory,3387,-7056593.759401
73,D’or et de platine,3688,-9068601.140324
74,équipe sans action,3688,-9364101.490696
75,Chad Industries,3688,-9364101.490696
76,Les foufous,3700,-9364101.490696
