,Team,Orders Out,Cash
0,SalsaBaguette,2713,"$1,779,750.75"
1,CACIB LargeCap Industry,2949,"$1,307,444.92"
2,Photovoltamites,2512,"$1,111,249.76"
3,Lux,3292,"$1,048,616.82"
4,groupe13,3355,"$1,012,412.39"
5,Missile Sol-Air,2685,"$867,935.84"
6,CookieClickerPGM,3002,"$708,438.29"
7,La Qualiteam,2900,"$698,224.49"
8,Les campagnards,2338,"$627,022.81"
9,Équipe__93183,2405,"$486,685.20"
10,L'OBRG,3325,"$484,208.01"
11,Campagn'Arts Sibersssois,2318,"$480,562.74"
12,Solar leaders,2881,"$449,809.41"
13,HomeIsNotAWorkPlace,2782,"$398,685.66"
14,ElectroFusion innovation Inc.,2295,"$368,888.44"
15,GPTeam,2447,"$364,961.70"
16,Solary,3004,"$342,163.24"
17,LeCercle,2591,"$329,709.21"
18,Les coquelicots,3414,"$317,534.47"
19,Solairestp,3025,"$308,740.18"
20,BRJEUX,1712,"$277,034.67"
21,pacyma,2877,"$216,214.21"
22,Le dernier rang,2009,"$180,863.30"
23,Serious team,2514,"$100,412.93"
24,CapitaineAbandonné,1702,"$1,478.60"
25,Equipe_42,2972,"($81,677.86)"
26,EHTP,1728,"($110,720.94)"
27,Harissa,1754,"($111,941.42)"
28,Panelli 2000,2470,"($116,944.47)"
29,The_team,3202,"($121,387.98)"
30,Col partners,1466,"($172,657.64)"
31,Châlon’s Limited,1566,"($204,850.81)"
32,Les 4 fantastiques,2393,"($313,424.83)"
33,Le Renard,1753,"($314,088.45)"
34,Les Clunsois,1680,"($351,748.57)"
35,Solar1200,2493,"($427,604.71)"
36,Max Verstappen,1768,"($446,406.66)"
37,Saison raclette ouverte,1160,"($454,578.30)"
38,Cocorico,2204,"($496,305.36)"
39,Nuclear > Solar,2382,"($522,422.70)"
40,Les fifrelins,2462,"($594,075.70)"
41,Emily Franquiel,1768,"($602,321.15)"
42,PPM CORP. AND ASSOCIATES,2020,"($779,448.37)"
43,team11,1696,"($792,957.32)"
44,ANTIBE,2480,"($800,978.55)"
45,DinoCo,2209,"($847,994.17)"
46,Solar Cover,1760,"($884,334.62)"
47,Les Backstreet Boyz,2475,"($886,140.11)"
48,BR Électricité,1768,"($907,108.97)"
49,ça zinzinule,2452,"($923,496.21)"
50,Les foufous2,2252,"($1,037,253.95)"
51,Solar Team,1639,"($1,148,140.59)"
52,PoêleWater,1937,"($1,160,456.35)"
53,AL-Suppliers,2253,"($1,185,093.42)"
54,151160,2274,"($1,342,536.92)"
55,27kiπne,2155,"($1,384,290.76)"
56,Erasmus,1523,"($1,408,863.27)"
57,HPC 220,1698,"($1,504,939.77)"
58,xX_K1ll3rC4rd1_Xx,1685,"($1,513,227.72)"
59,Factorylearn,1677,"($1,609,480.47)"
60,Ninte,2295,"($2,002,388.46)"
61,Equipe 7,2396,"($2,027,960.24)"
62,Pucela,1743,"($2,371,100.49)"
63,A&C,2026,"($2,376,126.47)"
64,décUV,2186,"($2,413,912.14)"
65,Vivrela,1768,"($2,477,600.40)"
66,Nom d’équipe,1768,"($2,546,600.98)"
67,Palanca,1666,"($2,608,163.55)"
68,GADZ CREDA,2240,"($2,672,929.69)"
69,J&TS,1768,"($3,052,101.13)"
70,TEAM257778126,1768,"($3,282,024.96)"
71,D’or et de platine,1768,"($3,739,100.24)"
72,Chad Industries,1768,"($3,739,100.24)"
73,Les foufous,1768,"($3,739,100.24)"
74,équipe sans action,1768,"($3,739,100.24)"
75,L'Horizon,1768,"($3,987,590.08)"
76,solo factory,1768,"($4,182,592.43)"
