,Team,Orders Out,Cash
0,groupe13,5733,2728099.142421
1,HomeIsNotAWorkPlace,4587,2536934.480258
2,Les coquelicots,5875,2451783.191593
3,Photovoltamites,4191,2214499.132409
4,SalsaBaguette,4425,1993274.75846
5,GPTeam,3812,1972800.910822
6,Lux,5588,1836365.840042
7,CookieClickerPGM,4808,1710812.35443
8,La Qualiteam,5322,1617796.491361
9,pacyma,4943,1560583.175359
10,LeCercle,4709,1275208.563844
11,Équipe__93183,4403,1227184.498505
12,Solairestp,5474,1215089.069176
13,CACIB LargeCap Industry,5302,1142846.767637
14,CapitaineAbandonné,2789,1101914.918958
15,Panelli 2000,3976,935554.729405
16,Solary,5440,903616.67624
17,Campagn'Arts Sibersssois,4235,863749.053337
18,Serious team,4775,859474.036102
19,The_team,5353,821046.696554
20,Solar leaders,5323,783008.429792
21,EHTP,2625,763528.406119
22,Les 4 fantastiques,3745,763110.87998
23,Equipe_42,5351,617010.431185
24,Les campagnards,4216,595321.722802
25,BRJEUX,3127,561471.461115
26,Harissa,2702,558258.265759
27,Solar1200,3745,462433.833135
28,PPM CORP. AND ASSOCIATES,3268,449050.291629
29,Les Clunsois,2604,410250.385025
30,Le Renard,2450,393961.338774
31,ElectroFusion innovation Inc.,3999,335699.943634
32,Col partners,2057,277641.49824
33,Le dernier rang,3771,250772.351623
34,Châlon’s Limited,2331,243536.274635
35,Saison raclette ouverte,1862,238421.008017
36,Missile Sol-Air,4601,234560.285369
37,L'OBRG,5796,218957.142349
38,Les Backstreet Boyz,3872,212108.796908
39,Les fifrelins,3866,211423.477957
40,Max Verstappen,2694,161330.510886
41,Cocorico,3340,127506.883035
42,ANTIBE,3884,116911.070235
43,ça zinzinule,3519,44628.208981
44,team11,2610,42344.425373
45,AL-Suppliers,3501,-9094.476436
46,Solar Cover,2696,-109046.431501
47,Nuclear > Solar,3665,-119173.361011
48,PoêleWater,2737,-121457.05779
49,Les foufous2,3580,-175255.370757
50,BR Électricité,2704,-220919.092553
51,151160,3488,-253537.599717
52,Emily Franquiel,2704,-254334.282269
53,Solar Team,2263,-342516.484096
54,xX_K1ll3rC4rd1_Xx,2528,-377367.805892
55,DinoCo,3413,-433432.558254
56,27kiπne,3255,-598791.191589
57,HPC 220,2634,-924940.511052
58,Ninte,3677,-928555.848842
59,Equipe 7,3800,-954304.734216
60,Pucela,2489,-1243850.991751
61,Palanca,2574,-1326326.781141
62,A&C,3222,-1326701.910248
63,Factorylearn,2315,-1396293.834863
64,Erasmus,1523,-1408864.456154
65,décUV,3266,-1704850.345396
66,GADZ CREDA,4088,-2270110.420345
67,Nom d’équipe,2704,-2388102.314604
68,Vivrela,1853,-2733351.82631
69,J&TS,2704,-2904602.661192
70,TEAM257778126,2704,-3988025.963204
71,L'Horizon,2704,-5074800.564058
72,D’or et de platine,2704,-6160100.748821
73,Chad Industries,2704,-6385100.861692
74,équipe sans action,2704,-6385100.861692
75,Les foufous,2704,-6385100.861692
76,solo factory,2704,-6828593.0424
