,Team,Orders Out,Cash
0,groupe13,5610,2915849.178322
1,Les coquelicots,5752,2824533.270828
2,Photovoltamites,4105,2395999.167133
3,HomeIsNotAWorkPlace,4491,2176934.531026
4,SalsaBaguette,4339,2104414.822318
5,Lux,5471,1901615.892922
6,GPTeam,3744,1698175.940357
7,CookieClickerPGM,4713,1301999.885224
8,LeCercle,4595,1290708.604837
9,Solar leaders,5198,1242158.475475
10,Équipe__93183,4287,1170184.529607
11,La Qualiteam,5200,1160296.535719
12,pacyma,4828,1129333.208837
13,EHTP,2579,959528.439356
14,Solary,5315,894366.724214
15,CapitaineAbandonné,2721,846914.953934
16,Le dernier rang,3673,794997.39807
17,Serious team,4667,788974.125396
18,Panelli 2000,3894,771054.766627
19,ElectroFusion innovation Inc.,3933,769637.4695
20,Les 4 fantastiques,3673,763610.918928
21,Solairestp,5352,757589.106316
22,Missile Sol-Air,4487,726247.816532
23,L'OBRG,5674,714457.196166
24,Campagn'Arts Sibersssois,4097,701686.604396
25,CACIB LargeCap Industry,5180,685346.811455
26,PPM CORP. AND ASSOCIATES,3204,652050.349843
27,Les campagnards,4106,595971.787258
28,BRJEUX,3047,588221.497973
29,Harissa,2654,575058.283711
30,Cocorico,3283,475156.892342
31,Nuclear > Solar,3597,462826.671175
32,Châlon’s Limited,2291,423786.306561
33,Les Clunsois,2568,421250.39812
34,Le Renard,2416,405186.350227
35,DinoCo,3349,389567.498289
36,The_team,5249,370671.758592
37,Max Verstappen,2646,275862.821054
38,Solar1200,3678,211183.847221
39,Col partners,2037,202641.498924
40,Les fifrelins,3794,154423.534577
41,Equipe_42,5239,145385.495677
42,Saison raclette ouverte,1826,112421.033877
43,ça zinzinule,3465,100753.243853
44,Les Backstreet Boyz,3782,50108.859779
45,Solar Cover,2648,-19346.39449
46,team11,2562,-137655.563809
47,ANTIBE,3812,-152724.296423
48,AL-Suppliers,3437,-249094.449531
49,PoêleWater,2697,-289457.022284
50,Les foufous2,3508,-293755.281701
51,Emily Franquiel,2656,-294034.250903
52,xX_K1ll3rC4rd1_Xx,2482,-374867.787814
53,BR Électricité,2656,-400554.458459
54,Solar Team,2231,-476266.443387
55,151160,3426,-486037.567392
56,27kiπne,3195,-627291.163752
57,HPC 220,2586,-961940.461944
58,Equipe 7,3728,-1106304.702466
59,Ninte,3623,-1131055.825759
60,Pucela,2449,-1393850.976249
61,Erasmus,1523,-1408864.395107
62,A&C,3158,-1495201.890467
63,Palanca,2526,-1506326.740752
64,Factorylearn,2283,-1522668.77178
65,décUV,3224,-1825225.318757
66,J&TS,2656,-2174290.058302
67,Nom d’équipe,2656,-2271602.248733
68,GADZ CREDA,4016,-2537532.249031
69,Vivrela,1849,-2748351.747582
70,TEAM257778126,2656,-4132025.904953
71,L'Horizon,2656,-4998300.551146
72,D’or et de platine,2656,-6160100.726654
73,équipe sans action,2656,-6385100.829824
74,Les foufous,2656,-6385100.829824
75,Chad Industries,2656,-6385100.829824
76,solo factory,2668,-6828593.017324
