,Team,Orders Out,Cash
0,Les coquelicots,4946,"2 195 033,69 €"
1,groupe13,4777,"2 182 099,43 €"
2,Photovoltamites,3544,"1 966 249,37 €"
3,HomeIsNotAWorkPlace,3819,"1 710 434,94 €"
4,Lux,4666,"1 657 166,23 €"
5,SalsaBaguette,3761,"1 411 130,15 €"
6,GPTeam,3287,"1 211 773,73 €"
7,CookieClickerPGM,4066,"1 069 062,72 €"
8,LeCercle,3840,"765 458,81 €"
9,Missile Sol-Air,3761,"736 060,54 €"
10,EHTP,2280,"712 778,60 €"
11,L'OBRG,4831,"551 207,49 €"
12,Solar leaders,4399,"498 108,84 €"
13,Équipe__93183,3490,"455 934,75 €"
14,ElectroFusion innovation Inc.,3358,"441 512,83 €"
15,Panelli 2000,3336,"436 555,03 €"
16,La Qualiteam,4361,"425 046,88 €"
17,Les 4 fantastiques,3205,"383 611,18 €"
18,pacyma,4041,"371 083,49 €"
19,Le dernier rang,3025,"369 722,74 €"
20,Equipe_42,4460,"335 071,28 €"
21,Serious team,3898,"289 849,69 €"
22,Harissa,2330,"282 258,39 €"
23,Le Renard,2195,"207 398,91 €"
24,Solar1200,3244,"192 582,45 €"
25,Col partners,1857,"188 092,10 €"
26,Saison raclette ouverte,1582,"140 421,29 €"
27,Cocorico,2894,"137 806,98 €"
28,PPM CORP. AND ASSOCIATES,2772,"102 550,71 €"
29,CapitaineAbandonné,2283,"80 415,27 €"
30,Les campagnards,3393,"64 634,73 €"
31,BRJEUX,2527,"25 596,72 €"
32,Nuclear > Solar,3155,"-673,10 €"
33,Max Verstappen,2332,"-48 090,71 €"
34,Châlon’s Limited,2021,"-58 276,04 €"
35,Solary,4512,"-79 045,33 €"
36,Solairestp,4513,"-117 660,49 €"
37,DinoCo,2931,"-118 432,25 €"
38,Les Backstreet Boyz,3296,"-119 390,77 €"
39,Les fifrelins,3308,"-129 076,17 €"
40,Campagn'Arts Sibersssois,3408,"-172 125,46 €"
41,ça zinzinule,3114,"-210 934,06 €"
42,CACIB LargeCap Industry,4344,"-295 626,53 €"
43,team11,2250,"-332 655,44 €"
44,Les Clunsois,2244,"-359 949,44 €"
45,Solar Cover,2336,"-432 546,15 €"
46,ANTIBE,3326,"-472 263,03 €"
47,BR Électricité,2332,"-526 993,27 €"
48,xX_K1ll3rC4rd1_Xx,2183,"-556 617,67 €"
49,PoêleWater,2437,"-572 456,79 €"
50,Emily Franquiel,2344,"-675 334,04 €"
51,151160,3023,"-712 287,35 €"
52,Les foufous2,3022,"-735 754,76 €"
53,Solar Team,2015,"-766 078,64 €"
54,27kiπne,2795,"-887 791,00 €"
55,AL-Suppliers,3005,"-993 094,09 €"
56,HPC 220,2262,"-1 147 940,22 €"
57,Palanca,2214,"-1 392 326,48 €"
58,Erasmus,1523,"-1 408 863,98 €"
59,Factorylearn,2075,"-1 466 418,39 €"
60,Equipe 7,3260,"-1 469 304,47 €"
61,Ninte,3137,"-1 631 888,86 €"
62,Pucela,2189,"-1 782 850,81 €"
63,A&C,2742,"-1 839 201,73 €"
64,The_team,4535,"-1 882 327,10 €"
65,décUV,2861,"-1 982 287,56 €"
66,J&TS,2344,"-2 245 258,31 €"
67,Nom d’équipe,2332,"-2 638 101,79 €"
68,GADZ CREDA,3368,"-2 817 029,30 €"
69,Vivrela,1822,"-2 849 601,19 €"
70,TEAM257778126,2332,"-3 932 025,56 €"
71,L'Horizon,2332,"-4 595 300,49 €"
72,D’or et de platine,2332,"-5 168 600,59 €"
73,Chad Industries,2332,"-5 395 100,61 €"
74,équipe sans action,2344,"-5 503 100,62 €"
75,Les foufous,2344,"-5 503 100,62 €"
76,solo factory,2344,"-5 838 592,80 €"
