,Team,Orders Out,Cash
0,groupe13,7614,4684098.09355
1,SalsaBaguette,6311,3937574.306911
2,Les coquelicots,7847,3899679.861269
3,HomeIsNotAWorkPlace,6137,3748393.986739
4,CookieClickerPGM,6359,3427248.622405
5,pacyma,6859,3286581.988264
6,Lux,7691,3107752.181478
7,Photovoltamites,5567,3045810.82244
8,GPTeam,4875,2951822.437795
9,Solar leaders,7392,2481052.72882
10,Solairestp,7830,2440298.574534
11,Serious team,6765,2272506.04522
12,Équipe__93183,6102,2236473.457796
13,Les campagnards,6053,2053094.853342
14,Panelli 2000,5309,1986741.247213
15,CapitaineAbandonné,3930,1908664.086439
16,La Qualiteam,7261,1900795.072857
17,EHTP,3439,1576527.823949
18,Les fifrelins,5227,1500734.729829
19,PPM CORP. AND ASSOCIATES,4582,1343611.562319
20,Campagn'Arts Sibersssois,6319,1236184.897688
21,ElectroFusion innovation Inc.,5815,1212227.467871
22,Harissa,3541,1196416.637456
23,LeCercle,6570,1061921.232326
24,Solary,7624,1045052.556547
25,The_team,7048,1035544.735845
26,team11,3382,1012343.938915
27,ça zinzinule,4456,988002.508833
28,ANTIBE,5078,972305.800107
29,Nuclear > Solar,4831,954263.240464
30,Le Renard,2912,933460.640008
31,Les Clunsois,3460,803649.806776
32,PoêleWater,3450,663104.587377
33,Solar Cover,3526,657813.223547
34,151160,4572,622461.625953
35,BRJEUX,4923,550657.974661
36,L'OBRG,7824,542705.939631
37,Châlon’s Limited,2951,539113.428794
38,BR Électricité,3545,531907.636606
39,Les 4 fantastiques,5107,462547.277477
40,Missile Sol-Air,6639,460221.695265
41,Le dernier rang,5572,412858.562296
42,Solar Team,2854,387420.017735
43,Max Verstappen,3620,378042.624009
44,Solar1200,5107,359084.11002
45,27kiπne,4263,322395.713872
46,Saison raclette ouverte,2515,318920.215634
47,DinoCo,4449,302665.674578
48,Col partners,2624,277807.679263
49,Les Backstreet Boyz,5266,259045.049266
50,AL-Suppliers,4681,227904.276379
51,xX_K1ll3rC4rd1_Xx,3372,226631.293649
52,Emily Franquiel,3568,218064.915326
53,Cocorico,4358,177326.798564
54,Les foufous2,4750,168180.263951
55,Ninte,4871,127477.053109
56,Equipe 7,4987,-212430.573217
57,CACIB LargeCap Industry,7576,-324343.12291
58,HPC 220,3466,-338128.957737
59,Factorylearn,2881,-410419.839368
60,GADZ CREDA,5631,-889710.58215
61,Pucela,3182,-949414.180921
62,A&C,4191,-1039226.148964
63,Erasmus,1523,-1408865.783908
64,Palanca,3410,-1682452.66632
65,décUV,4001,-1863101.032019
66,Equipe_42,7415,-1904795.993151
67,Nom d’équipe,3560,-1964603.860708
68,Vivrela,1935,-2429603.308429
69,J&TS,3592,-4194523.54818
70,TEAM257778126,3582,-5618081.820624
71,L'Horizon,3180,-6159100.762426
72,solo factory,3433,-7316406.317559
73,D’or et de platine,3748,-9328101.1699
74,équipe sans action,3748,-9472101.534449
75,Chad Industries,3748,-9472101.534449
76,Les foufous,3772,-9472101.540848
