,Team,Orders Out,Cash
0,SalsaBaguette,2201,"$1,319,788.53"
1,Solar leaders,2215,"$782,309.65"
2,GPTeam,1996,"$656,609.41"
3,Lux,2584,"$609,217.12"
4,Photovoltamites,2003,"$543,499.96"
5,The_team,2445,"$531,862.53"
6,CACIB LargeCap Industry,2259,"$479,044.38"
7,pacyma,2278,"$435,625.86"
8,HomeIsNotAWorkPlace,2206,"$402,186.01"
9,Solairestp,2288,"$373,290.50"
10,groupe13,2601,"$368,912.61"
11,BRJEUX,1322,"$273,909.92"
12,ElectroFusion innovation Inc.,1759,"$218,214.26"
13,Équipe__93183,1893,"$184,685.44"
14,La Qualiteam,2200,"$181,836.74"
15,Les campagnards,1870,"$176,123.07"
16,Missile Sol-Air,2231,"$129,998.49"
17,CookieClickerPGM,2506,"$123,563.61"
18,Serious team,1946,"$108,725.86"
19,Solary,2371,"($5,684.29)"
20,L'OBRG,2579,"($43,291.72)"
21,LeCercle,2049,"($60,790.58)"
22,CapitaineAbandonné,1426,"($151,395.92)"
23,Campagn'Arts Sibersssois,1840,"($163,286.93)"
24,Les coquelicots,2646,"($169,243.79)"
25,Panelli 2000,2038,"($263,444.21)"
26,Harissa,1466,"($269,741.32)"
27,Le dernier rang,1577,"($320,441.44)"
28,Saison raclette ouverte,944,"($328,578.09)"
29,Col partners,1276,"($344,524.72)"
30,EHTP,1451,"($393,470.62)"
31,Les Clunsois,1418,"($567,475.58)"
32,Les 4 fantastiques,1983,"($581,424.61)"
33,DinoCo,1849,"($594,993.84)"
34,Châlon’s Limited,1350,"($617,350.73)"
35,Le Renard,1465,"($648,225.81)"
36,Max Verstappen,1480,"($668,019.06)"
37,Emily Franquiel,1480,"($899,620.96)"
38,Les fifrelins,2030,"($900,575.52)"
39,Solar1200,2089,"($982,041.96)"
40,Cocorico,1858,"($1,030,205.23)"
41,team11,1452,"($1,063,498.89)"
42,Nuclear > Solar,1989,"($1,064,172.41)"
43,BR Électricité,1480,"($1,071,471.24)"
44,ça zinzinule,2098,"($1,191,996.04)"
45,PPM CORP. AND ASSOCIATES,1636,"($1,250,447.75)"
46,Solar Cover,1472,"($1,283,506.18)"
47,Les Backstreet Boyz,2045,"($1,288,639.78)"
48,PoêleWater,1697,"($1,359,456.13)"
49,Erasmus,1523,"($1,408,862.90)"
50,151160,1890,"($1,427,536.69)"
51,Solar Team,1443,"($1,429,327.82)"
52,ANTIBE,2048,"($1,561,030.34)"
53,xX_K1ll3rC4rd1_Xx,1433,"($1,597,977.43)"
54,27kiπne,1835,"($1,602,064.07)"
55,Factorylearn,1446,"($1,636,480.27)"
56,Les foufous2,1907,"($1,711,691.03)"
57,AL-Suppliers,1869,"($1,749,093.11)"
58,HPC 220,1416,"($1,967,002.03)"
59,TEAM257778126,1480,"($1,975,087.20)"
60,Equipe_42,2249,"($2,101,226.71)"
61,Ninte,1914,"($2,415,388.27)"
62,Pucela,1480,"($2,416,100.15)"
63,Vivrela,1480,"($2,477,600.10)"
64,Equipe 7,1976,"($2,541,459.96)"
65,L'Horizon,1480,"($2,566,099.90)"
66,J&TS,1480,"($2,737,100.70)"
67,Nom d’équipe,1480,"($2,750,600.55)"
68,A&C,1663,"($2,808,876.30)"
69,Palanca,1480,"($2,812,600.46)"
70,D’or et de platine,1480,"($2,857,100.05)"
71,Chad Industries,1480,"($2,857,100.05)"
72,Les foufous,1480,"($2,857,100.05)"
73,équipe sans action,1480,"($2,857,100.05)"
74,décUV,1818,"($2,893,911.94)"
75,solo factory,1480,"($3,300,592.24)"
76,GADZ CREDA,1655,"($3,302,866.82)"
