,Team,Orders Out,Cash
0,Photovoltamites,3095,"$1,623,499.55"
1,Lux,4075,"$1,481,316.48"
2,groupe13,4115,"$1,440,599.62"
3,HomeIsNotAWorkPlace,3315,"$1,389,435.27"
4,Les coquelicots,4278,"$1,164,534.03"
5,GPTeam,2924,"$837,113.95"
6,Serious team,3257,"$660,099.99"
7,SalsaBaguette,3307,"$506,795.42"
8,CookieClickerPGM,3546,"$407,687.97"
9,Panelli 2000,2956,"$390,555.24"
10,Équipe__93183,2970,"$382,434.95"
11,LeCercle,3237,"$367,208.98"
12,Le dernier rang,2565,"$347,868.00"
13,Les campagnards,2887,"$318,360.02"
14,EHTP,2038,"$295,778.72"
15,Missile Sol-Air,3223,"$295,685.69"
16,BRJEUX,2152,"$287,534.41"
17,CapitaineAbandonné,2004,"$260,165.58"
18,ElectroFusion innovation Inc.,2909,"$256,075.62"
19,L'OBRG,4195,"$251,207.72"
20,Solar leaders,3716,"$235,659.13"
21,Solairestp,3847,"$174,339.82"
22,Solary,3836,"$113,855.03"
23,Harissa,2090,"$45,858.47"
24,Les 4 fantastiques,2827,"$6,611.38"
25,Solar1200,2954,"($1,354.91)"
26,Le Renard,2017,"($12,963.54)"
27,Campagn'Arts Sibersssois,2897,"($23,500.12)"
28,La Qualiteam,3739,"($42,682.07)"
29,Saison raclette ouverte,1394,"($76,578.53)"
30,Châlon’s Limited,1811,"($86,213.42)"
31,Max Verstappen,2092,"($90,067.71)"
32,Cocorico,2591,"($117,042.95)"
33,pacyma,3545,"($126,791.27)"
34,PPM CORP. AND ASSOCIATES,2436,"($188,448.93)"
35,Equipe_42,3797,"($213,678.26)"
36,The_team,4003,"($243,701.11)"
37,Les Backstreet Boyz,2936,"($367,390.48)"
38,DinoCo,2605,"($450,994.50)"
39,ANTIBE,2966,"($481,439.85)"
40,Col partners,1678,"($483,157.79)"
41,Les fifrelins,2930,"($519,075.94)"
42,ça zinzinule,2833,"($520,246.40)"
43,BR Électricité,2080,"($556,629.00)"
44,Nuclear > Solar,2811,"($583,672.92)"
45,Les foufous2,2662,"($615,254.36)"
46,team11,2000,"($620,155.35)"
47,Emily Franquiel,2092,"($718,333.87)"
48,Solar Cover,2084,"($772,587.59)"
49,xX_K1ll3rC4rd1_Xx,1979,"($778,978.01)"
50,Solar Team,1847,"($918,765.90)"
51,CACIB LargeCap Industry,3685,"($962,876.02)"
52,PoêleWater,2227,"($978,456.59)"
53,151160,2698,"($979,037.17)"
54,27kiπne,2515,"($1,175,790.89)"
55,Les Clunsois,1992,"($1,304,948.99)"
56,AL-Suppliers,2669,"($1,377,093.78)"
57,Erasmus,1523,"($1,408,863.68)"
58,Ninte,2759,"($1,434,388.66)"
59,Palanca,1962,"($1,504,726.37)"
60,HPC 220,2010,"($1,506,940.01)"
61,Factorylearn,1893,"($1,609,480.69)"
62,Pucela,1979,"($1,699,350.67)"
63,Equipe 7,2882,"($1,944,460.51)"
64,A&C,2406,"($2,062,701.60)"
65,décUV,2560,"($2,180,849.86)"
66,Nom d’équipe,2080,"($2,752,601.43)"
67,Vivrela,1802,"($2,823,100.74)"
68,J&TS,2092,"($2,903,101.66)"
69,GADZ CREDA,2864,"($3,204,958.72)"
70,TEAM257778126,2080,"($3,868,025.29)"
71,L'Horizon,2080,"($4,467,100.41)"
72,Chad Industries,2080,"($4,621,100.45)"
73,équipe sans action,2092,"($4,621,100.46)"
74,Les foufous,2092,"($4,621,100.46)"
75,D’or et de platine,2092,"($4,621,100.46)"
76,solo factory,2080,"($5,064,592.64)"
