,Team,Orders Out,Cash
0,Les coquelicots,5296,2439533.508306
1,groupe13,5157,2309099.326233
2,Photovoltamites,3784,2029249.280719
3,HomeIsNotAWorkPlace,4131,1884434.758382
4,SalsaBaguette,4018,1629840.017714
5,GPTeam,3491,1507308.610078
6,Lux,5028,1386766.078015
7,L'OBRG,5219,1240207.376042
8,LeCercle,4181,980208.719747
9,pacyma,4392,956333.374438
10,CACIB LargeCap Industry,4735,820623.280918
11,Solar leaders,4747,816308.672609
12,La Qualiteam,4749,781046.732315
13,EHTP,2406,765778.532956
14,CapitaineAbandonné,2465,762915.15854
15,Équipe__93183,3846,720934.652438
16,CookieClickerPGM,4353,665062.572993
17,Panelli 2000,3584,637554.915057
18,Le dernier rang,3298,551517.615561
19,Les 4 fantastiques,3403,509611.067424
20,Campagn'Arts Sibersssois,3686,451624.376936
21,Solar1200,3431,434832.374855
22,ElectroFusion innovation Inc.,3612,433387.676121
23,Harissa,2474,428658.343976
24,BRJEUX,2747,391784.126958
25,Missile Sol-Air,4070,338060.444186
26,PPM CORP. AND ASSOCIATES,2964,338050.535202
27,Solairestp,4901,323839.332371
28,Cocorico,3067,306556.941069
29,Solary,4864,299316.991686
30,Châlon’s Limited,2141,291973.89418
31,Le Renard,2289,289636.386013
32,Les campagnards,3689,255134.554114
33,Nuclear > Solar,3353,254826.801024
34,Serious team,4244,227349.471855
35,Max Verstappen,2466,226830.071752
36,Les Clunsois,2388,180050.453064
37,Col partners,1937,155776.954946
38,Saison raclette ouverte,1690,77421.170725
39,Les Backstreet Boyz,3512,31609.069503
40,Les fifrelins,3524,-43576.303798
41,BR Électricité,2476,-160737.133514
42,team11,2382,-162655.490343
43,AL-Suppliers,3197,-273094.219338
44,ça zinzinule,3265,-288246.647102
45,DinoCo,3117,-302432.356281
46,ANTIBE,3542,-377856.924577
47,Solar Cover,2468,-391646.229588
48,xX_K1ll3rC4rd1_Xx,2309,-417117.71626
49,PoêleWater,2547,-443456.88097
50,Emily Franquiel,2476,-504534.125942
51,151160,3194,-547037.439028
52,The_team,4850,-562265.262672
53,Solar Team,2111,-667828.772316
54,Les foufous2,3238,-691754.982005
55,27kiπne,2971,-873791.075169
56,Factorylearn,2164,-1118230.980398
57,HPC 220,2406,-1193940.329154
58,Erasmus,1523,-1408864.166184
59,Ninte,3353,-1410388.991095
60,Equipe 7,3458,-1422804.57267
61,Palanca,2346,-1450326.600914
62,A&C,2918,-1581701.79204
63,Equipe_42,4806,-1669613.995685
64,Pucela,2301,-1805850.862282
65,décUV,3023,-1938912.675491
66,Nom d’équipe,2476,-2418601.987499
67,GADZ CREDA,3656,-2456641.434495
68,J&TS,2476,-2720617.947062
69,Vivrela,1834,-2804601.443045
70,TEAM257778126,2476,-4086025.711758
71,L'Horizon,2476,-4747800.518343
72,D’or et de platine,2476,-5534600.647538
73,Chad Industries,2476,-5836100.701335
74,Les foufous,2476,-5836100.701335
75,équipe sans action,2476,-5836100.701335
76,solo factory,2488,-6279592.888835
