,Team,Orders Out,Cash
0,SalsaBaguette,2669,"$1,615,102.34"
1,groupe13,3294,"$1,226,662.41"
2,CACIB LargeCap Industry,2889,"$1,082,444.96"
3,The_team,3143,"$980,362.09"
4,Photovoltamites,2469,"$949,999.78"
5,HomeIsNotAWorkPlace,2734,"$881,685.71"
6,Lux,3233,"$827,366.84"
7,Les coquelicots,3350,"$762,047.54"
8,Missile Sol-Air,2647,"$709,873.35"
9,Équipe__93183,2362,"$658,435.22"
10,Solar leaders,2821,"$646,809.43"
11,CookieClickerPGM,2961,"$538,625.81"
12,La Qualiteam,2840,"$473,224.51"
13,Les campagnards,2299,"$466,397.83"
14,GPTeam,2415,"$445,056.72"
15,ElectroFusion innovation Inc.,2247,"$421,388.47"
16,Solairestp,2962,"$418,990.21"
17,BRJEUX,1681,"$334,597.20"
18,Campagn'Arts Sibersssois,2278,"$317,500.27"
19,L'OBRG,3264,"$255,458.03"
20,LeCercle,2545,"$157,209.22"
21,Solary,2944,"$117,163.27"
22,Panelli 2000,2434,"$49,555.55"
23,Le dernier rang,1973,"$26,238.32"
24,pacyma,2817,"($8,785.77)"
25,Serious team,2466,"($79,587.02)"
26,CapitaineAbandonné,1679,"($84,771.36)"
27,Harissa,1730,"($140,141.41)"
28,EHTP,1705,"($196,970.91)"
29,Le Renard,1729,"($198,163.44)"
30,Col partners,1448,"($226,657.63)"
31,Châlon’s Limited,1548,"($227,275.80)"
32,Les 4 fantastiques,2357,"($266,924.81)"
33,Equipe_42,2908,"($321,677.81)"
34,Max Verstappen,1744,"($374,824.36)"
35,Saison raclette ouverte,1142,"($409,578.27)"
36,Cocorico,2175,"($434,855.35)"
37,Les Clunsois,1656,"($441,748.56)"
38,Solar1200,2457,"($562,604.69)"
39,Les fifrelins,2426,"($587,575.69)"
40,Nuclear > Solar,2349,"($646,172.69)"
41,Emily Franquiel,1744,"($686,321.14)"
42,team11,1676,"($775,009.39)"
43,BR Électricité,1744,"($850,426.66)"
44,ANTIBE,2444,"($864,296.23)"
45,PPM CORP. AND ASSOCIATES,1988,"($899,448.33)"
46,DinoCo,2179,"($952,244.13)"
47,Solar Cover,1736,"($968,334.60)"
48,Les Backstreet Boyz,2439,"($1,021,140.08)"
49,ça zinzinule,2423,"($1,032,246.19)"
50,xX_K1ll3rC4rd1_Xx,1664,"($1,080,290.19)"
51,Les foufous2,2223,"($1,146,003.92)"
52,Solar Team,1623,"($1,215,015.57)"
53,PoêleWater,1917,"($1,244,456.33)"
54,AL-Suppliers,2221,"($1,305,093.40)"
55,Erasmus,1523,"($1,408,863.24)"
56,151160,2242,"($1,462,536.90)"
57,27kiπne,2125,"($1,496,790.75)"
58,HPC 220,1674,"($1,594,939.75)"
59,Factorylearn,1671,"($1,627,480.45)"
60,Equipe 7,2360,"($2,086,460.21)"
61,Ninte,2259,"($2,137,388.44)"
62,A&C,1994,"($2,344,626.46)"
63,Pucela,1733,"($2,401,100.46)"
64,J&TS,1744,"($2,461,101.08)"
65,décUV,2154,"($2,462,412.13)"
66,Vivrela,1744,"($2,477,600.37)"
67,Nom d’équipe,1744,"($2,618,600.95)"
68,GADZ CREDA,2192,"($2,674,929.66)"
69,Palanca,1646,"($2,681,788.51)"
70,TEAM257778126,1744,"($3,282,024.93)"
71,D’or et de platine,1744,"($3,739,100.22)"
72,Chad Industries,1744,"($3,739,100.22)"
73,Les foufous,1744,"($3,739,100.22)"
74,équipe sans action,1744,"($3,739,100.22)"
75,L'Horizon,1744,"($3,987,590.04)"
76,solo factory,1744,"($4,182,592.41)"
