,Team,Orders Out,Cash
0,Photovoltamites,4452,2777936.304147
1,groupe13,6002,2719098.623498
2,Les coquelicots,6164,2707782.290654
3,Lux,5875,2355915.299078
4,SalsaBaguette,4667,2324659.288367
5,HomeIsNotAWorkPlace,4865,2110371.320565
6,GPTeam,4052,2072197.936757
7,La Qualiteam,5635,1571295.878115
8,pacyma,5208,1527082.526681
9,CookieClickerPGM,5055,1344124.271416
10,Solar leaders,5612,1223857.961197
11,CapitaineAbandonné,3028,1207414.448999
12,Équipe__93183,4675,1143543.969328
13,EHTP,2829,1073528.136017
14,L'OBRG,6082,1058644.057443
15,Panelli 2000,4235,942491.76725
16,Les 4 fantastiques,3990,920172.924221
17,Serious team,5056,809223.118116
18,Harissa,2917,639108.037728
19,PPM CORP. AND ASSOCIATES,3492,632612.181538
20,Le Renard,2612,609811.264461
21,Les Clunsois,2814,547050.19536
22,Les Backstreet Boyz,4136,542170.71751
23,Solary,5729,534478.38844
24,team11,2818,522344.206495
25,Les campagnards,4499,489158.382901
26,ANTIBE,4142,317863.683122
27,Max Verstappen,2910,297605.300007
28,Châlon’s Limited,2506,294151.11422
29,Solairestp,5761,278338.32636
30,PoêleWater,2930,240105.097416
31,Missile Sol-Air,4885,227409.741097
32,Solar1200,3988,203503.704732
33,ElectroFusion innovation Inc.,4269,195324.412109
34,ça zinzinule,3738,177127.904889
35,Solar Cover,2918,163548.298669
36,Cocorico,3561,113731.673912
37,Les foufous2,3830,81493.789905
38,AL-Suppliers,3737,56904.967155
39,CACIB LargeCap Industry,5574,53095.607222
40,LeCercle,4995,44208.078915
41,Saison raclette ouverte,2047,3920.679727
42,Le dernier rang,4046,-12585.74522
43,BR Électricité,2911,-13548.629645
44,Les fifrelins,4105,-39389.624509
45,Col partners,2227,-55379.521167
46,Nuclear > Solar,3905,-79736.289271
47,Emily Franquiel,2944,-125034.665645
48,Campagn'Arts Sibersssois,4518,-191689.185659
49,Solar Team,2430,-246766.900885
50,BRJEUX,3386,-283403.938481
51,DinoCo,3652,-313620.437863
52,151160,3724,-320537.95465
53,27kiπne,3483,-472103.979785
54,xX_K1ll3rC4rd1_Xx,2736,-699868.361204
55,HPC 220,2832,-738815.951093
56,The_team,5632,-781704.544781
57,Equipe_42,5608,-905915.583004
58,Equipe 7,4051,-1000367.633569
59,Ninte,3939,-1068431.392914
60,Factorylearn,2491,-1123669.194696
61,A&C,3415,-1222389.687427
62,Palanca,2786,-1233139.700114
63,Erasmus,1523,-1408864.990308
64,décUV,3487,-1516600.727137
65,Pucela,2690,-1688913.761027
66,GADZ CREDA,4389,-1773558.876795
67,J&TS,2956,-2065506.935437
68,Nom d’équipe,2936,-2237102.969362
69,Vivrela,1882,-2624602.478517
70,TEAM257778126,2948,-3837026.494016
71,L'Horizon,2949,-5565700.642171
72,D’or et de platine,3124,-7043600.941587
73,Chad Industries,3112,-7267101.158571
74,équipe sans action,3124,-7267101.170456
75,Les foufous,3136,-7267101.170456
76,solo factory,3124,-7269593.356808
