,Team,Orders Out,Cash
0,SalsaBaguette,2733,"$1,854,672.62"
1,groupe13,3386,"$1,128,662.38"
2,Photovoltamites,2536,"$868,249.75"
3,Lux,3322,"$852,116.80"
4,CookieClickerPGM,3022,"$791,938.29"
5,Les campagnards,2359,"$711,522.80"
6,Missile Sol-Air,2705,"$682,873.34"
7,L'OBRG,3355,"$596,708.00"
8,Équipe__93183,2426,"$565,435.19"
9,Solar leaders,2911,"$562,309.40"
10,HomeIsNotAWorkPlace,2806,"$488,685.64"
11,ElectroFusion innovation Inc.,2319,"$458,888.43"
12,Solary,3034,"$454,663.22"
13,Campagn'Arts Sibersssois,2340,"$446,000.23"
14,GPTeam,2471,"$442,149.19"
15,Les coquelicots,3446,"$437,534.45"
16,Solairestp,3056,"$424,990.17"
17,LeCercle,2613,"$412,209.20"
18,La Qualiteam,2930,"$367,724.48"
19,BRJEUX,1725,"$329,534.66"
20,pacyma,2907,"$328,714.21"
21,Le dernier rang,2027,"$258,175.79"
22,Serious team,2538,"$190,412.91"
23,CACIB LargeCap Industry,2979,"$96,944.89"
24,CapitaineAbandonné,1713,"$42,728.59"
25,Equipe_42,3004,"$38,322.12"
26,The_team,3234,"($1,388.01)"
27,Panelli 2000,2488,"($49,444.48)"
28,Harissa,1766,"($66,941.42)"
29,EHTP,1739,"($69,470.95)"
30,Col partners,1476,"($142,657.64)"
31,Les 4 fantastiques,2411,"($245,924.84)"
32,Châlon’s Limited,1576,"($266,463.31)"
33,Le Renard,1765,"($276,838.45)"
34,Les Clunsois,1692,"($306,748.57)"
35,Max Verstappen,1780,"($401,497.81)"
36,Saison raclette ouverte,1168,"($426,578.31)"
37,Cocorico,2220,"($436,305.36)"
38,Nuclear > Solar,2400,"($454,922.71)"
39,Les fifrelins,2480,"($526,575.71)"
40,Emily Franquiel,1780,"($560,321.15)"
41,Solar1200,2511,"($693,104.72)"
42,PPM CORP. AND ASSOCIATES,2036,"($719,448.39)"
43,team11,1708,"($747,957.32)"
44,DinoCo,2225,"($794,744.18)"
45,Les Backstreet Boyz,2493,"($818,640.12)"
46,Solar Cover,1772,"($842,334.63)"
47,BR Électricité,1780,"($862,200.13)"
48,ça zinzinule,2468,"($863,496.21)"
49,Les foufous2,2267,"($981,003.96)"
50,Solar Team,1647,"($1,114,703.10)"
51,PoêleWater,1947,"($1,118,456.36)"
52,AL-Suppliers,2269,"($1,125,093.43)"
53,151160,2290,"($1,282,536.93)"
54,ANTIBE,2498,"($1,286,569.72)"
55,Erasmus,1523,"($1,408,863.28)"
56,HPC 220,1710,"($1,459,939.77)"
57,xX_K1ll3rC4rd1_Xx,1696,"($1,472,415.23)"
58,27kiπne,2171,"($1,490,790.77)"
59,Factorylearn,1680,"($1,600,480.47)"
60,Ninte,2313,"($1,934,888.46)"
61,Equipe 7,2414,"($2,293,460.25)"
62,Pucela,1748,"($2,356,100.50)"
63,A&C,2042,"($2,387,626.48)"
64,décUV,2202,"($2,426,912.15)"
65,Vivrela,1776,"($2,477,600.41)"
66,Nom d’équipe,1780,"($2,510,600.99)"
67,Palanca,1678,"($2,567,726.07)"
68,GADZ CREDA,2264,"($2,582,929.70)"
69,J&TS,1780,"($3,016,101.15)"
70,TEAM257778126,1780,"($3,282,024.97)"
71,D’or et de platine,1780,"($3,739,100.25)"
72,Chad Industries,1780,"($3,739,100.25)"
73,Les foufous,1780,"($3,739,100.25)"
74,équipe sans action,1780,"($3,739,100.25)"
75,solo factory,1780,"($4,182,592.44)"
76,L'Horizon,1780,"($4,433,090.11)"
