,Team,Orders Out,Cash
0,groupe13,6654,3917098.37066
1,Les coquelicots,6855,3621188.185979
2,Photovoltamites,4898,3087061.119366
3,HomeIsNotAWorkPlace,5393,2980394.411051
4,pacyma,5905,2633082.300145
5,SalsaBaguette,5351,2571636.604965
6,GPTeam,4386,2550582.760133
7,CookieClickerPGM,5607,2430561.479374
8,Lux,6587,2276252.556984
9,Serious team,5769,1997011.810424
10,CapitaineAbandonné,3402,1692664.309931
11,Équipe__93183,5202,1632973.72124
12,Panelli 2000,4689,1419741.544612
13,L'OBRG,6718,1417893.786122
14,Missile Sol-Air,5591,1393859.502822
15,Solar leaders,6240,1311053.088896
16,EHTP,3082,1147778.001835
17,Solairestp,6558,1125137.505233
18,La Qualiteam,6305,1088795.554237
19,Campagn'Arts Sibersssois,5229,1077122.914819
20,Harissa,3181,903616.784401
21,Les fifrelins,4587,852735.099777
22,Les campagnards,5153,772845.449593
23,ElectroFusion innovation Inc.,4900,772704.361881
24,team11,3051,746094.090553
25,PPM CORP. AND ASSOCIATES,3942,701611.906488
26,Le Renard,2726,683023.200875
27,Solary,6506,681465.539427
28,Les Backstreet Boyz,4574,676045.4279
29,ça zinzinule,4035,673940.236853
30,DinoCo,4030,648475.709306
31,Nuclear > Solar,4297,632763.51525
32,Les Clunsois,3088,625650.036913
33,Les 4 fantastiques,4412,610797.701589
34,LeCercle,5644,553934.461602
35,Châlon’s Limited,2691,531673.538969
36,BRJEUX,3978,501408.32192
37,Solar1200,4459,438388.987275
38,ANTIBE,4538,420540.520673
39,AL-Suppliers,4062,408654.666892
40,Solar Cover,3154,383201.212449
41,PoêleWater,3150,355104.881353
42,Saison raclette ouverte,2245,255920.476531
43,BR Électricité,3185,244592.294124
44,Cocorico,3907,236669.085787
45,151160,4076,190461.863848
46,Les foufous2,4142,171680.839474
47,Max Verstappen,3201,141461.464269
48,The_team,6240,104857.598998
49,Emily Franquiel,3208,88265.167146
50,xX_K1ll3rC4rd1_Xx,3000,15631.457875
51,Solar Team,2614,4295.345467
52,Col partners,2388,-38129.627813
53,Le dernier rang,4686,-83946.031542
54,27kiπne,3813,-180104.114786
55,Ninte,4333,-342022.720136
56,CACIB LargeCap Industry,6459,-352029.91443
57,HPC 220,3106,-394253.659505
58,Factorylearn,2656,-451294.391716
59,Equipe 7,4447,-783930.325403
60,Pucela,2888,-907913.922528
61,GADZ CREDA,4911,-1383777.914
62,Erasmus,1523,-1408865.326062
63,Palanca,3050,-1465327.406976
64,décUV,3731,-1467850.838078
65,A&C,3695,-1500702.38029
66,Nom d’équipe,3200,-1902603.344949
67,Vivrela,1904,-2542102.851183
68,J&TS,3220,-2660491.698936
69,TEAM257778126,3222,-4652518.948599
70,L'Horizon,3000,-5580600.71185
71,Equipe_42,6335,-6449792.309559
72,solo factory,3323,-7248593.568259
73,D’or et de platine,3388,-7927101.038168
74,équipe sans action,3388,-8482101.291183
75,Les foufous,3400,-8482101.291183
76,Chad Industries,3388,-8482101.291183
