,Team,Orders Out,Cash
0,groupe13,7230,4336098.20398
1,Les coquelicots,7463,3379586.306708
2,CookieClickerPGM,6039,3376686.271007
3,pacyma,6475,3308582.11456
4,Photovoltamites,5309,3287310.948849
5,SalsaBaguette,5927,3205643.227136
6,HomeIsNotAWorkPlace,5825,3031394.15514
7,GPTeam,4671,2852687.574395
8,Lux,7242,2774902.32514
9,Serious team,6413,2387232.828965
10,Équipe__93183,5742,2121473.567055
11,Solairestp,7327,1959048.725722
12,Solar leaders,6893,1796802.853976
13,CapitaineAbandonné,3726,1692664.175368
14,Panelli 2000,5061,1642741.364983
15,La Qualiteam,6879,1480170.255732
16,EHTP,3301,1478527.895233
17,Les campagnards,5693,1476595.084105
18,Harissa,3397,1050016.696661
19,LeCercle,6226,1025718.196417
20,ça zinzinule,4294,1018377.60495
21,PPM CORP. AND ASSOCIATES,4326,969611.704905
22,ElectroFusion innovation Inc.,5476,896803.108504
23,ANTIBE,4862,867899.689648
24,team11,3254,857343.996989
25,Les Clunsois,3304,849649.899137
26,Le Renard,2840,843910.663638
27,Les 4 fantastiques,4784,763797.431289
28,Les fifrelins,4971,753734.865227
29,L'OBRG,7356,686706.094176
30,Châlon’s Limited,2835,656508.465793
31,Nuclear > Solar,4621,653763.338729
32,Campagn'Arts Sibersssois,5889,644560.091443
33,Les Backstreet Boyz,4981,642295.195072
34,PoêleWater,3330,635104.705373
35,AL-Suppliers,4350,612654.408291
36,Col partners,2550,606495.259059
37,Cocorico,4179,526806.525102
38,Solary,7164,523127.740992
39,BR Électricité,3401,484801.496153
40,Solar Cover,3382,395049.279545
41,Saison raclette ouverte,2407,381920.314345
42,151160,4380,378461.716126
43,Le dernier rang,5207,333846.235588
44,DinoCo,4281,328939.162708
45,Solar1200,4855,305159.70767
46,BRJEUX,4519,293158.115706
47,Max Verstappen,3460,287492.663017
48,xX_K1ll3rC4rd1_Xx,3228,257131.35915
49,Solar Team,2758,217670.150035
50,Missile Sol-Air,6170,202621.823948
51,CACIB LargeCap Industry,7118,193969.682769
52,Les foufous2,4493,168930.490508
53,The_team,6700,77544.903044
54,27kiπne,4083,42395.780598
55,Emily Franquiel,3424,5265.009918
56,Ninte,4655,-44522.876598
57,HPC 220,3322,-243378.830301
58,Equipe 7,4771,-370430.472447
59,Factorylearn,2791,-777169.713203
60,Pucela,3060,-820914.080683
61,GADZ CREDA,5343,-1245762.518768
62,A&C,3999,-1294007.274771
63,Erasmus,1523,-1408865.60077
64,décUV,3885,-1440100.920545
65,Palanca,3266,-1781202.56705
66,Nom d’équipe,3416,-1807603.655066
67,Vivrela,1922,-2474603.132583
68,J&TS,3448,-3402898.344488
69,Equipe_42,6983,-3722794.773613
70,TEAM257778126,3438,-5200456.679344
71,L'Horizon,3109,-6006600.746188
72,solo factory,3341,-7194593.715779
73,D’or et de platine,3604,-8810601.113658
74,équipe sans action,3604,-9031101.440439
75,Chad Industries,3604,-9031101.440439
76,Les foufous,3628,-9031101.446447
