,Team,Orders Out,Cash
0,groupe13,5371,2668599.259523
1,Les coquelicots,5513,2568783.389551
2,Photovoltamites,3933,2083999.225473
3,SalsaBaguette,4167,1770814.902476
4,HomeIsNotAWorkPlace,4299,1699934.657669
5,GPTeam,3608,1580546.027733
6,Lux,5234,1488565.990813
7,CookieClickerPGM,4521,1208499.98956
8,LeCercle,4372,1075458.664814
9,pacyma,4594,982833.293078
10,Solar leaders,4958,976658.584193
11,Équipe__93183,4052,944434.593476
12,La Qualiteam,4960,916296.643114
13,Solary,5075,810066.880856
14,Panelli 2000,3728,734554.843834
15,EHTP,2487,701028.481438
16,Missile Sol-Air,4264,641247.888525
17,Les 4 fantastiques,3529,616110.997568
18,Solar1200,3557,573616.190166
19,Le dernier rang,3473,571327.510226
20,L'OBRG,5431,569207.290499
21,Harissa,2558,546858.315588
22,Serious team,4441,519224.315416
23,Solairestp,5112,492089.230493
24,BRJEUX,2887,451721.563447
25,Les campagnards,3883,423071.929903
26,CapitaineAbandonné,2585,336915.047448
27,PPM CORP. AND ASSOCIATES,3076,315050.450671
28,ElectroFusion innovation Inc.,3761,302887.574116
29,Cocorico,3167,280156.918116
30,Le Renard,2348,278536.368302
31,Les Clunsois,2472,278150.424961
32,Les fifrelins,3650,277423.623173
33,Campagn'Arts Sibersssois,3877,251936.734922
34,Châlon’s Limited,2211,226286.342572
35,The_team,5035,211921.965472
36,Max Verstappen,2550,148192.020598
37,DinoCo,3225,102567.552914
38,ça zinzinule,3357,75003.305787
39,ANTIBE,3668,22504.96791
40,Saison raclette ouverte,1754,-31578.886192
41,Nuclear > Solar,3465,-32173.266396
42,Les Backstreet Boyz,3638,-46891.034056
43,Col partners,1965,-62098.058162
44,BR Électricité,2560,-95375.213442
45,team11,2466,-172655.527843
46,CACIB LargeCap Industry,4940,-214653.003868
47,Les foufous2,3364,-219255.129135
48,PoêleWater,2617,-292456.949649
49,Emily Franquiel,2560,-338834.180466
50,Solar Cover,2552,-355346.328484
51,151160,3302,-475037.498351
52,Solar Team,2167,-490266.346554
53,xX_K1ll3rC4rd1_Xx,2390,-493367.750148
54,27kiπne,3075,-682291.11472
55,AL-Suppliers,3309,-729094.345569
56,Equipe_42,5004,-835426.785614
57,HPC 220,2490,-878940.397722
58,Ninte,3479,-1083805.722594
59,Palanca,2430,-1313326.64713
60,Equipe 7,3584,-1357304.632871
61,Erasmus,1523,-1408864.273015
62,A&C,3030,-1492701.837347
63,Pucela,2369,-1693850.933717
64,Factorylearn,2219,-1775418.620538
65,décUV,3116,-1923975.244789
66,J&TS,2560,-2465664.947314
67,GADZ CREDA,3824,-2541657.151725
68,Nom d’équipe,2560,-2607602.114056
69,Vivrela,1841,-2778351.586991
70,TEAM257778126,2560,-3834025.796325
71,L'Horizon,2560,-4855800.536164
72,D’or et de platine,2560,-5794100.686509
73,équipe sans action,2560,-5944100.762589
74,Les foufous,2560,-5944100.762589
75,Chad Industries,2560,-5944100.762589
76,solo factory,2572,-6387592.950089
