,Team,Orders Out,Cash
0,SalsaBaguette,2137,"$1,080,218.25"
1,Solar leaders,2143,"$512,309.68"
2,Photovoltamites,1945,"$496,999.98"
3,Équipe__93183,1837,"$467,685.46"
4,GPTeam,1933,"$425,984.43"
5,Solairestp,2208,"$423,290.53"
6,Lux,2498,"$418,217.16"
7,Les coquelicots,2550,"$326,756.27"
8,ElectroFusion innovation Inc.,1687,"$324,714.29"
9,LeCercle,1982,"$308,959.46"
10,Equipe_42,2179,"$257,253.47"
11,CookieClickerPGM,2447,"$230,188.64"
12,pacyma,2213,"$220,875.89"
13,Serious team,1877,"$199,975.90"
14,The_team,2349,"$171,862.56"
15,Missile Sol-Air,2175,"$163,623.50"
16,CACIB LargeCap Industry,2169,"$141,544.41"
17,HomeIsNotAWorkPlace,2134,"$132,186.04"
18,Campagn'Arts Sibersssois,1784,"$116,150.62"
19,BRJEUX,1273,"$90,159.94"
20,Solary,2312,"$79,403.28"
21,Le dernier rang,1523,"$79,023.61"
22,La Qualiteam,2128,"$54,836.78"
23,L'OBRG,2483,"$41,153.63"
24,Les campagnards,1813,"$36,073.10"
25,groupe13,2505,"$8,912.64"
26,CapitaineAbandonné,1392,"($278,895.87)"
27,Panelli 2000,1984,"($324,444.18)"
28,Harissa,1430,"($404,741.31)"
29,Saison raclette ouverte,916,"($412,578.07)"
30,Col partners,1250,"($442,024.70)"
31,EHTP,1417,"($520,220.58)"
32,DinoCo,1805,"($572,243.81)"
33,Max Verstappen,1444,"($641,345.61)"
34,Les 4 fantastiques,1929,"($673,424.59)"
35,Les Clunsois,1382,"($702,475.57)"
36,Châlon’s Limited,1324,"($722,413.21)"
37,Le Renard,1429,"($783,225.78)"
38,Solar1200,2035,"($1,006,541.94)"
39,Emily Franquiel,1444,"($1,025,620.93)"
40,BR Électricité,1444,"($1,059,697.78)"
41,Les fifrelins,1976,"($1,103,075.51)"
42,Solar Cover,1436,"($1,156,849.88)"
43,Cocorico,1816,"($1,187,705.20)"
44,team11,1417,"($1,191,186.36)"
45,Nuclear > Solar,1943,"($1,236,672.38)"
46,ça zinzinule,2057,"($1,345,746.01)"
47,Erasmus,1523,"($1,408,862.85)"
48,Les foufous2,1867,"($1,428,503.47)"
49,PPM CORP. AND ASSOCIATES,1588,"($1,430,447.67)"
50,Les Backstreet Boyz,1993,"($1,483,639.73)"
51,Solar Team,1407,"($1,484,327.79)"
52,PoêleWater,1667,"($1,485,456.11)"
53,151160,1842,"($1,607,536.68)"
54,Factorylearn,1414,"($1,636,480.24)"
55,27kiπne,1790,"($1,697,814.06)"
56,xX_K1ll3rC4rd1_Xx,1402,"($1,717,289.89)"
57,ANTIBE,1994,"($1,763,530.29)"
58,AL-Suppliers,1821,"($1,929,093.06)"
59,HPC 220,1382,"($2,094,939.50)"
60,Ninte,1860,"($2,162,888.25)"
61,TEAM257778126,1444,"($2,368,993.42)"
62,Pucela,1444,"($2,416,100.11)"
63,Vivrela,1444,"($2,477,600.06)"
64,L'Horizon,1444,"($2,521,099.89)"
65,Equipe 7,1926,"($2,664,834.92)"
66,J&TS,1444,"($2,737,100.65)"
67,Nom d’équipe,1444,"($2,750,600.50)"
68,Palanca,1444,"($2,812,600.39)"
69,A&C,1636,"($2,812,626.28)"
70,D’or et de platine,1444,"($2,857,100.02)"
71,Chad Industries,1444,"($2,857,100.02)"
72,équipe sans action,1444,"($2,857,100.02)"
73,Les foufous,1444,"($2,857,100.02)"
74,décUV,1778,"($3,041,661.90)"
75,solo factory,1444,"($3,300,592.21)"
76,GADZ CREDA,1596,"($3,524,116.76)"
