,Team,Orders Out,Cash
0,groupe13,6174,3415098.50765
1,Les coquelicots,6407,3202571.220742
2,Photovoltamites,4597,2795311.248193
3,HomeIsNotAWorkPlace,5033,2687894.631314
4,SalsaBaguette,4871,2525552.914501
5,Lux,6083,2504652.739089
6,pacyma,5433,2325082.438979
7,GPTeam,4173,2231427.870766
8,CookieClickerPGM,5247,2168624.152753
9,Serious team,5316,1500472.986278
10,Équipe__93183,4765,1479473.890328
11,Solary,6004,1312228.275372
12,Panelli 2000,4379,1286241.696633
13,CapitaineAbandonné,3164,1241164.393897
14,Solar leaders,5713,1165417.811233
15,EHTP,2921,999028.084972
16,Solairestp,5982,878088.235245
17,Missile Sol-Air,5108,873659.654442
18,Les 4 fantastiques,4137,788485.346148
19,Harissa,3001,757216.858157
20,L'OBRG,6276,742393.953535
21,Les Clunsois,2908,682650.161777
22,PPM CORP. AND ASSOCIATES,3622,673612.08822
23,Le Renard,2654,612235.730558
24,Campagn'Arts Sibersssois,4778,600560.646371
25,Les fifrelins,4267,528735.289548
26,team11,2902,512344.155147
27,BRJEUX,3582,466095.947532
28,Les foufous2,3927,456306.161715
29,Solar1200,4134,453253.65811
30,La Qualiteam,5828,444045.780577
31,Les campagnards,4702,439345.755103
32,CACIB LargeCap Industry,5900,432220.437173
33,LeCercle,5179,414020.505809
34,AL-Suppliers,3822,384654.896497
35,Cocorico,3670,365719.139774
36,Nuclear > Solar,4030,338513.635034
37,ça zinzinule,3846,331877.839469
38,Châlon’s Limited,2569,327151.087214
39,Le dernier rang,4263,309189.140047
40,ElectroFusion innovation Inc.,4481,267949.299414
41,Saison raclette ouverte,2109,220920.604563
42,Col partners,2289,192932.930072
43,Max Verstappen,2994,179414.125015
44,Solar Cover,2990,175898.221653
45,ANTIBE,4268,175407.87831
46,151160,3852,159461.977768
47,Equipe_42,5858,152146.74603
48,DinoCo,3786,130879.441434
49,Les Backstreet Boyz,4274,102045.620397
50,PoêleWater,3010,100105.007253
51,BR Électricité,3005,88909.623177
52,The_team,5821,47795.267342
53,Solar Team,2494,-187266.986265
54,Emily Franquiel,3040,-208534.722544
55,27kiπne,3589,-245354.02188
56,xX_K1ll3rC4rd1_Xx,2832,-339868.460069
57,HPC 220,2926,-422316.013654
58,Ninte,4076,-554681.477652
59,Equipe 7,4195,-808930.207456
60,Factorylearn,2551,-879169.286643
61,Palanca,2882,-1057202.26313
62,décUV,3595,-1283350.770523
63,A&C,3471,-1344389.734043
64,Pucela,2762,-1404913.852667
65,Erasmus,1523,-1408865.097139
66,GADZ CREDA,4551,-1954931.384702
67,Nom d’équipe,3020,-2049603.083354
68,Vivrela,1889,-2598352.600521
69,J&TS,3052,-2758928.96489
70,TEAM257778126,3042,-3974159.384321
71,L'Horizon,2950,-5567400.671062
72,D’or et de platine,3208,-7195100.971541
73,solo factory,3220,-7269593.430992
74,Chad Industries,3208,-7600101.20388
75,équipe sans action,3220,-7600101.213626
76,Les foufous,3232,-7600101.213626
