,Team,Orders Out,Cash
0,SalsaBaguette,2179,"$1,237,522.92"
1,Solar leaders,2191,"$692,309.66"
2,Lux,2556,"$635,717.14"
3,GPTeam,1975,"$579,734.41"
4,Photovoltamites,1986,"$479,749.96"
5,The_team,2413,"$411,862.54"
6,CookieClickerPGM,2486,"$391,501.12"
7,Serious team,1922,"$368,725.87"
8,CACIB LargeCap Industry,2229,"$366,544.39"
9,pacyma,2254,"$362,125.87"
10,Missile Sol-Air,2211,"$315,060.99"
11,HomeIsNotAWorkPlace,2182,"$312,186.02"
12,Solairestp,2260,"$268,290.52"
13,groupe13,2569,"$248,912.62"
14,BRJEUX,1304,"$206,409.93"
15,ElectroFusion innovation Inc.,1735,"$128,214.27"
16,Équipe__93183,1873,"$109,685.44"
17,Les campagnards,1852,"$99,998.08"
18,La Qualiteam,2176,"$91,836.76"
19,Le dernier rang,1559,"($74,438.92)"
20,Solary,2351,"($81,496.76)"
21,LeCercle,2026,"($147,040.57)"
22,L'OBRG,2546,"($167,041.71)"
23,CapitaineAbandonné,1414,"($196,395.90)"
24,Campagn'Arts Sibersssois,1822,"($239,411.91)"
25,Les coquelicots,2614,"($289,243.77)"
26,Harissa,1454,"($314,741.31)"
27,Panelli 2000,2020,"($330,944.20)"
28,Saison raclette ouverte,934,"($363,578.08)"
29,Col partners,1268,"($374,524.72)"
30,EHTP,1440,"($434,720.61)"
31,Les Clunsois,1406,"($612,475.58)"
32,DinoCo,1835,"($645,993.82)"
33,Les 4 fantastiques,1965,"($648,924.61)"
34,Châlon’s Limited,1342,"($650,788.22)"
35,Le Renard,1453,"($693,225.80)"
36,Max Verstappen,1468,"($712,927.91)"
37,Solar1200,2071,"($871,541.95)"
38,Emily Franquiel,1468,"($941,620.95)"
39,Les fifrelins,2012,"($968,075.52)"
40,Cocorico,1846,"($1,075,205.22)"
41,Solar Cover,1460,"($1,078,428.04)"
42,team11,1440,"($1,110,686.38)"
43,BR Électricité,1468,"($1,116,380.09)"
44,Nuclear > Solar,1975,"($1,116,672.40)"
45,ça zinzinule,2086,"($1,236,996.03)"
46,PPM CORP. AND ASSOCIATES,1620,"($1,310,447.72)"
47,Les foufous2,1893,"($1,323,628.51)"
48,Les Backstreet Boyz,2028,"($1,352,389.76)"
49,Solar Team,1431,"($1,394,327.81)"
50,PoêleWater,1687,"($1,401,456.12)"
51,Erasmus,1523,"($1,408,862.88)"
52,151160,1874,"($1,487,536.69)"
53,ANTIBE,2030,"($1,628,530.33)"
54,Factorylearn,1436,"($1,636,480.26)"
55,xX_K1ll3rC4rd1_Xx,1423,"($1,637,227.42)"
56,27kiπne,1820,"($1,658,314.07)"
57,AL-Suppliers,1853,"($1,809,093.09)"
58,Equipe_42,2238,"($1,922,936.65)"
59,HPC 220,1405,"($2,006,752.02)"
60,TEAM257778126,1468,"($2,361,774.69)"
61,Pucela,1468,"($2,416,100.14)"
62,Vivrela,1468,"($2,477,600.09)"
63,Ninte,1896,"($2,482,888.26)"
64,L'Horizon,1468,"($2,566,099.90)"
65,Equipe 7,1962,"($2,593,959.95)"
66,A&C,1662,"($2,715,126.29)"
67,J&TS,1468,"($2,737,100.69)"
68,Nom d’équipe,1468,"($2,750,600.53)"
69,Palanca,1468,"($2,812,600.44)"
70,D’or et de platine,1468,"($2,857,100.04)"
71,Chad Industries,1468,"($2,857,100.04)"
72,Les foufous,1468,"($2,857,100.04)"
73,équipe sans action,1468,"($2,857,100.04)"
74,décUV,1806,"($2,941,161.93)"
75,solo factory,1468,"($3,300,592.23)"
76,GADZ CREDA,1631,"($3,392,866.80)"
