,Team,Orders Out,Cash
0,SalsaBaguette,1709,"$730,110.66"
1,Missile Sol-Air,1813,"$383,498.64"
2,Le dernier rang,1197,"$371,516.30"
3,groupe13,1882,"$360,662.82"
4,Serious team,1513,"$330,788.78"
5,Campagn'Arts Sibersssois,1466,"$327,150.81"
6,GPTeam,1546,"$327,087.14"
7,BRJEUX,1035,"$294,910.16"
8,La Qualiteam,1648,"$269,837.02"
9,CookieClickerPGM,1982,"$261,147.23"
10,Solary,1844,"$239,087.48"
11,pacyma,1749,"$225,938.67"
12,Solar leaders,1672,"$188,458.35"
13,Lux,1918,"$165,317.42"
14,The_team,1760,"$142,675.50"
15,HomeIsNotAWorkPlace,1671,"$140,873.81"
16,Photovoltamites,1535,"$129,500.14"
17,Equipe_42,1691,"$116,476.34"
18,CACIB LargeCap Industry,1600,"$104,250.59"
19,L'OBRG,1903,"$38,153.78"
20,ElectroFusion innovation Inc.,1321,"($26,035.51)"
21,Les coquelicots,1979,"($27,993.48)"
22,Les campagnards,1492,"($45,164.21)"
23,Équipe__93183,1477,"($73,314.33)"
24,Solairestp,1728,"($99,809.18)"
25,LeCercle,1578,"($235,040.34)"
26,Saison raclette ouverte,676,"($412,577.90)"
27,Panelli 2000,1624,"($643,943.96)"
28,Col partners,1070,"($671,524.54)"
29,EHTP,1178,"($724,173.42)"
30,CapitaineAbandonné,1179,"($791,619.38)"
31,DinoCo,1499,"($820,056.07)"
32,Harissa,1190,"($828,391.21)"
33,Les 4 fantastiques,1581,"($889,924.37)"
34,Emily Franquiel,1204,"($1,026,620.77)"
35,Max Verstappen,1204,"($1,162,975.16)"
36,Solar1200,1675,"($1,292,541.72)"
37,Les fifrelins,1642,"($1,315,137.83)"
38,Châlon’s Limited,1153,"($1,395,975.44)"
39,Le Renard,1192,"($1,455,975.50)"
40,ça zinzinule,1704,"($1,497,495.83)"
41,team11,1196,"($1,502,686.18)"
42,Nuclear > Solar,1623,"($1,504,672.10)"
43,Les Clunsois,1163,"($1,520,975.31)"
44,BR Électricité,1204,"($1,536,224.68)"
45,Les Backstreet Boyz,1634,"($1,619,889.46)"
46,Solar Cover,1204,"($1,656,490.14)"
47,Factorylearn,1201,"($1,679,480.07)"
48,ANTIBE,1634,"($1,763,462.28)"
49,Les foufous2,1598,"($1,838,565.58)"
50,Solar Team,1186,"($1,860,277.53)"
51,151160,1522,"($1,963,536.47)"
52,Cocorico,1530,"($1,984,454.86)"
53,xX_K1ll3rC4rd1_Xx,1191,"($2,005,477.15)"
54,PoêleWater,1459,"($2,013,455.90)"
55,L'Horizon,1204,"($2,022,349.86)"
56,D’or et de platine,1204,"($2,022,349.86)"
57,Vivrela,1204,"($2,022,349.86)"
58,Chad Industries,1204,"($2,022,349.86)"
59,équipe sans action,1204,"($2,022,349.86)"
60,Pucela,1204,"($2,022,349.86)"
61,Les foufous,1204,"($2,022,349.86)"
62,PPM CORP. AND ASSOCIATES,1300,"($2,025,947.08)"
63,TEAM257778126,1204,"($2,244,118.21)"
64,AL-Suppliers,1501,"($2,253,092.78)"
65,27kiπne,1490,"($2,354,813.94)"
66,solo factory,1204,"($2,418,592.05)"
67,Erasmus,1353,"($2,478,831.92)"
68,Nom d’équipe,1204,"($2,513,350.14)"
69,Equipe 7,1566,"($2,540,907.53)"
70,HPC 220,1159,"($2,548,439.09)"
71,Palanca,1204,"($2,636,849.88)"
72,J&TS,1204,"($2,784,350.26)"
73,Ninte,1520,"($2,991,888.10)"
74,A&C,1352,"($3,360,375.98)"
75,décUV,1543,"($3,500,411.50)"
76,GADZ CREDA,1149,"($3,751,991.27)"
