,Team,Orders Out,Cash
0,Photovoltamites,2794,"$1,331,749.66"
1,Lux,3671,"$1,166,216.65"
2,groupe13,3702,"$996,224.77"
3,SalsaBaguette,3004,"$992,800.63"
4,La Qualiteam,3290,"$988,724.34"
5,Les campagnards,2593,"$869,772.67"
6,Les coquelicots,3830,"$809,534.25"
7,Équipe__93183,2690,"$729,435.10"
8,HomeIsNotAWorkPlace,3090,"$651,872.97"
9,CookieClickerPGM,3250,"$619,438.14"
10,CACIB LargeCap Industry,3279,"$435,845.62"
11,Missile Sol-Air,2942,"$425,873.27"
12,pacyma,3214,"$398,833.91"
13,ElectroFusion innovation Inc.,2587,"$389,763.29"
14,Solary,3388,"$388,755.25"
15,GPTeam,2694,"$363,171.57"
16,Solar leaders,3276,"$339,559.28"
17,The_team,3617,"$334,861.76"
18,Campagn'Arts Sibersssois,2589,"$277,500.07"
19,BRJEUX,1916,"$235,409.54"
20,Panelli 2000,2704,"$174,555.39"
21,Serious team,2842,"$127,412.73"
22,L'OBRG,3752,"$121,957.87"
23,Equipe_42,3393,"$89,821.98"
24,LeCercle,2895,"$55,709.08"
25,Le dernier rang,2260,"$31,298.15"
26,Solairestp,3406,"$21,090.05"
27,Saison raclette ouverte,1276,"($48,578.41)"
28,Harissa,1922,"($55,541.47)"
29,Le Renard,1894,"($123,575.99)"
30,Châlon’s Limited,1674,"($123,700.84)"
31,Les 4 fantastiques,2575,"($183,388.49)"
32,Les Clunsois,1824,"($233,948.63)"
33,EHTP,1877,"($307,971.11)"
34,CapitaineAbandonné,1851,"($315,771.64)"
35,Max Verstappen,1924,"($325,791.61)"
36,Col partners,1562,"($332,157.70)"
37,Cocorico,2380,"($342,305.41)"
38,Les fifrelins,2678,"($370,075.80)"
39,Solar1200,2727,"($394,104.82)"
40,DinoCo,2389,"($400,494.31)"
41,Emily Franquiel,1924,"($475,821.26)"
42,PPM CORP. AND ASSOCIATES,2212,"($543,948.64)"
43,Les Backstreet Boyz,2709,"($559,640.29)"
44,team11,1832,"($600,155.28)"
45,ça zinzinule,2642,"($601,308.80)"
46,ANTIBE,2714,"($639,163.62)"
47,Nuclear > Solar,2598,"($675,422.81)"
48,Solar Cover,1916,"($781,334.79)"
49,BR Électricité,1912,"($789,852.84)"
50,Les foufous2,2441,"($949,504.15)"
51,Solar Team,1735,"($1,051,890.73)"
52,151160,2482,"($1,073,537.04)"
53,PoêleWater,2067,"($1,090,456.47)"
54,xX_K1ll3rC4rd1_Xx,1825,"($1,138,852.88)"
55,27kiπne,2335,"($1,279,290.83)"
56,AL-Suppliers,2461,"($1,281,093.61)"
57,Erasmus,1523,"($1,408,863.46)"
58,HPC 220,1842,"($1,550,939.89)"
59,Factorylearn,1760,"($1,767,480.57)"
60,Ninte,2511,"($1,778,388.56)"
61,Equipe 7,2630,"($1,920,710.38)"
62,A&C,2219,"($2,056,001.54)"
63,Pucela,1838,"($2,056,100.63)"
64,Palanca,1796,"($2,127,226.27)"
65,décUV,2363,"($2,272,537.24)"
66,Vivrela,1788,"($2,432,600.56)"
67,GADZ CREDA,2528,"($2,502,492.37)"
68,Nom d’équipe,1924,"($2,561,601.21)"
69,J&TS,1924,"($2,797,101.43)"
70,TEAM257778126,1912,"($3,282,025.10)"
71,Chad Industries,1912,"($4,180,100.33)"
72,D’or et de platine,1924,"($4,180,100.34)"
73,équipe sans action,1924,"($4,180,100.34)"
74,Les foufous,1924,"($4,180,100.34)"
75,L'Horizon,1912,"($4,433,090.30)"
76,solo factory,1912,"($4,623,592.52)"
