,Team,Orders Out,Cash
0,groupe13,3648,"$1,442,724.80"
1,Photovoltamites,2751,"$1,170,499.67"
2,HomeIsNotAWorkPlace,3046,"$1,145,685.51"
3,Lux,3617,"$1,108,904.17"
4,Les coquelicots,3766,"$1,081,534.29"
5,Les campagnards,2554,"$962,647.70"
6,GPTeam,2658,"$802,466.60"
7,SalsaBaguette,2946,"$775,300.64"
8,La Qualiteam,3230,"$763,724.36"
9,CACIB LargeCap Industry,3249,"$673,345.64"
10,Campagn'Arts Sibersssois,2546,"$631,875.10"
11,Solar leaders,3212,"$557,559.30"
12,Équipe__93183,2642,"$549,435.12"
13,The_team,3561,"$474,861.78"
14,CookieClickerPGM,3208,"$439,563.16"
15,Equipe_42,3332,"$387,072.00"
16,Missile Sol-Air,2902,"$372,310.78"
17,L'OBRG,3672,"$319,457.89"
18,pacyma,3186,"$293,833.91"
19,Serious team,2787,"$197,662.77"
20,ElectroFusion innovation Inc.,2539,"$195,388.33"
21,Solary,3324,"$154,263.09"
22,BRJEUX,1880,"$100,409.56"
23,Harissa,1898,"$51,258.54"
24,Panelli 2000,2668,"$39,555.41"
25,Châlon’s Limited,1656,"($95,525.83)"
26,Saison raclette ouverte,1258,"($111,578.40)"
27,LeCercle,2846,"($128,040.90)"
28,Le dernier rang,2219,"($138,639.32)"
29,Le Renard,1875,"($196,138.48)"
30,Les 4 fantastiques,2546,"($203,490.03)"
31,Solairestp,3345,"($207,659.93)"
32,Les Clunsois,1800,"($323,948.62)"
33,Max Verstappen,1900,"($345,409.31)"
34,Cocorico,2350,"($372,005.40)"
35,EHTP,1854,"($394,221.07)"
36,Col partners,1536,"($399,657.69)"
37,CapitaineAbandonné,1828,"($402,021.59)"
38,Les fifrelins,2660,"($437,575.79)"
39,DinoCo,2359,"($504,744.29)"
40,Solar1200,2691,"($529,104.81)"
41,Emily Franquiel,1900,"($559,821.24)"
42,PPM CORP. AND ASSOCIATES,2180,"($663,948.61)"
43,team11,1808,"($690,155.27)"
44,Les Backstreet Boyz,2673,"($694,640.27)"
45,BR Électricité,1888,"($707,020.53)"
46,ça zinzinule,2613,"($715,746.29)"
47,ANTIBE,2678,"($773,981.31)"
48,Nuclear > Solar,2565,"($799,172.79)"
49,PoêleWater,2047,"($841,456.44)"
50,Solar Cover,1892,"($865,334.77)"
51,Les foufous2,2412,"($931,754.12)"
52,Solar Team,1719,"($1,118,765.71)"
53,151160,2450,"($1,193,537.02)"
54,xX_K1ll3rC4rd1_Xx,1803,"($1,220,477.86)"
55,27kiπne,2311,"($1,290,790.82)"
56,AL-Suppliers,2429,"($1,401,093.58)"
57,Erasmus,1523,"($1,408,863.43)"
58,HPC 220,1830,"($1,595,939.88)"
59,Factorylearn,1743,"($1,718,980.55)"
60,Ninte,2475,"($1,913,388.55)"
61,Equipe 7,2594,"($2,041,491.61)"
62,Pucela,1818,"($2,126,100.61)"
63,A&C,2192,"($2,155,564.04)"
64,Palanca,1775,"($2,205,976.24)"
65,décUV,2336,"($2,370,599.72)"
66,Vivrela,1786,"($2,440,100.53)"
67,GADZ CREDA,2480,"($2,560,992.34)"
68,Nom d’équipe,1900,"($2,633,601.18)"
69,J&TS,1900,"($2,869,101.39)"
70,TEAM257778126,1888,"($3,282,025.07)"
71,Chad Industries,1888,"($4,072,100.31)"
72,D’or et de platine,1900,"($4,180,100.32)"
73,Les foufous,1900,"($4,180,100.32)"
74,équipe sans action,1900,"($4,180,100.32)"
75,L'Horizon,1888,"($4,433,090.28)"
76,solo factory,1888,"($4,515,592.50)"
