,Team,Orders Out,Cash
0,Les coquelicots,6036,3055533.059084
1,groupe13,5889,2870099.063337
2,HomeIsNotAWorkPlace,4737,2444371.863868
3,Photovoltamites,4328,2224249.06483
4,SalsaBaguette,4554,2065249.660435
5,Lux,5740,1754415.74259
6,GPTeam,3924,1753848.330437
7,pacyma,5095,1749583.086938
8,La Qualiteam,5500,1569796.392307
9,CookieClickerPGM,4942,1566624.753737
10,Équipe__93183,4562,1225434.428849
11,LeCercle,4861,1224208.494925
12,EHTP,2712,1003278.367831
13,Panelli 2000,4108,987554.659321
14,BRJEUX,3254,916846.402041
15,Les 4 fantastiques,3866,850860.808725
16,Les campagnards,4360,845659.087751
17,PPM CORP. AND ASSOCIATES,3378,718550.195503
18,Les fifrelins,3992,683923.422951
19,Harissa,2786,676458.239089
20,CapitaineAbandonné,2908,672164.77767
21,L'OBRG,5943,643582.05934
22,Solar leaders,5478,627795.799704
23,Les Clunsois,2700,553350.358737
24,Serious team,4924,523848.887738
25,Le Renard,2514,505423.820622
26,Solary,5591,404916.527681
27,Châlon’s Limited,2395,382973.730483
28,Les foufous2,3706,297244.505091
29,ElectroFusion innovation Inc.,4156,269324.819738
30,Max Verstappen,2778,159042.9808
31,Les Backstreet Boyz,4012,118608.701689
32,Missile Sol-Air,4746,103372.707379
33,Col partners,2109,101006.051324
34,Cocorico,3440,100856.859184
35,Solar1200,3861,100816.584505
36,BR Électricité,2788,93442.827887
37,Equipe_42,5495,93385.347165
38,Nuclear > Solar,3780,92076.560882
39,Solairestp,5625,76088.920448
40,team11,2702,62344.384966
41,PoêleWater,2807,29542.889451
42,DinoCo,3535,24067.359331
43,ça zinzinule,3614,19878.161152
44,Saison raclette ouverte,1924,14420.941174
45,ANTIBE,4010,-25635.881077
46,Campagn'Arts Sibersssois,4379,-79126.101564
47,CACIB LargeCap Industry,5453,-94903.427795
48,Solar Cover,2792,-97566.512904
49,Le dernier rang,3907,-125745.248292
50,Emily Franquiel,2788,-251534.346063
51,xX_K1ll3rC4rd1_Xx,2619,-262617.843137
52,151160,3605,-290787.678026
53,Solar Team,2319,-394954.065955
54,AL-Suppliers,3609,-480094.609159
55,27kiπne,3359,-603791.23379
56,HPC 220,2718,-609940.566886
57,Equipe 7,3926,-888804.799227
58,Ninte,3821,-974555.949769
59,Factorylearn,2369,-1178981.425961
60,Palanca,2658,-1189326.829598
61,A&C,3340,-1366701.96521
62,The_team,5493,-1404953.440114
63,Erasmus,1523,-1408864.562984
64,Pucela,2565,-1544851.0766
65,décUV,3373,-1678912.920344
66,GADZ CREDA,4276,-2279058.443442
67,Nom d’équipe,2788,-2470602.430454
68,J&TS,2800,-2613227.83947
69,Vivrela,1860,-2707101.961571
70,TEAM257778126,2800,-3736026.035037
71,L'Horizon,2788,-5139300.578023
72,D’or et de platine,2788,-6418100.775487
73,équipe sans action,2788,-6718100.912014
74,Chad Industries,2788,-6718100.912014
75,Les foufous,2800,-6826100.922919
76,solo factory,2800,-7161593.099514
