,Team,Orders Out,Cash
0,groupe13,4402,"$1,867,849.54"
1,Photovoltamites,3267,"$1,764,499.47"
2,Lux,4311,"$1,759,116.37"
3,Les coquelicots,4534,"$1,568,533.89"
4,HomeIsNotAWorkPlace,3531,"$1,444,935.12"
5,SalsaBaguette,3503,"$1,294,670.31"
6,GPTeam,3083,"$968,068.85"
7,EHTP,2130,"$605,278.68"
8,CookieClickerPGM,3754,"$571,562.86"
9,Équipe__93183,3170,"$504,934.86"
10,Panelli 2000,3097,"$476,305.15"
11,L'OBRG,4454,"$456,457.64"
12,Solary,4099,"$429,842.39"
13,Les campagnards,3079,"$424,359.90"
14,ElectroFusion innovation Inc.,3106,"$398,138.00"
15,Solairestp,4133,"$357,839.70"
16,La Qualiteam,3998,"$342,567.85"
17,BRJEUX,2292,"$337,534.33"
18,Serious team,3492,"$310,349.87"
19,Missile Sol-Air,3468,"$299,873.13"
20,CapitaineAbandonné,2105,"$288,915.48"
21,Solar leaders,3972,"$285,259.02"
22,The_team,4212,"$278,048.75"
23,LeCercle,3495,"$270,708.91"
24,Equipe_42,4083,"$232,321.55"
25,Harissa,2186,"$209,058.44"
26,Les 4 fantastiques,2971,"$169,111.30"
27,CACIB LargeCap Industry,3970,"$105,873.78"
28,DinoCo,2745,"$74,005.43"
29,Le dernier rang,2730,"$67,527.91"
30,Solar1200,3078,"$12,707.52"
31,Le Renard,2085,"$11,686.44"
32,Nuclear > Solar,2961,"($21,172.99)"
33,Les fifrelins,3092,"($63,076.02)"
34,Châlon’s Limited,1901,"($75,525.97)"
35,Campagn'Arts Sibersssois,3091,"($84,000.24)"
36,pacyma,3727,"($100,916.37)"
37,Cocorico,2719,"($117,042.98)"
38,Max Verstappen,2188,"($123,796.91)"
39,PPM CORP. AND ASSOCIATES,2580,"($132,949.10)"
40,Col partners,1760,"($175,657.87)"
41,Saison raclette ouverte,1474,"($237,578.61)"
42,Les Backstreet Boyz,3080,"($378,390.60)"
43,Solar Cover,2180,"($421,389.76)"
44,ça zinzinule,2941,"($494,496.47)"
45,ANTIBE,3110,"($495,169.13)"
46,Emily Franquiel,2188,"($510,633.93)"
47,team11,2096,"($585,155.39)"
48,PoêleWater,2307,"($642,456.67)"
49,xX_K1ll3rC4rd1_Xx,2052,"($667,306.17)"
50,BR Électricité,2188,"($670,399.41)"
51,Les foufous2,2806,"($779,754.53)"
52,AL-Suppliers,2813,"($837,093.92)"
53,Solar Team,1919,"($871,328.50)"
54,Les Clunsois,2100,"($899,949.22)"
55,151160,2822,"($990,037.24)"
56,27kiπne,2641,"($1,033,290.94)"
57,HPC 220,2118,"($1,101,940.09)"
58,Erasmus,1523,"($1,408,863.80)"
59,Ninte,2921,"($1,412,888.73)"
60,Factorylearn,1965,"($1,443,355.77)"
61,Palanca,2058,"($1,532,326.41)"
62,Pucela,2061,"($1,676,850.69)"
63,Equipe 7,3026,"($1,881,304.35)"
64,A&C,2534,"($1,913,701.64)"
65,décUV,2693,"($2,107,287.45)"
66,Nom d’équipe,2188,"($2,481,101.58)"
67,J&TS,2188,"($2,780,101.86)"
68,Vivrela,1810,"($2,894,600.93)"
69,GADZ CREDA,3080,"($3,171,909.35)"
70,TEAM257778126,2188,"($3,778,025.39)"
71,L'Horizon,2188,"($4,505,800.46)"
72,D’or et de platine,2188,"($4,954,100.51)"
73,équipe sans action,2188,"($4,954,100.51)"
74,Les foufous,2188,"($4,954,100.51)"
75,Chad Industries,2188,"($4,954,100.51)"
76,solo factory,2188,"($5,397,592.70)"
