,Team,Orders Out,Cash
0,Photovoltamites,4476,2850436.301041
1,Les coquelicots,6190,2805094.768804
2,groupe13,6022,2802598.603972
3,SalsaBaguette,4686,2404909.27568
4,Lux,5875,2355915.299078
5,HomeIsNotAWorkPlace,4865,2110371.320565
6,GPTeam,4052,2072197.936757
7,pacyma,5246,1607332.509637
8,La Qualiteam,5635,1571295.878115
9,CookieClickerPGM,5079,1447186.751097
10,Solar leaders,5638,1332420.45645
11,CapitaineAbandonné,3046,1246851.942796
12,Équipe__93183,4693,1211043.957241
13,EHTP,2841,1118528.130707
14,L'OBRG,6082,1058644.057443
15,Panelli 2000,4255,990866.754464
16,Les 4 fantastiques,4008,950610.414112
17,Serious team,5082,913723.096641
18,Harissa,2929,684108.032634
19,PPM CORP. AND ASSOCIATES,3502,674612.166323
20,Solary,5755,643040.866917
21,Le Renard,2612,609811.261842
22,Les campagnards,4525,598658.362819
23,Les Clunsois,2824,438550.189319
24,team11,2828,393344.197783
25,ANTIBE,4142,317863.683122
26,ElectroFusion innovation Inc.,4293,298511.892129
27,Max Verstappen,2910,297605.300007
28,PoêleWater,2940,282105.092192
29,Solairestp,5761,278338.32636
30,ça zinzinule,3754,235627.895031
31,Châlon’s Limited,2514,234588.609749
32,Missile Sol-Air,4885,227409.741097
33,Les Backstreet Boyz,4154,218170.706158
34,Solar1200,3988,203503.704732
35,CACIB LargeCap Industry,5600,162595.577248
36,Cocorico,3572,160669.167988
37,Solar Cover,2926,101655.789482
38,Le dernier rang,4072,100664.237411
39,Les foufous2,3830,81493.789905
40,AL-Suppliers,3737,56904.967155
41,LeCercle,4995,44208.078915
42,BR Électricité,2921,23951.36045
43,Les fifrelins,4119,19110.36003
44,Saison raclette ouverte,2047,3920.679727
45,Col partners,2227,-55379.521167
46,Campagn'Arts Sibersssois,4547,-70189.212561
47,Nuclear > Solar,3905,-79736.289271
48,Emily Franquiel,2956,-83034.670739
49,BRJEUX,3412,-186903.958378
50,Solar Team,2438,-213329.412232
51,151160,3740,-260537.965826
52,DinoCo,3663,-266682.956592
53,27kiπne,3483,-472103.979785
54,xX_K1ll3rC4rd1_Xx,2748,-654868.376305
55,The_team,5659,-663204.57691
56,HPC 220,2842,-700628.461542
57,Equipe_42,5634,-791540.611689
58,Equipe 7,4069,-973555.145687
59,Ninte,3950,-1027181.40753
60,Factorylearn,2498,-1094419.207888
61,A&C,3420,-1199889.6931
62,Palanca,2798,-1218639.710734
63,Erasmus,1523,-1408864.990308
64,décUV,3497,-1474600.734573
65,Pucela,2698,-1655726.274506
66,GADZ CREDA,4404,-1710058.887079
67,J&TS,2968,-2020506.944318
68,Nom d’équipe,2936,-2237102.969362
69,Vivrela,1883,-2620852.496142
70,TEAM257778126,2958,-3802026.505967
71,L'Horizon,2949,-5565700.645812
72,D’or et de platine,3124,-7043600.941587
73,Chad Industries,3124,-7267101.170456
74,Les foufous,3148,-7267101.17999
75,équipe sans action,3136,-7267101.17999
76,solo factory,3136,-7269593.366081
