,Team,Orders Out,Cash
0,groupe13,5847,3155599.106883
1,Les coquelicots,6007,2946783.109829
2,Photovoltamites,4277,2536999.105093
3,SalsaBaguette,4511,2342024.708711
4,HomeIsNotAWorkPlace,4683,2233934.409785
5,Lux,5698,2082165.794803
6,GPTeam,3880,1845225.869938
7,pacyma,5052,1588333.1175
8,CookieClickerPGM,4900,1555687.294905
9,LeCercle,4813,1487208.533127
10,La Qualiteam,5458,1381796.437141
11,Équipe__93183,4518,1215934.461039
12,Panelli 2000,4058,1101554.691214
13,Equipe_42,5453,1054385.395166
14,Serious team,4895,994848.952345
15,EHTP,2682,977278.380529
16,BRJEUX,3207,867721.430292
17,Les 4 fantastiques,3835,734610.828742
18,L'OBRG,5901,667582.10074
19,Les campagnards,4318,656909.141768
20,Solairestp,5583,610338.979076
21,Harissa,2750,603258.250104
22,Solar leaders,5449,570795.847064
23,Solary,5549,547366.596255
24,PPM CORP. AND ASSOCIATES,3332,546050.230766
25,CapitaineAbandonné,2873,540914.825537
26,Les Backstreet Boyz,3944,482108.75048
27,Les fifrelins,3938,481423.440144
28,Missile Sol-Air,4704,440872.747876
29,Le Renard,2484,429836.329758
30,Les Clunsois,2664,418350.367337
31,ANTIBE,3956,325046.451647
32,Châlon’s Limited,2369,279911.247971
33,Max Verstappen,2742,255642.996538
34,ça zinzinule,3573,255503.188214
35,Solar1200,3804,220066.618174
36,CACIB LargeCap Industry,5411,184596.69171
37,The_team,5451,152046.661421
38,Cocorico,3400,112506.867817
39,Les foufous2,3652,94744.558995
40,ElectroFusion innovation Inc.,4114,80949.862865
41,Saison raclette ouverte,1898,31420.976699
42,Col partners,2075,11006.063779
43,BR Électricité,2752,-41283.714109
44,team11,2670,-57655.6047
45,Le dernier rang,3865,-60265.195666
46,Nuclear > Solar,3731,-91673.411941
47,PoêleWater,2777,-96457.089154
48,Campagn'Arts Sibersssois,4337,-106626.033535
49,Solar Cover,2744,-117616.471482
50,DinoCo,3485,-163432.611701
51,xX_K1ll3rC4rd1_Xx,2588,-250867.829761
52,Emily Franquiel,2752,-377534.323387
53,Solar Team,2295,-416766.530295
54,151160,3568,-429537.646994
55,27kiπne,3315,-495791.214112
56,AL-Suppliers,3565,-645094.55117
57,HPC 220,2682,-744940.547622
58,Equipe 7,3872,-973304.773596
59,Ninte,3767,-1034055.915519
60,Palanca,2622,-1146326.808992
61,Factorylearn,2346,-1271981.389848
62,Erasmus,1523,-1408864.5172
63,A&C,3286,-1417701.941008
64,Pucela,2529,-1679851.039138
65,décUV,3332,-1681475.392486
66,GADZ CREDA,4208,-1824107.862174
67,Nom d’équipe,2752,-2220102.375818
68,Vivrela,1857,-2718351.903994
69,J&TS,2764,-2722493.403085
70,TEAM257778126,2752,-3844026.008916
71,L'Horizon,2752,-5106300.572605
72,D’or et de platine,2752,-6311600.761396
73,équipe sans action,2752,-6385100.881022
74,Les foufous,2752,-6385100.881022
75,Chad Industries,2752,-6385100.881022
76,solo factory,2764,-6828593.068522
