,Team,Orders Out,Cash
0,groupe13,7774,4635098.04312
1,CookieClickerPGM,6495,3813248.565395
2,Les coquelicots,8007,3709093.851013
3,HomeIsNotAWorkPlace,6257,3655393.900708
4,SalsaBaguette,6471,3586578.913417
5,Photovoltamites,5672,3439560.750989
6,Lux,7914,3401252.126078
7,pacyma,7019,3155581.944184
8,GPTeam,4962,2820789.870336
9,Serious team,6911,2820755.947032
10,Équipe__93183,6252,2641973.422779
11,La Qualiteam,7423,2398607.507218
12,Solairestp,8024,2301798.487808
13,CapitaineAbandonné,4014,2223664.059613
14,Panelli 2000,5413,2092241.202244
15,Solar leaders,7569,2029927.617505
16,Les campagnards,6202,1967594.748456
17,EHTP,3496,1421777.796513
18,PPM CORP. AND ASSOCIATES,4688,1298111.512463
19,LeCercle,6748,1286421.195711
20,ANTIBE,5168,1247850.015129
21,Harissa,3601,1224616.612744
22,Campagn'Arts Sibersssois,6500,1171309.807261
23,The_team,7193,1137169.644826
24,ça zinzinule,4521,1116814.973051
25,Missile Sol-Air,6833,1113971.641615
26,Solary,7846,1084364.954423
27,Nuclear > Solar,4921,1071763.201744
28,Les Clunsois,3532,1028649.77176
29,Le Renard,2942,951673.130645
30,ElectroFusion innovation Inc.,5957,938511.253879
31,team11,3435,886093.907993
32,PoêleWater,3500,873104.541665
33,Les fifrelins,5335,853734.635486
34,BR Électricité,3605,756451.864898
35,Les Backstreet Boyz,5386,709045.001065
36,Solar1200,5209,628427.832111
37,Solar Cover,3586,620165.254808
38,BRJEUX,5138,610407.889846
39,L'OBRG,8017,594643.38788
40,151160,4652,589461.578856
41,Châlon’s Limited,3003,575280.912674
42,Les 4 fantastiques,5281,494047.203473
43,Saison raclette ouverte,2559,472920.164894
44,Les foufous2,4867,455430.162646
45,CACIB LargeCap Industry,7770,450156.779854
46,Col partners,2668,446932.640525
47,xX_K1ll3rC4rd1_Xx,3432,430131.269712
48,Max Verstappen,3684,355771.669948
49,Cocorico,4445,310276.783901
50,DinoCo,4544,307077.105162
51,Solar Team,2894,301107.461496
52,Le dernier rang,5732,294508.481531
53,27kiπne,4339,288895.682635
54,Ninte,4961,238477.016147
55,Emily Franquiel,3640,50564.865623
56,HPC 220,3526,-133441.491041
57,AL-Suppliers,4818,-134345.784015
58,Equipe 7,5095,-214430.618145
59,Factorylearn,2926,-227044.876003
60,Pucela,3236,-746914.210116
61,GADZ CREDA,5751,-971166.35224
62,A&C,4271,-1051984.013808
63,Equipe_42,7593,-1153546.40164
64,Erasmus,1523,-1408865.860216
65,décUV,4031,-1837101.092299
66,Nom d’équipe,3620,-1861103.954699
67,Palanca,3482,-2097077.718112
68,Vivrela,1942,-2410853.378922
69,J&TS,3652,-4159367.41899
70,TEAM257778126,3642,-5750508.986565
71,L'Horizon,3208,-6235100.768897
72,solo factory,3477,-7141218.865687
73,Chad Industries,3808,-9472101.566042
74,D’or et de platine,3808,-9479601.191391
75,Les foufous,3832,-9805101.575954
76,équipe sans action,3820,-9805101.575954
