,Team,Orders Out,Cash
0,SalsaBaguette,2329,"$1,563,979.09"
1,Photovoltamites,2126,"$671,749.91"
2,groupe13,2792,"$642,162.56"
3,Solary,2497,"$458,815.61"
4,LeCercle,2181,"$434,209.37"
5,ElectroFusion innovation Inc.,1863,"$403,888.69"
6,Les coquelicots,2838,"$401,243.11"
7,Lux,2761,"$388,767.04"
8,Solar leaders,2359,"$373,809.59"
9,HomeIsNotAWorkPlace,2350,"$347,685.93"
10,Équipe__93183,2021,"$331,685.37"
11,Campagn'Arts Sibersssois,1958,"$320,900.51"
12,GPTeam,2106,"$258,176.86"
13,Solairestp,2466,"$221,890.42"
14,Missile Sol-Air,2343,"$216,373.45"
15,BRJEUX,1428,"$167,409.86"
16,Le dernier rang,1685,"$142,683.49"
17,CapitaineAbandonné,1495,"$108,416.50"
18,Les campagnards,1987,"$105,998.00"
19,L'OBRG,2766,"($80,041.78)"
20,CookieClickerPGM,2633,"($88,873.98)"
21,EHTP,1521,"($130,970.68)"
22,Col partners,1330,"($142,024.74)"
23,La Qualiteam,2360,"($154,775.31)"
24,Serious team,2087,"($223,274.24)"
25,pacyma,2425,"($233,124.18)"
26,Panelli 2000,2146,"($302,944.28)"
27,Harissa,1538,"($331,541.34)"
28,Châlon’s Limited,1404,"($402,475.75)"
29,Saison raclette ouverte,998,"($472,578.13)"
30,Les Clunsois,1484,"($491,975.60)"
31,The_team,2631,"($516,637.62)"
32,Les 4 fantastiques,2091,"($519,924.67)"
33,Max Verstappen,1552,"($630,165.96)"
34,Le Renard,1537,"($645,225.86)"
35,Cocorico,1944,"($707,705.28)"
36,CACIB LargeCap Industry,2409,"($709,598.99)"
37,team11,1523,"($802,311.41)"
38,Emily Franquiel,1552,"($938,821.01)"
39,DinoCo,1939,"($945,243.95)"
40,Les Backstreet Boyz,2151,"($999,139.85)"
41,Solar Cover,1544,"($1,037,084.39)"
42,BR Électricité,1552,"($1,051,018.18)"
43,Solar1200,2183,"($1,079,104.55)"
44,Les fifrelins,2138,"($1,081,575.58)"
45,ANTIBE,2156,"($1,228,220.51)"
46,ça zinzinule,2188,"($1,250,496.08)"
47,Nuclear > Solar,2085,"($1,259,172.50)"
48,PPM CORP. AND ASSOCIATES,1732,"($1,374,947.93)"
49,AL-Suppliers,1965,"($1,389,093.17)"
50,Les foufous2,1991,"($1,395,003.66)"
51,Erasmus,1523,"($1,408,862.99)"
52,Solar Team,1495,"($1,447,015.39)"
53,xX_K1ll3rC4rd1_Xx,1496,"($1,509,290.01)"
54,151160,1986,"($1,578,536.76)"
55,PoêleWater,1757,"($1,583,456.18)"
56,Factorylearn,1510,"($1,636,480.32)"
57,27kiπne,1905,"($1,667,884.42)"
58,HPC 220,1483,"($1,725,189.59)"
59,TEAM257778126,1552,"($2,110,024.75)"
60,Equipe_42,2396,"($2,213,177.10)"
61,Equipe 7,2072,"($2,282,960.03)"
62,Ninte,2022,"($2,323,888.30)"
63,Pucela,1552,"($2,416,100.24)"
64,Vivrela,1552,"($2,477,600.17)"
65,L'Horizon,1552,"($2,651,099.90)"
66,J&TS,1552,"($2,737,100.82)"
67,A&C,1739,"($2,746,876.35)"
68,Nom d’équipe,1552,"($2,750,600.66)"
69,Palanca,1552,"($2,812,600.61)"
70,décUV,1899,"($2,818,224.49)"
71,GADZ CREDA,1820,"($2,829,929.41)"
72,D’or et de platine,1552,"($2,857,100.08)"
73,équipe sans action,1552,"($2,857,100.08)"
74,Les foufous,1552,"($2,857,100.08)"
75,Chad Industries,1552,"($2,857,100.08)"
76,solo factory,1552,"($3,300,592.27)"
