,Team,Orders Out,Cash
0,groupe13,6238,3655098.497071
1,Les coquelicots,6471,3441399.322593
2,HomeIsNotAWorkPlace,5081,2716394.602468
3,Photovoltamites,4640,2623561.225198
4,pacyma,5497,2565082.420694
5,Lux,6174,2387402.705985
6,CookieClickerPGM,5295,2374749.13876
7,GPTeam,4207,2368740.353406
8,SalsaBaguette,4935,2355384.746379
9,Panelli 2000,4441,1377241.664995
10,CapitaineAbandonné,3198,1368664.380836
11,Solar leaders,5776,1132667.79143
12,Serious team,5369,1097722.941476
13,EHTP,2944,1049778.070759
14,L'OBRG,6335,986768.92613
15,Équipe__93183,4812,946973.853767
16,Les 4 fantastiques,4175,904485.331612
17,Campagn'Arts Sibersssois,4843,861498.117158
18,Missile Sol-Air,5172,860909.632268
19,PPM CORP. AND ASSOCIATES,3664,831112.067602
20,La Qualiteam,5921,824295.74444
21,Harissa,3037,757216.842849
22,BRJEUX,3631,653470.93536
23,Les Clunsois,2932,626650.153256
24,Solar1200,4176,610753.646225
25,Le Renard,2666,603860.727356
26,team11,2923,591094.14915
27,Solairestp,6061,551338.197002
28,Solary,6066,492590.744784
29,Nuclear > Solar,4066,473513.624005
30,ça zinzinule,3873,437315.323013
31,Cocorico,3701,426469.133897
32,Equipe_42,5922,421771.724185
33,The_team,5902,403295.213271
34,Châlon’s Limited,2586,396588.581951
35,CACIB LargeCap Industry,5979,328470.420259
36,Les Backstreet Boyz,4334,327045.580479
37,Max Verstappen,3030,314140.678712
38,Le dernier rang,4324,311084.115305
39,ANTIBE,4304,310225.557144
40,LeCercle,5244,307770.502943
41,Saison raclette ouverte,2127,283920.588368
42,Col partners,2307,264557.921421
43,ElectroFusion innovation Inc.,4500,253699.277991
44,DinoCo,3821,251754.422589
45,Solar Cover,3010,250898.206626
46,Les campagnards,4793,196345.686391
47,PoêleWater,3030,184104.986739
48,BR Électricité,3029,178727.313613
49,Les foufous2,3965,55681.095347
50,Les fifrelins,4311,30735.252411
51,151160,3884,-53538.041683
52,Solar Team,2510,-120392.009311
53,Emily Franquiel,3064,-124534.738032
54,xX_K1ll3rC4rd1_Xx,2856,-249868.476948
55,27kiπne,3619,-337604.036274
56,HPC 220,2950,-340441.02149
57,AL-Suppliers,3854,-371345.14804
58,Ninte,4112,-419681.486642
59,Factorylearn,2566,-818044.304732
60,Equipe 7,4231,-855430.224949
61,Palanca,2906,-1189077.278928
62,décUV,3625,-1196350.77781
63,Pucela,2780,-1333913.8697
64,Erasmus,1523,-1408865.142923
65,A&C,3503,-1489702.253602
66,GADZ CREDA,4599,-1777113.702868
67,Nom d’équipe,3044,-2342103.125373
68,Vivrela,1892,-2587102.651829
69,J&TS,3076,-2744866.507729
70,TEAM257778126,3066,-4096815.661879
71,L'Horizon,2950,-5567400.678223
72,D’or et de platine,3232,-7195100.97463
73,solo factory,3244,-7269593.449538
74,Chad Industries,3232,-7708101.215324
75,équipe sans action,3244,-7708101.216238
76,Les foufous,3256,-7708101.216238
