,Team,Orders Out,Cash
0,groupe13,4466,"$2,107,849.53"
1,Lux,4370,"$1,612,866.35"
2,Photovoltamites,3310,"$1,592,749.46"
3,Les coquelicots,4598,"$1,530,533.85"
4,HomeIsNotAWorkPlace,3579,"$1,473,435.09"
5,SalsaBaguette,3546,"$1,257,495.29"
6,GPTeam,3117,"$1,105,381.33"
7,CookieClickerPGM,3826,"$776,312.84"
8,Serious team,3552,"$535,349.83"
9,Solar leaders,4036,"$525,258.99"
10,La Qualiteam,4044,"$515,067.83"
11,Missile Sol-Air,3517,"$499,310.61"
12,BRJEUX,2327,"$476,034.32"
13,Équipe__93183,3218,"$413,434.84"
14,CapitaineAbandonné,2134,"$397,665.47"
15,EHTP,2153,"$358,528.66"
16,CACIB LargeCap Industry,4035,"$349,623.76"
17,LeCercle,3554,"$313,958.89"
18,Les campagnards,3127,"$307,859.87"
19,Le dernier rang,2778,"$266,465.39"
20,Solary,4164,"$262,654.86"
21,Harissa,2210,"$164,058.43"
22,Equipe_42,4148,"$159,571.52"
23,L'OBRG,4519,"$147,207.61"
24,Solairestp,4198,"$127,089.66"
25,Les 4 fantastiques,3007,"$122,611.28"
26,Solar1200,3106,"$119,582.51"
27,Campagn'Arts Sibersssois,3140,"$115,999.72"
28,ElectroFusion innovation Inc.,3148,"$115,700.47"
29,Panelli 2000,3132,"$114,555.13"
30,Nuclear > Solar,2994,"$102,577.00"
31,Le Renard,2102,"$80,623.94"
32,Les fifrelins,3128,"$71,923.96"
33,pacyma,3767,"$66,083.60"
34,Cocorico,2750,($792.99)
35,PPM CORP. AND ASSOCIATES,2612,"($12,949.12)"
36,Max Verstappen,2212,"($104,179.21)"
37,Châlon’s Limited,1921,"($107,150.99)"
38,Col partners,1778,"($108,157.88)"
39,Saison raclette ouverte,1492,"($174,578.63)"
40,Les Backstreet Boyz,3116,"($243,390.62)"
41,The_team,4265,"($343,326.36)"
42,ANTIBE,3146,"($360,351.44)"
43,ça zinzinule,2968,"($389,058.98)"
44,DinoCo,2776,"($468,244.61)"
45,team11,2120,"($495,155.40)"
46,PoêleWater,2327,"($558,456.68)"
47,BR Électricité,2212,"($580,581.72)"
48,xX_K1ll3rC4rd1_Xx,2075,"($599,353.05)"
49,Les foufous2,2842,"($644,754.57)"
50,Solar Cover,2204,"($648,108.54)"
51,AL-Suppliers,2845,"($717,093.94)"
52,Emily Franquiel,2212,"($717,833.96)"
53,Solar Team,1935,"($804,453.52)"
54,Les Clunsois,2124,"($809,949.27)"
55,151160,2853,"($873,787.26)"
56,HPC 220,2142,"($1,011,940.10)"
57,27kiπne,2665,"($1,021,790.95)"
58,Factorylearn,1982,"($1,379,605.79)"
59,Erasmus,1523,"($1,408,863.83)"
60,Palanca,2082,"($1,442,326.42)"
61,Pucela,2081,"($1,601,850.70)"
62,Ninte,2957,"($1,720,888.75)"
63,Equipe 7,3062,"($1,747,304.37)"
64,A&C,2566,"($1,945,201.66)"
65,décUV,2723,"($2,154,162.47)"
66,Nom d’équipe,2212,"($2,575,101.61)"
67,J&TS,2212,"($2,696,101.90)"
68,Vivrela,1812,"($2,887,100.97)"
69,GADZ CREDA,3128,"($2,993,029.17)"
70,TEAM257778126,2212,"($3,706,025.41)"
71,L'Horizon,2212,"($4,542,300.47)"
72,équipe sans action,2212,"($5,062,100.53)"
73,Les foufous,2212,"($5,062,100.53)"
74,Chad Industries,2212,"($5,062,100.53)"
75,D’or et de platine,2212,"($5,062,100.53)"
76,solo factory,2212,"($5,505,592.72)"
