,Team,Orders Out,Cash
0,SalsaBaguette,2157,"$1,155,140.11"
1,Solar leaders,2167,"$602,309.67"
2,Équipe__93183,1855,"$535,185.45"
3,Lux,2526,"$523,217.15"
4,GPTeam,1954,"$502,859.42"
5,Photovoltamites,1962,"$389,749.97"
6,CookieClickerPGM,2467,"$312,251.13"
7,pacyma,2237,"$293,375.88"
8,The_team,2381,"$291,862.55"
9,Serious team,1901,"$289,975.89"
10,Les coquelicots,2582,"$275,256.25"
11,CACIB LargeCap Industry,2199,"$254,044.40"
12,Missile Sol-Air,2193,"$238,936.00"
13,HomeIsNotAWorkPlace,2158,"$222,186.03"
14,LeCercle,2005,"$217,209.45"
15,Campagn'Arts Sibersssois,1802,"$192,275.60"
16,Solairestp,2232,"$163,290.52"
17,Le dernier rang,1541,"$155,273.60"
18,L'OBRG,2513,"$152,208.30"
19,BRJEUX,1288,"$146,409.93"
20,groupe13,2537,"$128,912.63"
21,Les campagnards,1831,"$112,198.09"
22,ElectroFusion innovation Inc.,1711,"$38,214.28"
23,La Qualiteam,2152,"$1,836.77"
24,Solary,2330,"($167,496.74)"
25,CapitaineAbandonné,1403,"($237,645.89)"
26,Harissa,1442,"($359,741.31)"
27,Saison raclette ouverte,926,"($391,578.07)"
28,Panelli 2000,2002,"($398,444.19)"
29,Col partners,1258,"($412,024.71)"
30,EHTP,1428,"($479,720.60)"
31,Max Verstappen,1456,"($596,436.76)"
32,Les Clunsois,1394,"($657,475.58)"
33,Châlon’s Limited,1332,"($688,975.72)"
34,Les 4 fantastiques,1947,"($694,924.60)"
35,DinoCo,1819,"($699,243.82)"
36,Le Renard,1441,"($738,225.79)"
37,Solar1200,2053,"($939,041.94)"
38,Emily Franquiel,1456,"($983,620.94)"
39,BR Électricité,1456,"($1,014,788.93)"
40,Les fifrelins,1994,"($1,035,575.51)"
41,Solar Cover,1448,"($1,114,849.90)"
42,Cocorico,1830,"($1,135,205.21)"
43,team11,1429,"($1,149,186.37)"
44,Nuclear > Solar,1957,"($1,184,172.39)"
45,ça zinzinule,2068,"($1,304,496.02)"
46,PPM CORP. AND ASSOCIATES,1604,"($1,370,447.69)"
47,Les foufous2,1881,"($1,373,565.98)"
48,Erasmus,1523,"($1,408,862.87)"
49,Les Backstreet Boyz,2010,"($1,419,889.75)"
50,Solar Team,1419,"($1,439,327.80)"
51,PoêleWater,1677,"($1,443,456.12)"
52,151160,1858,"($1,547,536.68)"
53,Factorylearn,1425,"($1,636,480.25)"
54,xX_K1ll3rC4rd1_Xx,1412,"($1,678,039.90)"
55,ANTIBE,2012,"($1,696,030.31)"
56,27kiπne,1805,"($1,714,564.07)"
57,AL-Suppliers,1837,"($1,869,093.08)"
58,Equipe_42,2206,"($2,042,936.59)"
59,HPC 220,1394,"($2,051,439.51)"
60,TEAM257778126,1456,"($2,363,962.18)"
61,Pucela,1456,"($2,416,100.12)"
62,Vivrela,1456,"($2,477,600.08)"
63,L'Horizon,1456,"($2,521,099.90)"
64,Ninte,1878,"($2,550,388.26)"
65,Equipe 7,1944,"($2,629,022.43)"
66,J&TS,1456,"($2,737,100.67)"
67,Nom d’équipe,1456,"($2,750,600.51)"
68,A&C,1652,"($2,752,626.28)"
69,Palanca,1456,"($2,812,600.41)"
70,D’or et de platine,1456,"($2,857,100.03)"
71,Chad Industries,1456,"($2,857,100.03)"
72,Les foufous,1456,"($2,857,100.03)"
73,équipe sans action,1456,"($2,857,100.03)"
74,décUV,1790,"($2,994,411.91)"
75,solo factory,1456,"($3,300,592.22)"
76,GADZ CREDA,1611,"($3,467,866.78)"
