,Team,Orders Out,Cash
0,SalsaBaguette,1881,"$1,343,587.16"
1,Campagn'Arts Sibersssois,1590,"$633,150.73"
2,Équipe__93183,1621,"$466,685.59"
3,Le dernier rang,1322,"$446,548.72"
4,Missile Sol-Air,1975,"$434,373.57"
5,Solar leaders,1855,"$427,309.82"
6,Photovoltamites,1699,"$411,500.08"
7,La Qualiteam,1840,"$403,836.92"
8,LeCercle,1740,"$372,459.58"
9,ElectroFusion innovation Inc.,1469,"$350,214.41"
10,BRJEUX,1131,"$342,160.07"
11,L'OBRG,2139,"$337,153.72"
12,Lux,2150,"$312,117.32"
13,Les campagnards,1619,"$279,323.21"
14,CookieClickerPGM,2174,"$242,751.28"
15,Solary,2036,"$182,851.39"
16,HomeIsNotAWorkPlace,1846,"$181,186.21"
17,Solairestp,1920,"$136,190.73"
18,Serious team,1636,"$113,788.64"
19,GPTeam,1688,"$97,904.55"
20,pacyma,1943,"$77,438.54"
21,Les coquelicots,2195,"($21,993.59)"
22,Equipe_42,1883,"($32,873.84)"
23,groupe13,2129,"($47,087.24)"
24,Saison raclette ouverte,772,"($412,577.97)"
25,EHTP,1274,"($436,173.51)"
26,Harissa,1286,"($474,141.26)"
27,Col partners,1142,"($514,024.60)"
28,Panelli 2000,1768,"($548,444.05)"
29,CapitaineAbandonné,1271,"($732,645.63)"
30,Les 4 fantastiques,1717,"($830,924.45)"
31,Max Verstappen,1300,"($851,475.23)"
32,Emily Franquiel,1300,"($1,110,120.83)"
33,Châlon’s Limited,1220,"($1,142,788.08)"
34,BR Électricité,1300,"($1,176,953.92)"
35,The_team,1977,"($1,189,574.66)"
36,Solar1200,1819,"($1,195,541.81)"
37,DinoCo,1621,"($1,202,993.68)"
38,CACIB LargeCap Industry,1809,"($1,208,455.30)"
39,Les Clunsois,1243,"($1,223,725.45)"
40,team11,1278,"($1,229,686.27)"
41,Le Renard,1285,"($1,323,225.64)"
42,Les fifrelins,1760,"($1,327,075.41)"
43,Nuclear > Solar,1751,"($1,401,672.21)"
44,Erasmus,1456,"($1,402,722.67)"
45,Solar Cover,1292,"($1,507,240.32)"
46,ça zinzinule,1848,"($1,543,495.91)"
47,Cocorico,1630,"($1,618,205.04)"
48,Solar Team,1265,"($1,619,277.65)"
49,Les Backstreet Boyz,1778,"($1,630,889.56)"
50,PPM CORP. AND ASSOCIATES,1404,"($1,635,947.33)"
51,Factorylearn,1286,"($1,636,480.14)"
52,PoêleWater,1545,"($1,662,080.99)"
53,xX_K1ll3rC4rd1_Xx,1274,"($1,687,789.76)"
54,AL-Suppliers,1629,"($1,773,092.89)"
55,151160,1650,"($1,816,536.55)"
56,Les foufous2,1711,"($1,844,753.23)"
57,ANTIBE,1778,"($1,854,017.09)"
58,27kiπne,1610,"($1,913,814.01)"
59,L'Horizon,1300,"($2,162,099.87)"
60,TEAM257778126,1300,"($2,212,118.32)"
61,D’or et de platine,1300,"($2,416,099.92)"
62,Les foufous,1300,"($2,416,099.92)"
63,Chad Industries,1300,"($2,416,099.92)"
64,équipe sans action,1300,"($2,416,099.92)"
65,Vivrela,1300,"($2,416,099.93)"
66,Pucela,1300,"($2,416,099.94)"
67,HPC 220,1255,"($2,500,939.27)"
68,Ninte,1644,"($2,526,888.17)"
69,Nom d’équipe,1300,"($2,572,600.28)"
70,Equipe 7,1710,"($2,643,782.67)"
71,J&TS,1300,"($2,737,100.42)"
72,Palanca,1300,"($2,812,600.08)"
73,solo factory,1300,"($2,859,592.11)"
74,A&C,1480,"($3,296,376.12)"
75,décUV,1647,"($3,524,474.19)"
76,GADZ CREDA,1341,"($3,655,366.47)"
