,Team,Orders Out,Cash
0,Photovoltamites,3114,"$1,694,749.54"
1,groupe13,4146,"$1,556,849.61"
2,Lux,4075,"$1,481,316.48"
3,HomeIsNotAWorkPlace,3339,"$1,479,435.26"
4,Les coquelicots,4310,"$1,284,534.01"
5,GPTeam,2944,"$912,926.44"
6,Serious team,3287,"$772,599.98"
7,SalsaBaguette,3331,"$600,170.40"
8,Équipe__93183,2986,"$442,434.95"
9,Panelli 2000,2956,"$390,555.24"
10,BRJEUX,2172,"$362,846.90"
11,Solar leaders,3748,"$355,659.12"
12,Le dernier rang,2565,"$347,868.00"
13,EHTP,2050,"$340,778.71"
14,Les campagnards,2887,"$318,360.02"
15,CapitaineAbandonné,2016,"$305,165.56"
16,Missile Sol-Air,3249,"$284,685.68"
17,Solairestp,3874,"$275,589.81"
18,L'OBRG,4195,"$251,207.72"
19,ElectroFusion innovation Inc.,2934,"$116,513.10"
20,Les 4 fantastiques,2845,"$74,111.37"
21,Campagn'Arts Sibersssois,2919,"$69,499.87"
22,Harissa,2090,"$45,858.47"
23,LeCercle,3263,"$21,708.97"
24,Le Renard,2025,"$20,223.96"
25,La Qualiteam,3739,"($42,682.07)"
26,pacyma,3565,"($43,291.28)"
27,CookieClickerPGM,3569,"($46,249.55)"
28,Châlon’s Limited,1821,"($48,025.93)"
29,Saison raclette ouverte,1402,"($48,578.54)"
30,Cocorico,2606,"($60,792.96)"
31,Max Verstappen,2092,"($90,067.71)"
32,Equipe_42,3824,"($112,428.29)"
33,Solary,3872,"($235,645.00)"
34,The_team,4003,"($243,701.11)"
35,Solar1200,2965,"($293,104.92)"
36,Les Backstreet Boyz,2936,"($367,390.48)"
37,DinoCo,2621,"($390,994.51)"
38,Col partners,1688,"($445,657.80)"
39,ça zinzinule,2844,"($473,308.91)"
40,ANTIBE,2966,"($481,439.85)"
41,BR Électricité,2092,"($511,720.16)"
42,Nuclear > Solar,2829,"($516,172.93)"
43,PPM CORP. AND ASSOCIATES,2452,"($571,448.95)"
44,team11,2012,"($575,155.35)"
45,Les fifrelins,2948,"($603,075.96)"
46,Les foufous2,2662,"($615,254.36)"
47,Emily Franquiel,2104,"($676,333.88)"
48,Solar Cover,2096,"($727,678.74)"
49,xX_K1ll3rC4rd1_Xx,1990,"($742,290.52)"
50,CACIB LargeCap Industry,3711,"($865,376.05)"
51,Solar Team,1855,"($885,328.41)"
52,151160,2713,"($922,787.18)"
53,PoêleWater,2227,"($978,456.59)"
54,27kiπne,2531,"($1,115,790.90)"
55,Les Clunsois,2004,"($1,259,949.02)"
56,AL-Suppliers,2685,"($1,317,093.80)"
57,Erasmus,1523,"($1,408,863.68)"
58,Palanca,1974,"($1,459,726.37)"
59,HPC 220,2022,"($1,461,940.02)"
60,Pucela,1988,"($1,665,600.68)"
61,Factorylearn,1902,"($1,683,730.70)"
62,Ninte,2777,"($1,809,888.67)"
63,Equipe 7,2900,"($1,916,637.61)"
64,A&C,2422,"($2,002,701.60)"
65,décUV,2575,"($2,200,037.37)"
66,Nom d’équipe,2092,"($2,710,601.45)"
67,Vivrela,1802,"($2,823,100.74)"
68,J&TS,2104,"($3,074,101.69)"
69,GADZ CREDA,2888,"($3,182,271.23)"
70,TEAM257778126,2092,"($3,868,025.31)"
71,L'Horizon,2092,"($4,469,300.41)"
72,Chad Industries,2092,"($4,621,100.46)"
73,D’or et de platine,2092,"($4,621,100.46)"
74,équipe sans action,2104,"($4,621,100.46)"
75,Les foufous,2104,"($4,621,100.46)"
76,solo factory,2092,"($5,064,592.64)"
