,Team,Orders Out,Cash
0,SalsaBaguette,2413,"$1,336,471.22"
1,HomeIsNotAWorkPlace,2470,"$797,685.87"
2,Photovoltamites,2235,"$576,499.87"
3,Les campagnards,2086,"$511,747.96"
4,Missile Sol-Air,2439,"$492,435.92"
5,groupe13,2918,"$465,662.52"
6,La Qualiteam,2510,"$407,724.64"
7,Lux,2909,"$336,566.98"
8,pacyma,2574,"$325,625.79"
9,L'OBRG,2925,"$303,208.18"
10,Campagn'Arts Sibersssois,2060,"$280,962.95"
11,GPTeam,2192,"$278,781.81"
12,CookieClickerPGM,2715,"$250,750.97"
13,Serious team,2207,"$210,225.67"
14,Solairestp,2586,"$177,890.37"
15,Équipe__93183,2106,"$174,435.33"
16,BRJEUX,1508,"$134,409.81"
17,Solar leaders,2501,"$109,809.54"
18,The_team,2791,"$83,362.25"
19,Les coquelicots,2998,"$82,651.86"
20,ElectroFusion innovation Inc.,1959,"$79,888.63"
21,Le dernier rang,1775,"$43,870.94"
22,Solary,2637,"$7,615.53"
23,Panelli 2000,2236,"($106,944.33)"
24,EHTP,1578,"($120,220.74)"
25,CACIB LargeCap Industry,2559,"($155,054.88)"
26,LeCercle,2291,"($174,290.68)"
27,Harissa,1598,"($303,341.37)"
28,Les Clunsois,1526,"($334,475.60)"
29,Col partners,1350,"($401,782.57)"
30,Châlon’s Limited,1440,"($408,225.77)"
31,Les 4 fantastiques,2181,"($415,424.71)"
32,Saison raclette ouverte,1042,"($426,578.19)"
33,CapitaineAbandonné,1552,"($561,021.13)"
34,Max Verstappen,1612,"($567,021.71)"
35,Cocorico,2001,"($664,155.30)"
36,Le Renard,1597,"($687,225.89)"
37,DinoCo,1999,"($736,744.00)"
38,Les fifrelins,2228,"($744,075.61)"
39,Solar1200,2259,"($794,104.60)"
40,team11,1576,"($826,561.43)"
41,Emily Franquiel,1612,"($857,121.05)"
42,BR Électricité,1600,"($871,382.79)"
43,Nuclear > Solar,2169,"($944,172.57)"
44,ça zinzinule,2266,"($957,996.11)"
45,Solar Cover,1604,"($959,834.45)"
46,PPM CORP. AND ASSOCIATES,1812,"($1,074,948.05)"
47,Les Backstreet Boyz,2241,"($1,104,639.93)"
48,Les foufous2,2064,"($1,121,253.74)"
49,Solar Team,1527,"($1,313,265.44)"
50,PoêleWater,1807,"($1,373,456.24)"
51,Erasmus,1523,"($1,408,863.07)"
52,HPC 220,1542,"($1,503,939.62)"
53,xX_K1ll3rC4rd1_Xx,1549,"($1,519,852.57)"
54,27kiπne,1981,"($1,553,290.70)"
55,ANTIBE,2246,"($1,605,793.50)"
56,151160,2066,"($1,611,536.81)"
57,Factorylearn,1564,"($1,636,480.36)"
58,Equipe_42,2524,"($1,733,177.33)"
59,AL-Suppliers,2045,"($1,965,093.23)"
60,Ninte,2078,"($2,230,138.34)"
61,Equipe 7,2162,"($2,385,960.10)"
62,Pucela,1612,"($2,416,100.31)"
63,Vivrela,1612,"($2,477,600.24)"
64,TEAM257778126,1612,"($2,553,024.79)"
65,décUV,1962,"($2,590,412.03)"
66,A&C,1818,"($2,602,126.39)"
67,L'Horizon,1600,"($2,651,099.91)"
68,J&TS,1612,"($2,737,100.92)"
69,Nom d’équipe,1612,"($2,750,600.76)"
70,Palanca,1610,"($2,812,600.74)"
71,GADZ CREDA,1916,"($3,000,929.47)"
72,Chad Industries,1600,"($3,298,100.12)"
73,D’or et de platine,1612,"($3,298,100.13)"
74,Les foufous,1612,"($3,298,100.13)"
75,équipe sans action,1612,"($3,298,100.13)"
76,solo factory,1600,"($3,741,592.31)"
