Day;LeadTime
1;0,489583333333333
2;0,447916666666667
3;0,53125
4;0,489583333333333
5;0,489583333333333
6;0,53125
7;0,53125
9;0,65625
10;0,53125
11;0,697916666666667
12;1,32291666666667
