Stock;Day;Level
Matière première 3;25;2650
Matière première 3;26;2530
Matière première 3;27;2350
Matière première 3;28;2210
Matière première 3;29;2070
Matière première 3;30;1830
Matière première 3;31;1630
Matière première 3;32;1400
Matière première 3;33;1140
Matière première 3;34;980
Matière première 3;35;980
Matière première 3;36;2480
Matière première 3;37;2480
Matière première 3;38;2460
Matière première 3;39;2350
Matière première 3;40;2240
Matière première 3;41;2140
Matière première 3;42;2030
Matière première 3;43;1690
Matière première 3;44;1690
Matière première 3;45;1690
Matière première 3;46;1400
Matière première 3;47;1130
Matière première 3;48;890
Matière première 3;49;4390
Matière première 3;50;4260
Matière première 3;51;4050
Matière première 3;52;3890
Matière première 3;53;3630
Matière première 3;54;3470
Matière première 3;55;3310
Matière première 3;56;3150
Matière première 3;57;2990
Matière première 3;58;2830
Matière première 3;59;2670
Matière première 3;60;2510
Matière première 3;61;2350
Matière première 3;62;2190
Matière première 3;63;2030
Matière première 3;64;1870
Matière première 3;65;1710
Matière première 3;66;1550
Matière première 3;67;1390
Matière première 3;68;1230
Matière première 3;69;1070
Matière première 3;70;4410
Matière première 3;71;4150
Matière première 3;72;3990
Matière première 3;73;3830
Matière première 3;74;3670
Matière première 3;75;3670
Matière première 3;76;3650
Matière première 3;77;3490
Matière première 3;78;3330
Matière première 3;79;3170
Matière première 3;80;3010
Matière première 3;81;2850
Matière première 3;82;2690
Matière première 3;83;2530
Matière première 3;84;2370
Matière première 3;85;2210
Matière première 3;86;2050
Matière première 3;87;1770
Matière première 3;88;1590
Matière première 3;89;1410
Matière première 3;90;1230
Matière première 3;91;1050
Matière première 3;92;870
Matière première 3;93;5190
Matière première 3;94;5010
Matière première 3;95;4830
Matière première 3;96;4650
Matière première 3;97;4470
Matière première 3;98;4340
Matière première 3;99;4160
Matière première 3;100;3980
Matière première 3;101;3800
Matière première 3;102;3620
Matière première 3;103;3340
Matière première 3;103;3340
Matière première 3;104;3100
Matière première 3;105;3100
Matière première 3;106;3050
Matière première 3;107;2870
Matière première 3;108;2730
Matière première 3;109;2550
Matière première 3;110;2430
Matière première 3;111;2250
Matière première 3;112;2130
Matière première 3;113;1950
Matière première 3;114;1820
Matière première 3;115;1640
Matière première 3;116;1510
Matière première 3;117;1330
Matière première 3;118;1200
Matière première 3;119;6520
Matière première 3;120;6390
Matière première 3;121;6200
Matière première 3;122;6020
Matière première 3;123;5830
Matière première 3;124;5670
Matière première 3;125;5380
Matière première 3;126;5220
Matière première 3;127;4980
Matière première 3;128;4770
Matière première 3;129;4530
Matière première 3;130;4320
Matière première 3;131;4080
Matière première 3;132;3870
Matière première 3;133;3630
Matière première 3;134;3420
Matière première 3;135;3180
Matière première 3;136;2780
Matière première 3;137;2530
Matière première 3;138;2340
Matière première 3;139;2150
Matière première 3;140;1910
Matière première 3;141;1650
Matière première 3;142;1410
Matière première 3;143;1170
Matière première 3;144;950
Matière première 3;145;730
Matière première 3;146;5990
Matière première 3;147;5770
Matière première 3;148;5550
Matière première 3;149;5340
Matière première 3;150;5100
Matière première 3;151;4880
Matière première 3;152;4640
Matière première 3;153;4410
Matière première 3;154;4170
Matière première 3;155;3860
Matière première 3;156;3620
Matière première 3;157;3380
Matière première 3;158;3140
Matière première 3;159;2900
Matière première 3;160;2660
Matière première 3;161;2420
Matière première 3;162;2180
Matière première 3;163;1940
Matière première 3;164;1700
Matière première 3;165;1460
Matière première 3;166;1220
Matière première 3;167;980
Matière première 3;168;740
Matière première 3;169;5980
Matière première 3;170;5700
Matière première 3;171;5410
Matière première 3;172;5110
Matière première 3;173;4730
Matière première 3;174;4530
Matière première 3;175;4230
Matière première 3;176;3950
Matière première 3;177;3640
Matière première 3;178;3300
Matière première 3;179;2980
Matière première 3;180;2670
Matière première 3;181;2390
Matière première 3;182;2090
Matière première 3;183;1770
Matière première 3;184;1510
Matière première 3;185;1180
Matière première 3;186;870
Matière première 3;187;570
Matière première 3;188;270
Matière première 3;189;5500
Matière première 3;190;5170
Matière première 3;191;4990
Matière première 3;192;4580
Matière première 3;193;4320
Matière première 3;194;4020
Matière première 3;195;3720
Matière première 3;196;3420
Matière première 3;197;3120
Matière première 3;198;2820
Matière première 3;199;2530
Matière première 3;200;2240
Matière première 3;201;1940
Matière première 3;202;1630
Matière première 3;203;1360
Matière première 3;204;1040
Matière première 3;205;640
Matière première 3;206;320
Matière première 2;0;3000
Matière première 2;1;3000
Matière première 2;2;2970
Matière première 2;3;2950
Matière première 2;4;2910
Matière première 2;5;2880
Matière première 2;6;2850
Matière première 2;7;2810
Matière première 2;8;2770
Matière première 2;9;2770
Matière première 2;10;2700
Matière première 2;11;2660
Matière première 2;12;2510
Matière première 2;13;2510
Matière première 2;14;2410
Matière première 2;15;2330
Matière première 2;16;2260
Matière première 2;17;2160
Matière première 2;18;2020
Matière première 2;19;1870
Matière première 2;20;1780
Matière première 2;21;1650
Matière première 2;22;1500
Matière première 2;23;1370
Matière première 2;24;1270
Matière première 2;25;1150
Matière première 2;26;1030
Matière première 2;27;850
Matière première 2;28;710
Matière première 2;29;570
Matière première 2;30;330
