,Team,Orders Out,Cash
0,SalsaBaguette,1299,"$662,199.46"
1,Serious team,1155,"$448,757.89"
2,La Qualiteam,1192,"$403,282.63"
3,groupe13,1345,"$391,913.00"
4,The_team,1301,"$352,832.05"
5,Les coquelicots,1468,"$343,407.82"
6,Équipe__93183,1137,"$336,685.93"
7,CookieClickerPGM,1493,"$326,428.74"
8,Le dernier rang,921,"$321,709.02"
9,Les campagnards,1232,"$317,373.43"
10,ElectroFusion innovation Inc.,1031,"$292,206.89"
11,Lux,1403,"$262,967.66"
12,HomeIsNotAWorkPlace,1232,"$226,936.49"
13,L'OBRG,1425,"$221,247.71"
14,Photovoltamites,1207,"$178,078.42"
15,Solar leaders,1220,"$170,552.35"
16,Solary,1364,"$132,366.36"
17,LeCercle,1205,"$109,686.43"
18,BRJEUX,937,"$63,285.41"
19,Missile Sol-Air,1353,"$59,998.83"
20,Solairestp,1258,"$4,058.28"
21,Campagn'Arts Sibersssois,1160,"($87,173.87)"
22,GPTeam,1183,"($115,405.04)"
23,Equipe_42,1210,"($119,120.16)"
24,pacyma,1279,"($272,006.38)"
25,EHTP,934,"($510,173.04)"
26,CapitaineAbandonné,931,"($601,587.65)"
27,Saison raclette ouverte,506,"($649,265.21)"
28,Col partners,904,"($755,743.16)"
29,CACIB LargeCap Industry,1081,"($1,014,207.12)"
30,Panelli 2000,1256,"($1,153,443.74)"
31,Emily Franquiel,956,"($1,295,974.73)"
32,Les 4 fantastiques,1226,"($1,356,799.16)"
33,Harissa,956,"($1,384,390.84)"
34,DinoCo,1180,"($1,418,868.31)"
35,Cocorico,1190,"($1,509,891.77)"
36,Châlon’s Limited,926,"($1,635,974.98)"
37,Les fifrelins,1270,"($1,655,637.61)"
38,Solar1200,1286,"($1,665,687.25)"
39,Les Clunsois,944,"($1,688,974.80)"
40,Max Verstappen,956,"($1,695,974.88)"
41,Le Renard,956,"($1,695,975.02)"
42,L'Horizon,944,"($1,736,974.68)"
43,Chad Industries,944,"($1,736,974.68)"
44,Factorylearn,956,"($1,736,974.68)"
45,D’or et de platine,956,"($1,736,974.68)"
46,équipe sans action,956,"($1,736,974.68)"
47,Pucela,956,"($1,736,974.68)"
48,Vivrela,956,"($1,736,974.68)"
49,Les foufous,956,"($1,736,974.68)"
50,Erasmus,1113,"($1,747,175.44)"
51,team11,956,"($1,754,685.84)"
52,BR Électricité,944,"($1,782,135.77)"
53,Les Backstreet Boyz,1263,"($1,909,139.17)"
54,Solar Cover,956,"($1,920,114.62)"
55,solo factory,944,"($2,010,685.61)"
56,Palanca,956,"($2,050,474.65)"
57,Solar Team,944,"($2,082,277.09)"
58,J&TS,956,"($2,171,974.81)"
59,Nom d’équipe,944,"($2,222,474.75)"
60,Les foufous2,1299,"($2,230,911.50)"
61,ANTIBE,1264,"($2,314,014.07)"
62,PPM CORP. AND ASSOCIATES,1047,"($2,319,196.31)"
63,PoêleWater,1213,"($2,339,705.57)"
64,xX_K1ll3rC4rd1_Xx,956,"($2,382,164.16)"
65,151160,1210,"($2,383,286.17)"
66,A&C,1022,"($2,398,375.74)"
67,ça zinzinule,1333,"($2,442,745.62)"
68,TEAM257778126,944,"($2,445,867.91)"
69,AL-Suppliers,1197,"($2,471,342.47)"
70,Nuclear > Solar,1291,"($2,514,796.74)"
71,27kiπne,1164,"($2,660,813.59)"
72,HPC 220,907,"($2,812,188.58)"
73,Equipe 7,1247,"($3,120,146.74)"
74,Ninte,1205,"($3,669,200.08)"
75,décUV,1197,"($3,708,911.06)"
76,GADZ CREDA,798,"($4,099,303.22)"
