,Team,Orders Out,Cash
0,SalsaBaguette,1469,"$597,696.77"
1,Solar leaders,1369,"$516,302.27"
2,HomeIsNotAWorkPlace,1392,"$476,936.42"
3,Les coquelicots,1636,"$465,407.74"
4,Missile Sol-Air,1502,"$420,998.77"
5,pacyma,1449,"$365,493.54"
6,Solary,1514,"$353,656.23"
7,CookieClickerPGM,1685,"$315,428.64"
8,Équipe__93183,1257,"$310,685.84"
9,Les campagnards,1338,"$304,498.39"
10,Lux,1571,"$283,567.59"
11,ElectroFusion innovation Inc.,1135,"$279,277.11"
12,L'OBRG,1593,"$265,247.64"
13,groupe13,1542,"$239,662.94"
14,Photovoltamites,1338,"$228,328.37"
15,La Qualiteam,1337,"$120,290.33"
16,Solairestp,1450,"$118,995.67"
17,Campagn'Arts Sibersssois,1258,"$110,151.00"
18,BRJEUX,937,"$63,285.33"
19,Le dernier rang,1007,"$40,708.96"
20,Equipe_42,1402,"$25,479.75"
21,The_team,1433,"($12,378.95)"
22,LeCercle,1334,"($46,196.46)"
23,Serious team,1281,"($79,481.83)"
24,GPTeam,1316,"($140,025.15)"
25,Col partners,1000,"($419,743.21)"
26,CapitaineAbandonné,1015,"($460,494.05)"
27,Saison raclette ouverte,548,"($649,265.27)"
28,CACIB LargeCap Industry,1273,"($717,936.59)"
29,Panelli 2000,1382,"($823,943.82)"
30,EHTP,1014,"($933,173.12)"
31,DinoCo,1296,"($995,305.89)"
32,Les 4 fantastiques,1348,"($1,135,424.24)"
33,Emily Franquiel,1040,"($1,295,974.80)"
34,Harissa,1040,"($1,324,390.99)"
35,Les fifrelins,1414,"($1,584,137.69)"
36,Solar1200,1430,"($1,589,874.86)"
37,Châlon’s Limited,1012,"($1,635,975.14)"
38,Les Clunsois,1040,"($1,688,974.98)"
39,Max Verstappen,1040,"($1,695,974.98)"
40,Le Renard,1040,"($1,695,975.18)"
41,team11,1040,"($1,754,685.95)"
42,BR Électricité,1040,"($1,782,135.90)"
43,Les foufous2,1396,"($1,874,349.14)"
44,ANTIBE,1390,"($1,899,014.17)"
45,Solar Cover,1040,"($1,920,114.79)"
46,Les Backstreet Boyz,1389,"($1,987,639.26)"
47,Erasmus,1213,"($2,043,175.50)"
48,Nuclear > Solar,1407,"($2,071,984.37)"
49,Solar Team,1040,"($2,082,277.25)"
50,Cocorico,1318,"($2,124,641.96)"
51,AL-Suppliers,1285,"($2,142,842.60)"
52,PPM CORP. AND ASSOCIATES,1131,"($2,175,196.60)"
53,D’or et de platine,1040,"($2,177,974.75)"
54,Vivrela,1040,"($2,177,974.75)"
55,Factorylearn,1040,"($2,177,974.75)"
56,Chad Industries,1040,"($2,177,974.75)"
57,Pucela,1040,"($2,177,974.75)"
58,Les foufous,1040,"($2,177,974.75)"
59,L'Horizon,1040,"($2,177,974.75)"
60,équipe sans action,1040,"($2,177,974.75)"
61,PoêleWater,1319,"($2,196,455.69)"
62,Nom d’équipe,1040,"($2,222,474.89)"
63,ça zinzinule,1459,"($2,223,745.70)"
64,27kiπne,1276,"($2,324,813.67)"
65,Palanca,1040,"($2,363,974.67)"
66,xX_K1ll3rC4rd1_Xx,1040,"($2,382,164.33)"
67,151160,1310,"($2,383,286.29)"
68,solo factory,1040,"($2,451,685.69)"
69,TEAM257778126,1040,"($2,476,868.01)"
70,HPC 220,992,"($2,812,188.76)"
71,J&TS,1040,"($2,834,974.94)"
72,Equipe 7,1320,"($3,051,146.88)"
73,A&C,1134,"($3,054,375.79)"
74,Ninte,1337,"($3,639,200.29)"
75,décUV,1325,"($3,708,911.22)"
76,GADZ CREDA,894,"($4,099,303.44)"
