,Team,Orders Out,Cash
0,ElectroFusion innovation Inc.,995,"459 292,87 €"
1,Photovoltamites,1157,"431 578,45 €"
2,HomeIsNotAWorkPlace,1168,"429 936,54 €"
3,SalsaBaguette,1235,"422 876,55 €"
4,Solar leaders,1156,"329 643,52 €"
5,LeCercle,1169,"324 686,44 €"
6,Missile Sol-Air,1289,"278 998,87 €"
7,Serious team,1101,"247 612,08 €"
8,groupe13,1303,"234 413,01 €"
9,La Qualiteam,1138,"202 813,91 €"
10,Le dernier rang,886,"199 459,05 €"
11,The_team,1252,"185 957,07 €"
12,Lux,1331,"175 967,69 €"
13,Équipe__93183,1093,"171 685,96 €"
14,CookieClickerPGM,1445,"146 428,76 €"
15,Les coquelicots,1396,"138 907,85 €"
16,CACIB LargeCap Industry,1033,"128 975,26 €"
17,Les campagnards,1184,"119 185,95 €"
18,BRJEUX,937,"63 285,44 €"
19,L'OBRG,1353,"-48 752,27 €"
20,Solary,1300,"-107 633,58 €"
21,Equipe_42,1138,"-139 680,12 €"
22,Solairestp,1205,"-202 316,67 €"
23,GPTeam,1155,"-226 405,01 €"
24,CapitaineAbandonné,895,"-240 056,32 €"
25,Campagn'Arts Sibersssois,1116,"-267 923,81 €"
26,pacyma,1237,"-429 506,35 €"
27,EHTP,906,"-594 173,00 €"
28,Saison raclette ouverte,488,"-649 265,19 €"
29,Col partners,881,"-836 243,14 €"
30,Panelli 2000,1202,"-912 943,71 €"
31,Les 4 fantastiques,1174,"-1 218 799,12 €"
32,Emily Franquiel,920,"-1 295 974,70 €"
33,DinoCo,1150,"-1 380 118,28 €"
34,Harissa,920,"-1 384 390,77 €"
35,Cocorico,1142,"-1 604 391,72 €"
36,Châlon’s Limited,905,"-1 635 974,94 €"
37,Les Clunsois,908,"-1 688 974,73 €"
38,Max Verstappen,920,"-1 695 974,83 €"
39,Le Renard,920,"-1 695 974,95 €"
40,Palanca,920,"-1 736 974,64 €"
41,Chad Industries,908,"-1 736 974,66 €"
42,Vivrela,920,"-1 736 974,67 €"
43,L'Horizon,920,"-1 736 974,67 €"
44,Factorylearn,920,"-1 736 974,67 €"
45,équipe sans action,920,"-1 736 974,67 €"
46,Pucela,920,"-1 736 974,67 €"
47,Les foufous,920,"-1 736 974,67 €"
48,D’or et de platine,920,"-1 736 974,67 €"
49,A&C,974,"-1 742 375,72 €"
50,Les fifrelins,1244,"-1 746 637,59 €"
51,Erasmus,1059,"-1 747 175,41 €"
52,team11,920,"-1 754 685,79 €"
53,Les Backstreet Boyz,1209,"-1 778 639,12 €"
54,Solar1200,1255,"-1 781 937,22 €"
55,BR Électricité,908,"-1 782 135,72 €"
56,Solar Cover,920,"-1 920 114,55 €"
57,solo factory,908,"-2 010 685,60 €"
58,Solar Team,920,"-2 082 277,06 €"
59,J&TS,920,"-2 171 974,77 €"
60,Nom d’équipe,920,"-2 222 474,71 €"
61,PPM CORP. AND ASSOCIATES,1023,"-2 319 196,24 €"
62,PoêleWater,1165,"-2 339 705,51 €"
63,Les foufous2,1261,"-2 378 723,92 €"
64,xX_K1ll3rC4rd1_Xx,920,"-2 382 164,09 €"
65,151160,1162,"-2 383 286,12 €"
66,ça zinzinule,1279,"-2 442 745,57 €"
67,TEAM257778126,920,"-2 445 867,89 €"
68,AL-Suppliers,1165,"-2 471 342,43 €"
69,ANTIBE,1210,"-2 516 514,01 €"
70,Nuclear > Solar,1265,"-2 584 796,70 €"
71,27kiπne,1116,"-2 804 813,53 €"
72,HPC 220,885,"-2 812 188,54 €"
73,Equipe 7,1193,"-3 120 146,68 €"
74,Ninte,1151,"-3 669 200,00 €"
75,décUV,1149,"-3 708 911,00 €"
76,GADZ CREDA,762,"-4 099 303,14 €"
