,Team,Orders Out,Cash
0,Photovoltamites,1318,"$594,328.38"
1,SalsaBaguette,1427,"$440,418.13"
2,Solar leaders,1348,"$437,552.29"
3,Les coquelicots,1612,"$375,407.75"
4,Équipe__93183,1227,"$341,185.86"
5,HomeIsNotAWorkPlace,1346,"$304,436.44"
6,Missile Sol-Air,1460,"$273,998.78"
7,Solary,1492,"$271,156.24"
8,Les campagnards,1328,"$260,998.40"
9,Le dernier rang,994,"$245,458.97"
10,Equipe_42,1354,"$209,829.78"
11,pacyma,1407,"$207,993.57"
12,ElectroFusion innovation Inc.,1109,"$181,777.13"
13,Lux,1523,"$155,067.61"
14,CookieClickerPGM,1637,"$135,428.66"
15,L'OBRG,1545,"$85,247.66"
16,BRJEUX,937,"$63,285.34"
17,groupe13,1494,"$59,662.95"
18,Campagn'Arts Sibersssois,1244,"$51,651.01"
19,La Qualiteam,1294,"($40,959.64)"
20,GPTeam,1283,"($52,555.12)"
21,Solairestp,1402,"($61,004.29)"
22,The_team,1409,"($102,378.94)"
23,LeCercle,1300,"($103,563.63)"
24,Serious team,1263,"($146,304.73)"
25,EHTP,1002,"($306,173.10)"
26,CapitaineAbandonné,1003,"($480,650.28)"
27,Col partners,976,"($503,743.20)"
28,Saison raclette ouverte,536,"($649,265.26)"
29,Panelli 2000,1364,"($891,443.81)"
30,CACIB LargeCap Industry,1225,"($897,754.23)"
31,DinoCo,1267,"($1,104,055.88)"
32,Les 4 fantastiques,1330,"($1,196,361.73)"
33,Emily Franquiel,1028,"($1,295,974.79)"
34,Harissa,1028,"($1,360,390.97)"
35,Les Backstreet Boyz,1371,"($1,504,139.24)"
36,Les fifrelins,1378,"($1,577,637.67)"
37,Châlon’s Limited,990,"($1,635,975.10)"
38,Les Clunsois,1016,"($1,688,974.93)"
39,Max Verstappen,1016,"($1,695,974.95)"
40,Le Renard,1028,"($1,695,975.15)"
41,Solar1200,1394,"($1,724,874.84)"
42,team11,1028,"($1,754,685.93)"
43,BR Électricité,1016,"($1,782,135.87)"
44,Erasmus,1177,"($1,820,175.48)"
45,Solar Cover,1028,"($1,920,114.76)"
46,Les foufous2,1369,"($1,975,599.11)"
47,ANTIBE,1354,"($2,034,014.15)"
48,Solar Team,1016,"($2,082,277.21)"
49,Chad Industries,1016,"($2,177,974.73)"
50,L'Horizon,1016,"($2,177,974.73)"
51,D’or et de platine,1016,"($2,177,974.73)"
52,Vivrela,1028,"($2,177,974.74)"
53,Factorylearn,1028,"($2,177,974.74)"
54,Pucela,1028,"($2,177,974.74)"
55,Les foufous,1028,"($2,177,974.74)"
56,équipe sans action,1028,"($2,177,974.74)"
57,Nuclear > Solar,1378,"($2,183,859.34)"
58,Cocorico,1286,"($2,187,641.91)"
59,Nom d’équipe,1016,"($2,222,474.86)"
60,PoêleWater,1309,"($2,226,205.67)"
61,AL-Suppliers,1255,"($2,255,342.57)"
62,PPM CORP. AND ASSOCIATES,1108,"($2,259,196.53)"
63,Palanca,1028,"($2,273,474.67)"
64,ça zinzinule,1441,"($2,277,745.69)"
65,xX_K1ll3rC4rd1_Xx,1028,"($2,382,164.31)"
66,151160,1306,"($2,383,286.28)"
67,27kiπne,1244,"($2,420,813.65)"
68,solo factory,1016,"($2,451,685.67)"
69,TEAM257778126,1016,"($2,461,367.99)"
70,HPC 220,971,"($2,812,188.71)"
71,J&TS,1028,"($2,834,974.91)"
72,A&C,1118,"($2,841,375.78)"
73,Equipe 7,1309,"($3,084,146.86)"
74,Ninte,1313,"($3,669,200.24)"
75,décUV,1293,"($3,708,911.18)"
76,GADZ CREDA,870,"($4,099,303.39)"
