,Team,Orders Out,Cash
0,SalsaBaguette,1320,"$740,819.24"
1,Les coquelicots,1492,"$433,407.81"
2,CookieClickerPGM,1517,"$416,428.74"
3,Serious team,1173,"$404,080.79"
4,Équipe__93183,1153,"$396,685.92"
5,Les campagnards,1248,"$383,560.92"
6,Le dernier rang,932,"$362,959.01"
7,Lux,1427,"$352,967.66"
8,ElectroFusion innovation Inc.,1043,"$336,620.94"
9,HomeIsNotAWorkPlace,1254,"$309,436.47"
10,Photovoltamites,1227,"$253,078.41"
11,Solar leaders,1241,"$249,302.34"
12,LeCercle,1226,"$188,436.42"
13,L'OBRG,1449,"$168,247.70"
14,Missile Sol-Air,1374,"$133,498.82"
15,groupe13,1367,"$124,412.99"
16,La Qualiteam,1210,"$120,105.53"
17,Solairestp,1282,"$94,058.27"
18,The_team,1319,"$70,332.04"
19,BRJEUX,937,"$63,285.40"
20,GPTeam,1217,"$15,094.94"
21,Equipe_42,1234,"($29,120.17)"
22,Campagn'Arts Sibersssois,1174,"($29,798.89)"
23,Solary,1386,"($126,343.66)"
24,pacyma,1301,"($189,506.39)"
25,EHTP,942,"($486,173.05)"
26,CapitaineAbandonné,943,"($581,431.42)"
27,Saison raclette ouverte,512,"($649,265.22)"
28,Col partners,916,"($713,743.17)"
29,Panelli 2000,1274,"($1,085,943.76)"
30,Les 4 fantastiques,1244,"($1,283,611.67)"
31,Emily Franquiel,968,"($1,295,974.74)"
32,CACIB LargeCap Industry,1105,"($1,347,298.31)"
33,DinoCo,1194,"($1,367,868.33)"
34,Harissa,968,"($1,384,390.86)"
35,Cocorico,1206,"($1,467,329.28)"
36,Solar1200,1304,"($1,593,999.76)"
37,Châlon’s Limited,937,"($1,635,975.00)"
38,Les Clunsois,956,"($1,688,974.82)"
39,Max Verstappen,968,"($1,695,974.89)"
40,Le Renard,968,"($1,695,975.04)"
41,Chad Industries,956,"($1,736,974.68)"
42,L'Horizon,956,"($1,736,974.68)"
43,D’or et de platine,968,"($1,736,974.69)"
44,Pucela,968,"($1,736,974.69)"
45,Vivrela,968,"($1,736,974.69)"
46,Factorylearn,968,"($1,736,974.69)"
47,équipe sans action,968,"($1,736,974.69)"
48,Les foufous,968,"($1,736,974.69)"
49,Erasmus,1130,"($1,747,175.46)"
50,team11,968,"($1,754,685.85)"
51,BR Électricité,956,"($1,782,135.78)"
52,Les Backstreet Boyz,1281,"($1,841,639.18)"
53,Les fifrelins,1288,"($1,894,137.63)"
54,Solar Cover,968,"($1,920,114.65)"
55,solo factory,956,"($2,010,685.62)"
56,Palanca,968,"($2,050,474.65)"
57,Solar Team,956,"($2,082,277.11)"
58,J&TS,968,"($2,171,974.83)"
59,Les foufous2,1315,"($2,178,099.02)"
60,Nom d’équipe,956,"($2,222,474.77)"
61,ANTIBE,1282,"($2,246,514.09)"
62,PPM CORP. AND ASSOCIATES,1059,"($2,319,196.35)"
63,PoêleWater,1229,"($2,339,705.58)"
64,xX_K1ll3rC4rd1_Xx,968,"($2,382,164.19)"
65,151160,1226,"($2,383,286.19)"
66,A&C,1038,"($2,398,375.75)"
67,ça zinzinule,1351,"($2,442,745.63)"
68,TEAM257778126,956,"($2,445,867.92)"
69,Nuclear > Solar,1306,"($2,459,546.76)"
70,AL-Suppliers,1198,"($2,468,342.49)"
71,27kiπne,1180,"($2,612,813.60)"
72,HPC 220,917,"($2,812,188.60)"
73,Equipe 7,1265,"($3,120,146.76)"
74,Ninte,1223,"($3,669,200.11)"
75,décUV,1213,"($3,708,911.08)"
76,GADZ CREDA,810,"($4,099,303.25)"
