,Team,Orders Out,Cash
0,Photovoltamites,1281,"$455,578.39"
1,Solar leaders,1327,"$358,802.30"
2,SalsaBaguette,1405,"$358,087.41"
3,Lux,1499,"$328,967.62"
4,HomeIsNotAWorkPlace,1346,"$304,436.44"
5,Équipe__93183,1213,"$288,685.87"
6,Les coquelicots,1588,"$285,407.76"
7,pacyma,1407,"$207,993.57"
8,Missile Sol-Air,1438,"$196,998.79"
9,Solairestp,1378,"$195,495.72"
10,Solary,1470,"$188,656.26"
11,Le dernier rang,969,"$151,708.99"
12,CookieClickerPGM,1637,"$135,428.66"
13,Les campagnards,1296,"$128,623.41"
14,ElectroFusion innovation Inc.,1093,"$121,777.14"
15,Equipe_42,1330,"$119,829.80"
16,L'OBRG,1545,"$85,247.66"
17,BRJEUX,937,"$63,285.36"
18,groupe13,1470,"($30,337.04)"
19,Campagn'Arts Sibersssois,1216,"($65,348.95)"
20,LeCercle,1300,"($103,563.63)"
21,GPTeam,1268,"($113,680.10)"
22,La Qualiteam,1273,"($119,709.63)"
23,The_team,1385,"($191,167.99)"
24,Serious team,1245,"($213,127.63)"
25,EHTP,978,"($378,173.07)"
26,Col partners,976,"($503,743.20)"
27,CapitaineAbandonné,979,"($520,962.74)"
28,Saison raclette ouverte,530,"($649,265.25)"
29,Panelli 2000,1346,"($958,943.80)"
30,CACIB LargeCap Industry,1201,"($987,663.05)"
31,DinoCo,1267,"($1,104,055.88)"
32,Les 4 fantastiques,1296,"($1,210,799.21)"
33,Emily Franquiel,1016,"($1,295,974.78)"
34,Harissa,1004,"($1,384,390.92)"
35,Les Backstreet Boyz,1353,"($1,571,639.22)"
36,Les fifrelins,1378,"($1,577,637.67)"
37,Châlon’s Limited,980,"($1,635,975.08)"
38,Les Clunsois,1004,"($1,688,974.91)"
39,Max Verstappen,1016,"($1,695,974.95)"
40,Le Renard,1004,"($1,695,975.11)"
41,Solar1200,1394,"($1,724,874.84)"
42,team11,1004,"($1,754,685.90)"
43,BR Électricité,1016,"($1,782,135.87)"
44,Erasmus,1159,"($1,820,175.48)"
45,Solar Cover,1004,"($1,920,114.72)"
46,Les foufous2,1369,"($1,975,599.11)"
47,Palanca,1004,"($2,050,474.65)"
48,Solar Team,1016,"($2,082,277.21)"
49,ANTIBE,1336,"($2,101,514.13)"
50,J&TS,1004,"($2,171,974.86)"
51,Vivrela,1004,"($2,177,974.72)"
52,Chad Industries,1004,"($2,177,974.72)"
53,Factorylearn,1004,"($2,177,974.72)"
54,L'Horizon,1004,"($2,177,974.72)"
55,équipe sans action,1004,"($2,177,974.72)"
56,Pucela,1016,"($2,177,974.73)"
57,Les foufous,1016,"($2,177,974.73)"
58,D’or et de platine,1016,"($2,177,974.73)"
59,Nuclear > Solar,1378,"($2,183,859.34)"
60,Cocorico,1270,"($2,219,141.88)"
61,Nom d’équipe,1004,"($2,222,474.85)"
62,PoêleWater,1293,"($2,273,955.65)"
63,PPM CORP. AND ASSOCIATES,1096,"($2,295,196.50)"
64,AL-Suppliers,1239,"($2,315,342.56)"
65,ça zinzinule,1423,"($2,331,745.68)"
66,xX_K1ll3rC4rd1_Xx,1004,"($2,382,164.26)"
67,151160,1274,"($2,383,286.24)"
68,solo factory,1004,"($2,451,685.66)"
69,TEAM257778126,1016,"($2,461,367.99)"
70,27kiπne,1228,"($2,468,813.64)"
71,HPC 220,960,"($2,812,188.69)"
72,A&C,1102,"($2,841,375.77)"
73,Equipe 7,1298,"($3,117,146.82)"
74,Ninte,1295,"($3,669,200.21)"
75,décUV,1277,"($3,708,911.16)"
76,GADZ CREDA,858,"($4,099,303.36)"
